"Realm","Character","Sphere 1","Sphere 2","Sphere 3","Sphere 4","Mote 1 Required","","","","","Mote 2 Required","","","",""
"IV","Edward","DEF +15","Legend Materia 1","ATK +10","","Vitality (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"IV","Edward","Paralyze Imm. (moder.)","RES +20","HP +250","Instrument dam. +6%","Vitality (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"IV","Edward","HP +400","Legend Materia 2","ATK +15","","Vitality (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"IV","Yang","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"IV","Yang","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"IV","Yang","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"IV","Yang","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"IV","Yang","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"IV","Palom","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"IV","Palom","Sleep Imm. (minor)","HP +200","RES +10","BLK dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"IV","Palom","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"IV","Palom","Sleep Imm. (moder.)","DEF +20","RES +10","BLK dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"IV","Palom","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"IV","Porom","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"IV","Porom","Silence Imm. (minor)","HP +150","WHT heals +3%","HP +150","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"IV","Porom","RES +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"IV","Porom","Silence Imm. (moder.)","DEF +20","WHT heals +6%","HP +200","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"IV","Porom","RES +20","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"IV","Tellah","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"IV","Tellah","Sleep Imm. (minor)","HP +200","MAG +10","BLK dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"IV","Tellah","DEF +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"IV","Tellah","Sleep Imm. (moder.)","RES +20","MAG +10","BLK dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"IV","Tellah","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"IV","Edge","DEF +10","RES +10","SPD +10","","Dexterity (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"IV","Edge","HP +200","Slow Imm. (minor)","PHY and NIN dam. +3%","HP +200","Dexterity (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"IV","Edge","RES +10","Legend Materia 1","ATK +15","","Dexterity (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"IV","Edge","DEF +15","Slow Imm. (moder.)","PHY and NIN dam. +6%","SPD +10","Dexterity (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"IV","Edge","HP +400","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"IV","Fusoya","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"IV","Fusoya","Silence Imm. (minor)","HP +200","MAG +10","BLK and WHT dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"IV","Fusoya","DEF +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"IV","Fusoya","Silence Imm. (moder.)","RES +20","MAG +10","BLK and WHT dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"IV","Fusoya","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"IV","Golbez","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"IV","Golbez","Sleep Imm. (minor)","HP +200","RES +10","Dark dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"IV","Golbez","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"IV","Golbez","Sleep Imm. (moder.)","DEF +20","RES +10","Dark dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"IV","Golbez","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"IV","Cid (IV)","RES +10","DEF +10","ATK +10","","Vitality (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"IV","Cid (IV)","DEF +10","Blind Imm. (minor)","Lightning dam. +3%","HP +150","Vitality (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"IV","Cid (IV)","DEF +15","Legend Materia 1","ATK +10","","Vitality (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"IV","Cid (IV)","Blind Imm. (moder.)","RES +20","HP +250","Lightning dam. +6%","Vitality (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"IV","Cid (IV)","HP +400","Legend Materia 2","ATK +15","","Vitality (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"IV","Ceodore","DEF +10","RES +10","DEF +10","","Spirit (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"IV","Ceodore","Confuse Imm. (minor)","RES +10","HP +200","PHY dam. +3%","Spirit (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"IV","Ceodore","DEF +20","Legend Materia 1","ATK +10","","Spirit (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"IV","Ceodore","RES +20","Holy Res. (minor)","PHY dam. +6%","HP +300","Spirit (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"IV","Ceodore","HP +500","Legend Materia 2","ATK +20","","Spirit (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"IV","Ursula","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"IV","Ursula","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"IV","Ursula","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"IV","Ursula","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"IV","Ursula","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"IV","Barbariccia","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"IV","Barbariccia","Sleep Imm. (minor)","HP +200","RES +10","Wind dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"IV","Barbariccia","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"IV","Barbariccia","Sleep Imm. (moder.)","DEF +20","RES +10","Wind dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"IV","Barbariccia","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"IV","Rubicante","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"IV","Rubicante","Confuse Imm. (minor)","HP +200","MAG +10","Fire dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"IV","Rubicante","DEF +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"IV","Rubicante","Confuse Imm. (moder.)","RES +20","MAG +10","Fire dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"IV","Rubicante","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"V","Lenna","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"V","Lenna","Silence Imm. (minor)","HP +150","WHT heals +3%","HP +150","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"V","Lenna","RES +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"V","Lenna","Water Res. (minor)","DEF +20","WHT heals +6%","HP +200","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"V","Lenna","RES +20","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"V","Galuf","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"V","Galuf","Blind Imm. (minor)","HP +150","HP +150","Fire and Earth dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"V","Galuf","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"V","Galuf","Fire Res. (minor)","HP +250","HP +250","Fire and Earth dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"V","Galuf","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"V","Gogo (V)","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"V","Gogo (V)","Sleep Imm. (minor)","HP +200","MAG +10","BLK dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"V","Gogo (V)","DEF +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"V","Gogo (V)","Sleep Imm. (moder.)","RES +20","MAG +10","BLK dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"V","Gogo (V)","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"V","Gilgamesh","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"V","Gilgamesh","Blind Imm. (minor)","HP +150","HP +150","PHY +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"V","Gilgamesh","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"V","Gilgamesh","Blind Imm. (moder.)","HP +250","HP +250","PHY +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"V","Gilgamesh","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"V","Bartz","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"V","Bartz","Slow Imm. (minor)","HP +150","HP +150","Spellblade dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"V","Bartz","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"V","Bartz","Wind Res. (minor)","HP +250","HP +250","Spellblade dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"V","Bartz","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"V","Faris","RES +10","DEF +10","ATK +10","","Vitality (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"V","Faris","DEF +10","Paralyze Imm. (minor)","Bow dam. +3%","HP +150","Vitality (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"V","Faris","DEF +15","Legend Materia 1","ATK +10","","Vitality (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"V","Faris","Paralyze Imm. (moder.)","RES +20","HP +250","Bow dam. +6%","Vitality (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"V","Faris","HP +400","Legend Materia 2","ATK +15","","Vitality (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"V","Dorgann","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"V","Dorgann","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"V","Dorgann","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"V","Dorgann","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"V","Dorgann","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"V","Exdeath","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"V","Exdeath","Sleep Imm. (minor)","HP +200","MAG +10","Dark and Holy dam. +3%","Spirit (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"V","Exdeath","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"V","Exdeath","Sleep Imm. (moder.)","DEF +10","MND +20","Dark and Holy dam. +6%","Spirit (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"V","Exdeath","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"V","Krile","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"V","Krile","Sleep Imm. (minor)","HP +200","RES +10","BLK and SUM dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"V","Krile","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"V","Krile","Sleep Imm. (moder.)","DEF +20","RES +10","BLK and SUM dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"V","Krile","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"V","Xezat","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"V","Xezat","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"V","Xezat","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"V","Xezat","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"V","Xezat","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"V","Kelger","DEF +10","RES +10","SPD +10","","Dexterity (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"V","Kelger","HP +200","Slow Imm. (minor)","PHY and NIN dam. +3%","HP +200","Dexterity (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"V","Kelger","RES +10","Legend Materia 1","ATK +15","","Dexterity (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"V","Kelger","DEF +15","Slow Imm. (moder.)","PHY and NIN dam. +6%","SPD +10","Dexterity (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"V","Kelger","HP +400","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"VI","Terra","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"VI","Terra","Sleep Imm. (minor)","HP +200","RES +10","BLK and SUM dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"VI","Terra","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"VI","Terra","Fire Res. (minor)","DEF +20","RES +10","BLK and SUM dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"VI","Terra","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"VI","Locke","DEF +10","RES +10","SPD +10","","Dexterity (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"VI","Locke","HP +200","Slow Imm. (minor)","Fire dam. +3%","HP +200","Dexterity (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"VI","Locke","RES +10","Legend Materia 1","ATK +15","","Dexterity (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"VI","Locke","DEF +15","Slow Imm. (moder.)","Fire dam. +6%","SPD +10","Dexterity (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"VI","Locke","HP +400","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"VI","Celes","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"VI","Celes","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"VI","Celes","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"VI","Celes","Holy Res. (minor)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"VI","Celes","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"VI","Mog","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"VI","Mog","Paralyze Imm. (minor)","HP +150","WHT heals +3%","HP +150","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"VI","Mog","RES +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"VI","Mog","Paralyze Imm. (moder.)","DEF +20","WHT heals +6%","HP +200","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"VI","Mog","RES +20","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"VI","Edgar","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"VI","Edgar","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"VI","Edgar","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"VI","Edgar","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"VI","Edgar","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"VI","Sabin","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"VI","Sabin","Confuse Imm. (minor)","HP +150","HP +150","Fire dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"VI","Sabin","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"VI","Sabin","Fire Res. (minor)","HP +250","HP +250","Fire dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"VI","Sabin","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"VI","Shadow","DEF +10","RES +10","SPD +10","","Dexterity (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"VI","Shadow","HP +200","Slow Imm. (minor)","PHY and NIN dam. +3%","HP +200","Dexterity (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"VI","Shadow","RES +10","Legend Materia 1","ATK +15","","Dexterity (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"VI","Shadow","DEF +15","Slow Imm. (moder.)","PHY and NIN dam. +6%","SPD +10","Dexterity (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"VI","Shadow","HP +400","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"VI","Cyan","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"VI","Cyan","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"VI","Cyan","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"VI","Cyan","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"VI","Cyan","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"VI","Gau","DEF +10","RES +10","SPD +10","","Dexterity (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"VI","Gau","HP +200","Slow Imm. (minor)","Fist dam. +3%","HP +200","Dexterity (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"VI","Gau","RES +10","Legend Materia 1","ATK +15","","Dexterity (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"VI","Gau","DEF +15","Slow Imm. (moder.)","Fist dam. +6%","SPD +10","Dexterity (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"VI","Gau","HP +400","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"VI","Setzer","RES +10","DEF +10","ATK +10","","Vitality (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"VI","Setzer","DEF +10","Paralyze Imm. (minor)","PHY dam. +3%","HP +150","Vitality (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"VI","Setzer","DEF +15","Legend Materia 1","ATK +10","","Vitality (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"VI","Setzer","Paralyze Imm. (moder.)","RES +20","HP +250","PHY dam. +6%","Vitality (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"VI","Setzer","HP +400","Legend Materia 2","ATK +15","","Vitality (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"VI","Strago","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"VI","Strago","Sleep Imm. (minor)","HP +200","RES +10","Water dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"VI","Strago","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"VI","Strago","Sleep Imm. (moder.)","DEF +20","RES +10","Water dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"VI","Strago","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"VI","Relm","DEF +10","RES +10","MND +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"VI","Relm","Silence Imm. (minor)","HP +200","WHT heals +3%","MAG +10","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"VI","Relm","DEF +10","Legend Materia 1","MND +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"VI","Relm","Silence Imm. (moder.)","RES +20","WHT heals +6%","MAG +10","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"VI","Relm","HP +300","Legend Materia 2","MND +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"VI","Gogo (VI)","DEF +10","ATK +10","ATK +10","","Wisdom (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"VI","Gogo (VI)","RES +10","Slow Imm. (minor)","Sword dam. +3%","MAG +10","Wisdom (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"VI","Gogo (VI)","DEF +10","Legend Materia 1","ATK +10","","Wisdom (5★)","5","8","5","","Bravery (5★)","5","8","5",""
"VI","Gogo (VI)","RES +10","Slow Imm. (moder.)","Sword dam. +6%","MND +20","Wisdom (5★)","7","7","7","7","Bravery (5★)","7","7","7","7"
"VI","Gogo (VI)","HP +500","Legend Materia 2","MAG +20","","Wisdom (5★)","10","16","10","","Bravery (5★)","10","16","10",""
"VI","Umaro","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"VI","Umaro","Blind Imm. (minor)","HP +150","HP +150","Ice dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"VI","Umaro","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"VI","Umaro","Blind Imm. (moder.)","HP +250","HP +250","Ice dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"VI","Umaro","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"VI","Kefka","DEF +10","RES +10","MAG +10","","Spirit (5★)","2","2","2","","Wisdom (5★)","2","2","2",""
"VI","Kefka","Sleep Imm. (minor)","HP +200","RES +10","Dark dam. +3%","Spirit (5★)","3","3","3","3","Wisdom (5★)","3","3","3","3"
"VI","Kefka","RES +10","Legend Materia 1","MAG +10","","Spirit (5★)","5","8","5","","Wisdom (5★)","5","8","5",""
"VI","Kefka","Sleep Imm. (moder.)","DEF +20","RES +10","Dark dam. +6%","Spirit (5★)","7","7","7","7","Wisdom (5★)","7","7","7","7"
"VI","Kefka","HP +300","Legend Materia 2","MAG +20","","Spirit (5★)","10","16","10","","Wisdom (5★)","10","16","10",""
"VI","Leo","DEF +10","RES +10","ATK +10","","Dexterity (5★)","2","2","2","","Vitality (5★)","2","2","2",""
"VI","Leo","Blind Imm. (minor)","HP +150","HP +150","PHY dam. +3%","Dexterity (5★)","3","3","3","3","Vitality (5★)","3","3","3","3"
"VI","Leo","RES +20","Legend Materia 1","ATK +10","","Dexterity (5★)","5","8","5","","Vitality (5★)","5","8","5",""
"VI","Leo","Blind Imm. (moder.)","HP +250","HP +250","PHY dam. +6%","Dexterity (5★)","7","7","7","7","Vitality (5★)","7","7","7","7"
"VI","Leo","DEF +20","Legend Materia 2","ATK +20","","Dexterity (5★)","10","16","10","","Vitality (5★)","10","16","10",""
"VI","Ultros","DEF +10","RES +10","MAG +10","","Wisdom (5★)","2","2","2","","Bravery (5★)","2","2","2",""
"VI","Ultros","HP +250","Blind Imm. (minor)","Poison dam. +3%","ATK +10","Wisdom (5★)","3","3","3","3","Bravery (5★)","3","3","3","3"
"VI","Ultros","RES +15","Legend Materia 1","MAG +10","","Wisdom (5★)","5","8","5","","Bravery (5★)","5","8","5",""
