"Realm","Character","Img","Name","Tier","LM Ver","Effect","Mastery Bonus","Relic","Name (JP)","ID","Anima","GL","✓"
"IV","Rubicante","","Bravery: Rubicante (Fire)","LMR++","LMR++1","100% chance to Dualcast every 3rd Fire ability & Fire Damage +10%; Quick ATB 1 at the start of battle","","Sorcerer's Mantle (IV)","勇晶・ルビカンテ炎","201042004","","",""
"IV","Ursula","","Youthful Memories","LM","LM1","Monk abilities deal 15% more damage","","-","幼き日の記憶","201042100","","✓","✓"
"IV","Ursula","","Father's Legacy","LM","LM2","ATK +2% for each hit dealt with Monk abilities, up to +50%","","-","父が認めし武才","201042101","","✓","✓"
"IV","Ursula","","Back Unbent","LMR","LMR1","25% chance to dualcast Monk abilities","ATK +10","Ursula's Dress (IV)","強き背を追って","201042102","1","✓","✓"
"IV","Ursula","","Filial Devotion","LMR","LMR2","Grants [Attach Earth] at the beginning of the battle","ATK +10","Kaiser Knuckles (IV)","師父と歩む道","201042103","4","✓","✓"
"IV","Ursula","","Bravery: Ursula","LMR++","LMR++1","PHY Damage +25% with Fist equipped; Quick ATB 1 at the start of battle","","Flame Claw (IV)","勇晶・アーシュラ","201042104","","",""
"IV","Barbariccia","","Conceit","LM","LM1","Increases Wind damage dealt by 10%","","-","高慢なる態度","201042200","","✓","✓"
"IV","Barbariccia","","Tower Master","LM","LM2","35% chance to dualcast abilities that deal Wind damage","","-","妖艶なる塔の支配者","201042201","","✓","✓"
"IV","Barbariccia","","Ruler of the Wind","LMR","LMR1","Grants [Attach Wind] at the beginning of the battle","MAG +10","Barbariccia's Guise (IV)","風を操る妖女","201042202","1","✓","✓"
"IV","Barbariccia","","Bravery: Barbariccia (Wind)","LMR++","LMR++1","100% chance to Dualcast every 3rd Wind ability & Wind Damage +10%; Quick ATB 1 at the start of battle","","Gale Armlet (IV)","勇晶・バルバリシア風 ","201042203","","",""
"V","Lenna","","Princess's Love","LM","LM1","WHT abilities restore 15% more HP","","-","姫の慈愛","201050200","","✓","✓"
"V","Lenna","","Overflowing Love","LM","LM2","40% chance to grant [Heals +30%] to the user after using a WHT ability or soulbreak","","-","慈愛に満ちた心","201050201","","✓","✓"
"V","Lenna","","Impartial Kindness","LMR","LMR1","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability, can trigger on dualcasts","MND +10","Laurel Crown (V)","わけへだてなき優しさ","201050202","1","✓","✓"
"V","Lenna","","Bravery: Lenna","LMR++","LMR++1","Heal +10%; Max ATB 1 & once per battle, chases 3 White Magic/Dancer abilities with 250 SB Points to user","","Oath Veil (V)","勇晶・レナ","201050203","","",""
"V","Galuf","","Walker of Worlds","LM","LM1","Monk abilities deal 15% more damage","","-","第二世界の烈士","201050500","","✓","✓"
"V","Galuf","","Timeless Valor","LM","LM2","ATK +2% for each hit dealt with Monk abilities, up to +50%","","-","後世に伝えし勇猛","201050501","","✓","✓"
"V","Galuf","","Priceless Experience","LMR","LMR1","25% chance to dualcast Monk abilities","ATK +10","Kenpogi (V)","豊かなる経験","201050502","1","✓","✓"
"V","Galuf","","Old and Bold","LMR","LMR2","Grants [Quick Cast 3] at the beginning of the battle","ATK +10","Tiger Mask (V)","歴戦の勇士の勘","201050503","4","✓","✓"
"V","Galuf","","Regal Nature","LMR","LMR3","Grants [Attach Earth] at the beginning of the battle","ATK +10","Lambent Hat (V)","王の資性","201050504","4","✓","✓"
"V","Galuf","","Bravery: Galuf (Earth)","LMR++","LMR++1","100% chance to Dualcast every 3rd Earth ability & Earth Damage +10%; Quick ATB 1 at the start of battle","","Vishnu Vest (V)","勇晶・ガラフ地 ","201050505","","",""
"V","Gogo (V)","","Profound Mimic","LM","LM1","Increases Water damage dealt by 10%","","-"," 謎多きものまね名人 ","201050600","","✓","✓"
"V","Gogo (V)","","Quintessential Mimicry","LM","LM2","35% chance to dualcast abilities that deal Water damage","","-","ものまねの神髄 ","201050601","","✓","✓"
"V","Gogo (V)","","Waterlogged Misfit","LMR","LMR1","Water attacks deal 25% more damage when equipping a rod","MAG +10","Power Rod (V)","水底の変わり者","201050602","1","✓","✓"
"V","Gogo (V)","","Subversion (Gogo (V))","LMR+","LMR+1","Causes [Imperil Water 10% (15s)] after using three Water abilities","MAG +10","Mythril Knife (V)","耐降【ものまねしゴゴ】","201050603","","✓","✓"
"V","Gogo (V)","","Bravery: Gogo (V)","LMR++","LMR++1","100% chance to Dualcast every 3rd Earth ability & Earth Damage +10%; Quick ATB 1 at the start of battle","","Wonder Wand (V)","勇晶・ものまねしゴゴ","201050604","","",""
"V","Gilgamesh","","Dark Sage's Hand","LM","LM1","PHY attacks deal 10% more damage","","-","暗黒魔道士の右腕","201050701","","✓","✓"
"V","Gilgamesh","","Desperate Obligation","LM","LM2","Grants [Protect], [Shell], [Haste] and [Gilgamesh Trance] when HP fall below 20%","","-","命がけの義理人情","201050702","","✓","✓"
"V","Gilgamesh","","Hero's Kindness","LMR","LMR1","25% chance to dualcast Samurai abilities","ATK +10","Golden Armor (V)","厚情なる豪傑","201050703","1","✓","✓"
"V","Gilgamesh","","Melodramatic Swordsman","LMR","LMR2","Grants [Attach Fire] at the beginning of the battle","ATK +10","Assassin's Dagger (V)","有情なる剣豪","201050704","4","✓","✓"
"V","Bartz","","Tempered Spellblade","LM","LM1","Spellblade abilities deal 15% more damage","","-","鍛えられし魔法剣","201050100","","✓","✓"
"V","Bartz","","Twinstrike Champion","LM","LM2","35% chance to dualcast Spellblade abilities","","-","連続魔法剣の真髄","201050101","","✓","✓"
"V","Bartz","","Fragments of Grace","LMR","LMR1","10% chance to dualcast Spellblade abilities twice","ATK +10","Maximillian (V)","クリスタルのかけらの加護","201050102","1","✓","✓"
"V","Bartz","","Hereditary Skill","LMR","LMR2","Spellblade abilities deal 25% more damage when equipping a sword","ATK +10","Golden Shield+ (V)","受け継がれし戦士の技","201050103","4","✓","✓"
"V","Bartz","","Bravery: Bartz","LMR++","LMR++1","100% chance to dualcast every third Spellblade ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle","","Half Mooon (V)","勇晶・バッツ","201050104","","",""
"V","Faris","","Sarisa's Memory","LM","LM1","Support abilities deal 15% more damage","","-","サリサの記憶","201050900","","✓","✓"
"V","Faris","","Forgotten Family","LM","LM2","Increases the duration of stat debuffs by 40%","","-","蘇りし肉親との思い出","201050901","","✓","✓"
"V","Faris","","Warrior Princess","LMR","LMR1","Increases damage dealt by 3/6/9/12/20% if 1/2/3/4/5 of the target's stats are lowered","ATK +10","Faris's Epaulet (V)","勇ましき王女","201050902","1","✓","✓"
"V","Faris","","Rabble Wrangler","LMR","LMR2","25% chance to dualcast Thief abilities","ATK +10","Longinus (V)","荒くれ者を統べる者","201050903","4","✓","✓"
"V","Faris","","Disguised Princess","LMR","LMR3","Grants [Attach Wind] at the beginning of the battle","ATK +10","Thief's Gloves (V)","男装のお姫様","201050904","4","✓","✓"
"V","Faris","","First Princess","LMR","LMR4","PHY attacks deal 20% more damage when equipping a bow","ATK +10","Magic Bow (V)","タイクーンの第1王女","201050905","5","✓","✓"
"V","Dorgann","","Courage of Conviction","LM","LM1","Knight abilities deal 15% more damage","","-","勇気ある決断","201051000","","✓","✓"
"V","Dorgann","","Crystal Champion","LM","LM2","35% chance to dualcast Knight abilities","","-","クリスタルを見守りし者","201051001","","✓","✓"
"V","Dorgann","","Wandering Adventurer","LMR","LMR1","Grants [Attach Earth] at the beginning of the battle","ATK +10","Bastard Sword (V)","大地を歩んだ冒険者","201051002","1","✓","✓"
"V","Dorgann","","Warrior of Regole","LMR","LMR2","20% chance to cause [Imperil Earth 10% (15s)] to the target after using an Earth attack","ATK +10","Crystal Shield (V)","ルゴルの戦士","201051003","4","✓","✓"
"V","Dorgann","","Bravery: Dorgann (Earth)","LMR++","LMR++1","100% chance to Dualcast every 3rd Earth ability & Earth Damage +10%; Quick ATB 1 at the start of battle","","Platinum Shield (V)","勇晶・ドルガン地","201051004","","",""
"V","Exdeath","","Evil Incarnate","LM","LM1","Increases Dark damage dealt by 10%","","-","邪木の化身","201051100","","✓","✓"
"V","Exdeath","","Reign of Chaos","LM","LM2","35% chance to dualcast abilities that deal Dark damage","","-","乱されし宇宙の法則","201051101","","✓","✓"
"V","Exdeath","","Born of Evil","LMR","LMR1","Grants [Attach Dark] at the beginning of the battle","MAG +10","Exdeath's Visage (V)","邪心より出でし魔道士","201051102","1","✓","✓"
"V","Exdeath","","Tree Most Foul","LMR","LMR2","BLK and WHT attacks deal 25% more damage when equipping a staff or sword","MAG +5, MND +5","Chaos Mace (V)","邪心宿りし大樹","201051103","5","✓","✓"
"V","Exdeath","","Bravery: Exdeath","LMR++","LMR++1","100% chance to Dualcast every 3rd Dark/Holy ability; Quick ATB 1 at the start of battle & once per battle, grants Quick Cast 3 to user after using 3 Dark/Holy abilities","","Cypress Pole (V)","勇晶・エクスデス","201051104","","",""
"V","Krile","","Boundless Affection","LM","LM1","Increases Fire damage dealt by 10%","","-","かぎりない愛情","201051200","","✓","✓"
"V","Krile","","Grandfather's Footsteps","LM","LM2","30% chance to grant [Quick Cast 3] to the user after using a Fire attack","","-","宿りし祖父の魂","201051201","","✓","✓"
"V","Krile","","Unbridled Enthusiasm","LMR","LMR1","Grants [Attach Fire] at the beginning of the battle","MAG +10","Krile's Dress (V)","熱意あふれる少女","201051202","1","✓","✓"
"V","Krile","","A Granddaughter's Drive","LMR","LMR2","25% chance to dualcast abilities that deal Fire damage","MAG +10","Cat-ear Hood (V)","祖父譲りの行動力","201051203","4","✓","✓"
"V","Krile","","Innate Cheer","LMR","LMR3","Grants [Attach Earth] at the beginning of the battle","MAG +10","Minerva Bustier (V)","持ち前の明るさ","201051204","4","✓","✓"
"V","Krile","","Natural Connection","LMR","LMR4","Grants [Haste] and [Instant Cast 1] at the beginning of the battle","MAG +10","Carmagnole (V)","動物たちとの繋がり","201051205","4","✓","✓"
"V","Krile","","Refinement (Krile)","LMR+","LMR+1","BLK attacks deal 25% more damage","MAG +10","Oracle's Circlet (V)","昇華【クルル】","201051206","","✓",""
"V","Krile","","Bravery: Krile","LMR++","LMR++1","100% chance to Dualcast every 3rd Fire/Earth ability & Fire/Earth Damage +10%; Instant Cast 1 at the start of battle","","Chain Whip (V)","勇晶・クルル","201051207","","",""
"V","Xezat","","Veteran Swordsman","LM","LM1","Spellblade abilities deal 15% more damage","","-","老練なる剣士","201051600","","✓","✓"
"V","Xezat","","Warrior King","LM","LM2","35% chance of smart ether 1 to the user after using a Ice attack","","-","兵法に長けた老王","201051601","","✓","✓"
"V","Xezat","","Head of the Fleet","LMR","LMR1","25% chance to dualcast Spellblade abilities","ATK +10","Xezat's Gauntlets (V)","船団を率いし器","201051602","1","✓","✓"
"V","Xezat","","Master of Surgate","LMR","LMR2","Spellblade abilities deal 25% more damage when equipping a sword","ATK +10","Xezat's Cloak (V)","サーゲイト城の主","201051603","4","✓","✓"
"V","Xezat","","Bravery: Xezat","LMR++","LMR++1","100% chance to dualcast every third Spellblade ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle","","Ares' Mace (V)","勇晶・ゼザ","201051604","","","✓"
"V","Kelger","","Detester of Evil","LM","LM1","Increases Earth damage dealt by 10%","","-","悪を憎む戦士","201051700","","✓","✓"
"V","Kelger","","Leader of the Pack","LM","LM2","30% chance to grant [Quick Cast 3] to the user after using a Ninja ability","","-","ウェアウルフの長","201051701","","✓","✓"
"V","Kelger","","Nimble Werewolf","LMR","LMR1","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability","ATK +10","Kelger's Cloak (V)","敏速なるウェアウルフ","201051702","1","✓","✓"
"V","Kelger","","Undimmed Justice","LMR","LMR2","Grants [Attach Earth] at the beginning of the battle","ATK +10","Triton's Dagger (V)","衰えぬ正義の心","201051703","4","✓","✓"
"V","Kelger","","Dying Breath","LMR","LMR3","25% chance to dualcast Ninja abilities","ATK +10","Ashura (V)","病に負けぬ志","201051704","4","✓","✓"
"V","Kelger","","Bravery: Kelger (Earth)","LMR++","LMR++1","Earth Damage +10%; Quick ATB 1 & Brave Crystal's Might at the start of battle
Brave Crystal’s Might: Once per battle and after using 3 Earth abilities, grants ATK & DEF +25% to user and chases Ninja abilities with 4 single-target Earth/NE physical attacks","","Sonic Blade (V)","勇晶・ケルガー地","201051705","","",""
"VI","Terra","","Esperbond","LM","LM1","Increases Fire damage dealt by 10%","","-","絆を結びしハーフ","201060100","","✓","✓"
"VI","Terra","","Magitek Warrior","LM","LM2","Restores HP for 100% of the user's maximum HP and grants [Terra Trance] when HP fall below 20%","","-","真なる魔導","201060101","","✓","✓"
"VI","Terra","","Innate Power","LMR","LMR1","25% chance to dualcast abilities that deal Fire damage","MAG +10","Asura's Rod (VI)","天性の魔導","201060102","1","✓","✓"
"VI","Terra","","Meaning of Love","LMR","LMR2","Grants [Attach Fire] at the beginning of the battle","MAG +10","Meister Rod (VI)","愛の意味を知った少女","201060103","4","✓","✓"
"VI","Terra","","Savior's Gift","LMR","LMR3","Grants [Attach Wind] at the beginning of the battle","MAG +10","Healing Rod (VI)","未来を守る力","201060104","4","✓","✓"
"VI","Terra","","Bravery: Terra","LMR++","LMR++1","Increases Fire/Wind damage dealt by 10%, Grants [200% ATB 1] at the beginning of the battle, and casts [Brave Crystal's Might (Terra)] after using three Fire/Wind abilities (max 1)","","Force Saber (VI)","勇晶・ティナ","201060105","","","✓"
"VI","Locke","","Ardent Adventurer","LM","LM1","Increases Fire damage dealt by 10%","","-","冒険への熱中","201060300","","✓","✓"
"VI","Locke","","Phoenix's Charge","LM","LM2","Restores HP for 100% of the user's maximum HP and grants [Phoenix Mode] when HP fall below 20%","","-","フェニックスの加護","201060301","","✓","✓"
"VI","Locke","","Burning Desire","LMR","LMR1","Grants [Attach Fire] at the beginning of the battle","ATK +10","Locke's Armguard (VI)","秘宝を求めし熱情","201060302","1","✓","✓"
"VI","Locke","","On the Rebound","LMR","LMR2","25% chance to dualcast abilities that deal Fire damage","ATK +10","Brigand's Gloves (VI)","再起するトレジャーハンター","201060303","4","✓","✓"
"VI","Locke","","Bravery: Locke","LMR++","LMR++1","PHY Damage +10% with Dagger equipped; Quick ATB 1 & Quick Cast at the start of battle","","Protect Hat (VI)","勇晶・ロック","201060304","","",""
"VI","Celes","","Rune Knight Blademaster","LM","LM1","Spellblade abilities deal 15% more damage","","-","ルーンナイトの剣技","201060400","","✓","✓"
"VI","Celes","","Rune Knight Soulmaster","LM","LM2","Exploiting elemental weakness grants 50% more Soul Break points (additive with the default 50% bonus)","","-","ルーンナイトの神技","201060401","","✓","✓"
"VI","Celes","","Rune Knight Spellmaster","LMR","LMR1","25% chance to dualcast Spellblade abilities","ATK +10","Celes's Cloak (VI)","ルーンナイトの妙技","201060402","1","✓","✓"
"VI","Celes","","Rebel Knight","LMR","LMR2","Grants [Attach Ice] at the beginning of the battle","ATK +10","Platinum Shield (VI)","反旗の魔導戦士","201060403","4","✓","✓"
"VI","Celes","","Bravery: Celes","LMR++","LMR++1","Increases Ice/Holy damage dealt by 10%, 100% chance to dualcast every third Ice/Holy ability, Grants [200% ATB 1] at the beginning of the battle","","Rudra Talwar (VI)","勇晶・セリス","201060404","","","✓"
"VI","Mog","","Proven Pom-Pom","LM","LM1","WHT abilities restore 15% more HP","","-","頼れる親分","201060500","","✓","✓"
"VI","Mog","","Dance Lover","LM","LM2","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Dancer ability","","-","踊りを愛する者","201060501","","✓","✓"
"VI","Mog","","Boss Moogle","LMR","LMR1","Increases the duration of stat buffs by 30%","MND +10","Pixie's Scythe (VI)","モーグリ族の長","201060502","1","✓","✓"
"VI","Mog","","Moogle Survivor","LMR","LMR2","25% chance to cast an ability (NAT: group, ATK/MAG/MND -30% (15s)) after using a Dancer ability","MND +10","White Cape (VI)","モーグリ族の生き残り","201060503","4","✓","✓"
"VI","Mog","","Dancing Death","LMR","LMR3","Grants [Quick Cast 3] at the beginning of the battle","MND +10","Gungnir (VI)","華麗に舞う戦士","201060504","4","✓","✓"
"VI","Mog","","Hastening (Mog)","LMR+","LMR+1","Grants [Quick Cast 3] after using three Dancer/Dragoon abilities","MND +10","Mage's Hat (VI)","短縮【モグ】","201060505","","✓","✓"
"VI","Mog","","Bravery: Mog","LMR++","LMR++1","Chases every 3rd Dancer ability with 1000 heal to party; Quick ATB 1 at the start of battle; Once per battle, chases 3 Dancer abilities with 250 SB Points to user","","Mythril Bangle (VI)","勇晶・モグ","201060506","","",""
"VI","Edgar","","To the Manner Born","LM","LM1","Machinist abilities deal 15% more damage","","-","レディへの礼儀","201060600","","✓","✓"
"VI","Edgar","","Long Live the King","LM","LM2","35% chance to dualcast Machinist abilities","","-","国を統べる若き王","201060601","","✓","✓"
"VI","Edgar","","Master of Machines","LMR","LMR1","10% chance to dualcast Machinist abilities twice","ATK +10","Genji Shield (VI)","機械文明の牽引者","201060602","1","✓","✓"
"VI","Edgar","","Awkward Inventor","LMR","LMR2","20% chance to cause [Imperil Fire 10% (15s)] to the target after using a Machinist ability","ATK +10","Edgar's Sword (VI)","ヘンな武器開発","201060603","4","✓","✓"
"VI","Edgar","","Quickstrike (Edgar)","LMR+","LMR+1","Grants [Quick Cast] and [Tri-Blast Follow-Up] at the beginning of the battle","ATK +10","Mythril Armor (VI)","迅撃【エドガー】","201060604","","","✓"
"VI","Edgar","","Bravery: Edgar","LMR++","LMR++1","PHY Damage +10% with Spear equipped; Quick ATB 1 & Quick Cast at the start of battle","","Grand Armor (VI)","勇晶・エドガー","201060605","","",""
"VI","Sabin","","Fiery Honor","LM","LM1","Increases Fire damage dealt by 10%","","-","熱き義侠心","201060700","","✓","✓"
"VI","Sabin","","Master's Secrets","LM","LM2","35% chance to dualcast abilities that deal Fire damage","","-","修得せし奥義","201060701","","✓","✓"
"VI","Sabin","","Master's Teachings","LMR","LMR1","ATK +2% for each hit dealt with Monk abilities, up to +34%","ATK +10","Vishnu Vest (VI)","師の教え","201060702","1","✓","✓"
"VI","Sabin","","Boisterous Brawler","LMR","LMR2","Grants [Attach Fire] at the beginning of the battle","ATK +10","Sonic Knuckles (VI)","闘志溢れる格闘家","201060703","4","✓","✓"
"VI","Sabin","","Bravery: Sabin (Fire)","LMR++","LMR++1","Chases 3 Fire Abilities with Dualcast Fire, Fire Damage Up(Small) and Start the fight with Quick ATB1 to user","","Hot Knuckles (VI)","勇晶・マッシュ炎","201060704","","",""
"VI","Shadow","","Murderous Method","LM","LM1","Ninja abilities deal 15% more damage","","-","暗殺の技法","201060800","","✓","✓"
"VI","Shadow","","Heat of Battle","LM","LM2","35% chance to dualcast Ninja abilities","","-","戦いの中に生きる者","201060801","","✓","✓"
"VI","Shadow","","Cloak of Darkness","LMR","LMR1","Grants [Attach Dark] at the beginning of the battle","ATK +10","Black Hood (VI)","闇に棲む暗殺者","201060802","1","✓","✓"
"VI","Shadow","","Man of Action","LMR","LMR2","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability","ATK +10","Black Garb (VI)","多くを語らぬ凄腕","201060803","4","✓","✓"
"VI","Shadow","","Herald (Shadow)","LMR+","LMR+1","Grants [Attach Dark] and [Quick Cast] at the beginning of the battle","ATK +10","Shura Gloves (VI)","先駆【シャドウ】","201060804","","✓","✓"
"VI","Shadow","","Bravery: Shadow (Dark)","LMR++","LMR++1","Dark Damage +10%; Quick ATB 1 & Brave Crystal's Might at the start of battle
Brave Crystal's Might: Once per battle and after using 3 Dark abilities, grants ATK/DEF +30% & chases Dark abilities with 4 single-target Dark/NE physical attacks","","Iga Blade (VI)","勇晶・シャドウ闇","201060805","","",""
"VI","Cyan","","Path of Vengeance","LM","LM1","Samurai abilities deal 15% more damage","","-","仇討ちの旅路","201060900","","✓","✓"
"VI","Cyan","","True Conviction","LM","LM2","35% chance to dualcast Samurai abilities","","-","迷い断ちし真の武人","201060901","","✓","✓"
"VI","Cyan","","Self Reliance","LMR","LMR1","Grants [Attach Fire] at the beginning of the battle","ATK +10","Cyan's Bracer (VI)","己の信ずる道","201060902","1","✓","✓"
"VI","Cyan","","Refinement (Cyan)","LMR+","LMR+1","PHY attacks deal 25% more damage","ATK +10","White Bracer (VI)","昇華【カイエン】","201060903","","✓",""
"VI","Cyan","","Bravery: Cyan","LMR++","LMR++1","100% chance to dualcast every third Samurai ability, Grants [200% ATB 1] and [Quick Cast 3] at the beginning of the battle","","Suzaku (VI)","勇晶・カイエン","201060904","","","✓"
"VI","Gau","","Dried Meat Connoisseur","LM","LM1","PHY attacks deal 10% more damage","","-","ほしにくだいすき","201061000","","✓","✓"
"VI","Gau","","Natural Instincts","LM","LM2","35% chance to dualcast Combat or Celerity abilities","","-","自然のままの感性","201061001","","✓","✓"
"VI","Gau","","Untamed Energy","LMR","LMR1","Restores HP for 100% of the user's maximum HP and grants [Extended Quick Cast] when HP fall below 20%","ATK +10","Dueling Mask (VI)","野生の底力","201061002","1","✓","✓"
"VI","Gau","","Refinement (Gau)","LMR+","LMR+1","PHY attacks deal 25% more damage","ATK +10","Scarface (VI)","昇華【ガウ】","201061003","","✓","✓"
"VI","Gau","","Bravery: Gau","LMR++","LMR++1","100% chance to Dualcast every 3rd Wind/Lightning ability & Wind/Lightning Damage +10%; Quick ATB 1 at the start of battle","","Adamant Vest (VI)","勇晶・ガウ","201061004","","",""
"VI","Setzer","","Taking Wing","LM","LM1","Support abilities deal 15% more damage","","-","飛ぶ鳥に導かれて","201061100","","✓","✓"
"VI","Setzer","","Fate-Defying Bet","LM","LM2","30% chance to cast an ability (PHY: single, 0.25 physical, ATK/MAG/MND -30% (15s)) after dealing damage with a Support ability","","-","運命を切り開く賭け","201061101","","✓","✓"
"VI","Setzer","","Second Chance","LMR","LMR1","Increases the duration of stat debuffs by 30%","ATK +10","Setzer's Long Coat (VI)","蘇りしもう一つの翼","201061102","1","✓","✓"
"VI","Setzer","","Sky Dreams","LMR","LMR2","Grants [Instant Cast 1] at the beginning of the battle, begins the round with full ATB gauge","ATK +10","Silver Card (VI)","空にかける最速の夢","201061103","4","✓","✓"
"VI","Setzer","","Realized Dreams","LMR","LMR3","25% chance to dualcast abilities that deal Dark damage","ATK +10","Setzer's Bracers (VI)","相棒との夢のつづき","201061106","5","✓","✓"
"VI","Setzer","","Subversion (Setzer)","LMR+","LMR+1","After using 3 Support/Sharpshooter abilities, inflicts [Imperil Dark 10% (15s)]","ATK +10","Setzer's Black Mask (VI)","耐降【セッツァー】","201061107","","","✓"
"VI","Strago","","Curious Naturalist","LM","LM1","Increases Water damage dealt by 10%","","-","モンスターの謎を追う者","201061200","","✓","✓"
"VI","Strago","","Waker of Hope","LM","LM2","25% chance to cast an ability (NAT: group, restores HP for 30% of the target's maximum HP) after taking damage from an enemy","","-","希望を呼び覚ます絆","201061201","","✓","✓"
"VI","Strago","","Defying Flame","LMR","LMR1","25% chance to dualcast abilities that deal Water damage","MAG +10","Rod of Faith (VI)","烈火に挑む魔導の力","201061202","1","✓","✓"
"VI","Strago","","Depths of Power","LMR","LMR2","Grants [Attach Water] at the beginning of the battle","MAG +10","Wonder Wand (VI)","秘め続けた魔導の力","201061203","4","✓","✓"
"VI","Strago","","Bravery: Strago","LMR++","LMR++1","Increases Water/Wind damage dealt by 10%, 100% chance to dualcast every third Water/Wind ability, Grants [200% ATB 1] at the beginning of the battle","","Lambent Hat (VI)","勇晶・ストラゴス","201061204","","","✓"
"VI","Relm","","Divine Pictomancer","LM","LM1","WHT abilities restore 15% more HP","","-","奇跡のピクトマンサー","201061300","","✓","✓"
"VI","Relm","","Cat-eared Pictomancer","LM","LM2","Reduces damage taken by Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark and Poison attacks by 15%","","-","猫耳ピクトマンサー","201061301","","✓","✓"
"VI","Relm","","Wondrous Hues","LMR","LMR1","27% chance to grant [Magical Blink 1] to the target after using a single-target White Magic ability that restores HP on an ally","MND +10","Relm's Hat (VI)","奇跡の色彩","201061302","1","✓","✓"
"VI","Relm","","Stroke of Genius","LMR","LMR2","25% chance to dualcast White Magic abilities","MND +10","Jade Armlet (VI)","魅惑の筆致","201061303","4","✓","✓"
"VI","Relm","","Ancient Blood","LMR","LMR3","MND +1% for each hit dealt with White Magic abilities, up to +25%","MND +10","Rainbow Brush (VI)","魔導士の末裔たる血","201061304","4","✓","✓"
"VI","Relm","","Passionate Painter","LMR","LMR4","25% chance to cast an ability (WHT: group, restores HP (25)) after using a White Magic ability","MND +10","Beastmaster's Robe (VI)","絵画への情熱","201061305","5","✓","✓"
"VI","Relm","","Bravery: Relm","LMR++","LMR++1","Heal +10% & Max ATB 1; Once per battle, chases 3 White Magic/Support abilities with 250 SB Points to user","","Luminous Robe (VI)","勇晶・リルム","201061306","","",""
"VI","Gogo (VI)","","Mimic's Craft","LM","LM1","Mimic attacks deal 15% more damage","","-","ものまね士の技術","201061400","","✓","✓"
"VI","Gogo (VI)","","Perfect Likeness","LM","LM2","ATK and MAG +2% for each hit dealt with Mimic attacks, up to +30%","","-","真なる模倣","201061401","","✓","✓"
"VI","Gogo (VI)","","Heroic Mimicry","LMR","LMR1","35% chance to grant [Quick Cast 1] to the user after using a Mimic attack","ATK +5, MAG +5","Thornlet (VI)","世界を救うものまね","201061402","1","✓","✓"
"VI","Gogo (VI)","","Masterful Mimic","LMR","LMR2","Mimic attacks deal 25% more damage","ATK +5, MAG +5","Mimic's Robe (VI)","徹底したものまね","201061403","4","✓","✓"
"VI","Gogo (VI)","","Hastening (Gogo (VI))","LMR+","LMR+1","Grants [Quick Cast 3] after using three Black Magic/Combat abilities","ATK +5, MAG +5","Black Robe (VI)","短縮【ゴゴ】","201061404","","✓","✓"
"VI","Umaro","","Yeti of Narshe","LM","LM1","Increases Ice damage dealt by 10%","","-","ナルシェの雪男","201061500","","✓","✓"
"VI","Umaro","","Furry Sidekick","LM","LM2","35% chance to dualcast abilities that deal Ice damage","","-","親分を慕う大きな子分","201061501","","✓","✓"
"VI","Umaro","","Ughaaa!","LMR","LMR1","Grants [Attach Ice] at the beginning of the battle","ATK +10","Earth Mallet (VI)","ウガー！","201061502","1","✓","✓"
"VI","Umaro","","Onslaught (Umaro)","LMR+","LMR+1","35% chance to cast Snow Play (50%) or Icicle Play (50%) after using Monk or Sharpshooter abilities","ATK +10","Gigas Armlet (VI)","遊撃【ウーマロ】","201061503","","✓","✓"
"VI","Umaro","","Bravery: Umaro","LMR++","LMR++1","Increases Physical damage dealt by 10% when equipped with Hammer, Grants [200% ATB 1] and [Quick Cast] at the beginning of the battle","","Mythril Hammer (VI)","勇晶・ウーマロ","201061504","","","✓"
"VI","Kefka","","Maniacal Mage","LM","LM1","Increases Dark damage dealt by 10%","","-","嗤う魔導士","201061600","","✓","✓"
"VI","Kefka","","Jester of Doom","LM","LM2","30% chance to grant [Quick Cast 3] to the user after using a Dark attack","","-","破壊を謳う享楽の道化","201061601","","✓","✓"
"VI","Kefka","","Conniving Clown","LMR","LMR1","25% chance to dualcast abilities that deal Dark damage","MAG +10","Mischief Cap (VI)","裏切りの道化師","201061602","1","✓","✓"
"VI","Kefka","","Destruction's Delight","LMR","LMR2","Grants [Attach Dark] at the beginning of the battle","MAG +10","Blueleaf Flute (VI)","破壊の喜び","201061603","4","✓","✓"
"VI","Kefka","","Bravery: Kefka","LMR++","LMR++1","Increases Dark/Poison damage dealt by 10%, 100% chance to dualcast every third Dark/Poison ability, Grants [200% ATB 1] at the beginning of the battle","","Wonder Bangle (VI)","勇晶・ケフカ","201061604","","","✓"
"VI","Leo","","Imperial Conscience","LM","LM1","Knight abilities deal 15% more damage","","-","ガストラ帝国の良心","201061800","","✓","✓"
"VI","Leo","","Noble General","LM","LM2","35% chance to dualcast Knight abilities","","-","信念に殉ずる将軍","201061801","","✓","✓"
