"Character","Source","SB Ver","Img","Name","Brave","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Brave Condition","Name (JP)","ID","GL","✓"
"Rinoa","Angel Wing Ice Ruin","USB3","","Truespell Icefall","1","BLK","Single enemy","Magical","12.00","Ice","1.65","One single attack (12.00) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","真の魔法・崩氷","30541127","✓","✓"
"Rinoa","Angel Wing Ice Ruin","USB3","","Truespell Icefall","2","BLK","Single enemy","Magical","20.80","Ice","1.65","One single attack (20.80) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","真の魔法・崩氷","30541128","✓","✓"
"Rinoa","Angel Wing Ice Ruin","USB3","","Truespell Icefall","3","BLK","Single enemy","Magical","35.00","Ice","1.65","One single attack (35.00) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Black Magic","真の魔法・崩氷","30541129","✓","✓"
"Quistis","Mixed Breath","USB2","","Venomwash Breath","0","BLK","Single enemy","Magical","6.08","Water, Poison, NE","0.01","One single attack (6.08)","Y","Lowest HP% enemy","75","Black Magic","Water, Poison","毒水の息吹","30541169","✓","✓"
"Quistis","Mixed Breath","USB2","","Venomwash Breath","1","BLK","Single enemy","Magical","8.58","Water, Poison, NE","0.01","Six single attacks (1.43 each), causes [RES -30%]","Y","Lowest HP% enemy","75","Black Magic","Water, Poison","毒水の息吹","30541260","✓","✓"
"Quistis","Mixed Breath","USB2","","Venomwash Breath","2","BLK","Single enemy","Magical","14.88","Water, Poison, NE","0.01","Six single attacks (2.48 each), causes [RES -50%]","Y","Lowest HP% enemy","75","Black Magic","Water, Poison","毒水の息吹","30541261","✓","✓"
"Quistis","Mixed Breath","USB2","","Venomwash Breath","3","BLK","Single enemy","Magical","24.96","Water, Poison, NE","0.01","Six single attacks (4.16 each), causes [DEF, RES and MND -70% (8s)]","Y","Lowest HP% enemy","75","Black Magic","Water, Poison","毒水の息吹","30541262","✓","✓"
"Ultimecia","Hell's Judgment","USB2","","Buffeting Spear","0","BLK","Single enemy","Magical","7.92","Wind, Dark","1.65","One single attack (7.92)","Y","Lowest HP% enemy","75","Black Magic","Wind, Dark","拒絶の槍","30541250","✓","✓"
"Ultimecia","Hell's Judgment","USB2","","Buffeting Spear","1","BLK","Single enemy","Magical","11.80","Wind, Dark","1.65","One single attack (11.80) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Wind, Dark","拒絶の槍","30541251","✓","✓"
"Ultimecia","Hell's Judgment","USB2","","Buffeting Spear","2","BLK","Single enemy","Magical","20.50","Wind, Dark","1.65","One single attack (20.50) capped at 99999","Y","Lowest HP% enemy","75","Black Magic","Wind, Dark","拒絶の槍","30541252","✓","✓"
"Ultimecia","Hell's Judgment","USB2","","Buffeting Spear","3","BLK","Single enemy","Magical","34.60","Wind, Dark","1.65","One single attack (34.60) capped at 99999, removes positive effects","Y","Lowest HP% enemy","75","Black Magic","Wind, Dark","拒絶の槍","30541253","✓","✓"
"Garnet","Thunderstorm Princess","USB3","","Summoners's Calling","0","SUM","Single enemy","Magical","7.92","Lightning, Holy","1.65","One single attack (7.92)","N","Lowest HP% enemy","75","Summoning","Summoning, Bard","本来の召喚の力","31540582","✓","✓"
"Garnet","Thunderstorm Princess","USB3","","Summoners's Calling","1","SUM","Single enemy","Magical","11.80","Lightning, Holy","1.65","One single attack (11.80) capped at 99999","N","Lowest HP% enemy","75","Summoning","Summoning, Bard","本来の召喚の力","31540583","✓","✓"
"Garnet","Thunderstorm Princess","USB3","","Summoners's Calling","2","SUM","Single enemy","Magical","20.50","Lightning, Holy","1.65","One single attack (20.50) capped at 99999","N","Lowest HP% enemy","75","Summoning","Summoning, Bard","本来の召喚の力","31540584","✓","✓"
"Garnet","Thunderstorm Princess","USB3","","Summoners's Calling","3","SUM","Single enemy","Magical","34.60","Lightning, Holy","1.65","One single attack (34.60) capped at 99999, Summoning smart ether 2 to the user","N","Lowest HP% enemy","75","Summoning","Summoning, Bard","本来の召喚の力","31540585","✓","✓"
"Quina","Midnight Snack","USB2","","Culinary Training","0","PHY","Single enemy","Physical","1.82","Water, Earth, Poison, NE","1.65","One single ranged attack (1.82)","Y","Lowest HP% enemy","75","Support","Support","食の修行","31540106","✓","✓"
"Quina","Midnight Snack","USB2","","Culinary Training","1","PHY","Single enemy","Physical","2.88","Water, Earth, Poison, NE","1.65","Six single ranged attacks (0.48 each)","Y","Lowest HP% enemy","75","Support","Support","食の修行","31540107","✓","✓"
"Quina","Midnight Snack","USB2","","Culinary Training","2","PHY","Single enemy","Physical","5.76","Water, Earth, Poison, NE","1.65","Six single ranged attacks (0.96 each)","Y","Lowest HP% enemy","75","Support","Support","食の修行","31540108","✓","✓"
"Quina","Midnight Snack","USB2","","Culinary Training","3","PHY","Single enemy","Physical","9.00","Water, Earth, Poison, NE","1.65","Six single ranged attacks (1.50 each), grants [Soul Break Gauge +250]","Y","Lowest HP% enemy","75","Support","Support","食の修行","31540109","✓","✓"
"Eiko","Phoenix Feather","USB2","","Phoenix's Blessing","0","WHT","Single ally","Magical","1.20","Holy","0.01","Restores HP (25), damages undeads","Y","Lowest HP% ally","75","White Magic","White Magic","不死鳥の祝福","30542019","✓","✓"
"Eiko","Phoenix Feather","USB2","","Phoenix's Blessing","1","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","75","White Magic","White Magic","不死鳥の祝福","30542110","✓","✓"
"Eiko","Phoenix Feather","USB2","","Phoenix's Blessing","2","WHT","All allies","","","","0.01","Restores HP (55)","Y","All allies","75","White Magic","White Magic","不死鳥の祝福","30542111","✓","✓"
"Eiko","Phoenix Feather","USB2","","Phoenix's Blessing","3","WHT","All allies","","","","0.01","Restores HP (55), grants [HP Stock (2000)]","Y","All allies","75","White Magic","White Magic","不死鳥の祝福","30542112","✓","✓"
"Eiko","Sonic Homing","USB3","","Holy Beast's Roar","0","SUM","Single enemy","Magical","7.92","Holy, Wind","1.65","One single attack (7.92)","N","Lowest HP% enemy","75","Summoning","Summoning","聖獣の咆哮","30543182","✓","✓"
"Eiko","Sonic Homing","USB3","","Holy Beast's Roar","1","SUM","Single enemy","Magical","11.80","Holy, Wind","1.65","One single attack (11.80) capped at 99999","N","Lowest HP% enemy","75","Summoning","Summoning","聖獣の咆哮","30543183","✓","✓"
"Eiko","Sonic Homing","USB3","","Holy Beast's Roar","2","SUM","Single enemy","Magical","20.50","Holy, Wind","1.65","One single attack (20.50) capped at 99999","N","Lowest HP% enemy","75","Summoning","Summoning","聖獣の咆哮","30543184","✓","✓"
"Eiko","Sonic Homing","USB3","","Holy Beast's Roar","3","SUM","Single enemy","Magical","34.60","Holy, Wind","1.65","One single attack (34.60) capped at 99999, Summoning smart ether 2 to the user","N","Lowest HP% enemy","75","Summoning","Summoning","聖獣の咆哮","30543185","✓","✓"
"Kuja","Chaotic Rhapsody","USB2","","Ruinous Recital","0","BLK","Single enemy","Magical","7.92","Dark","1.65","One single attack (7.92)","Y","Lowest HP% enemy","75","Darkness","Dark","破滅の奏楽","30549464","✓","✓"
"Kuja","Chaotic Rhapsody","USB2","","Ruinous Recital","1","BLK","Single enemy","Magical","12.00","Dark","1.65","One single attack (12.00) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Dark","破滅の奏楽","30549465","✓","✓"
"Kuja","Chaotic Rhapsody","USB2","","Ruinous Recital","2","BLK","Single enemy","Magical","20.80","Dark","1.65","One single attack (20.80) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Dark","破滅の奏楽","30549466","✓","✓"
"Kuja","Chaotic Rhapsody","USB2","","Ruinous Recital","3","BLK","Single enemy","Magical","35.00","Dark","1.65","One single attack (35.00) capped at 99999, grants [Reraise: 40%] to the user","Y","Lowest HP% enemy","75","Darkness","Dark","破滅の奏楽","30549467","✓","✓"
"Tidus","Quick Rush","USB2","","Drive Shot","0","PHY","Single enemy","Physical","1.92","Water","1.65","One single ranged attack (1.92)","Y","Lowest HP% enemy","75","Sharpshooter","Sharpshooter","ドライブシュート","30549074","✓","✓"
"Tidus","Quick Rush","USB2","","Drive Shot","1","PHY","Single enemy","Physical","3.25","Water","1.65","One single ranged attack (3.25) capped at 99999","Y","Lowest HP% enemy","75","Sharpshooter","Sharpshooter","ドライブシュート","30549075","✓","✓"
"Tidus","Quick Rush","USB2","","Drive Shot","2","PHY","Single enemy","Physical","6.50","Water","1.65","One single ranged attack (6.50) capped at 99999","Y","Lowest HP% enemy","75","Sharpshooter","Sharpshooter","ドライブシュート","30549076","✓","✓"
"Tidus","Quick Rush","USB2","","Drive Shot","3","PHY","Single enemy","Physical","10.15","Water","1.65","One single ranged attack (10.15) capped at 99999","Y","Lowest HP% enemy","75","Sharpshooter","Sharpshooter","ドライブシュート","30549077","✓","✓"
"Yuna","Calm Prayer","USB3","","Prayer of Hope","0","WHT","Single ally","Magical","1.20","Holy","0.01","Restores HP (25), damages undeads","Y","Lowest HP% ally","75","White Magic","White Magic","希望の祈り","30542013","✓","✓"
"Yuna","Calm Prayer","USB3","","Prayer of Hope","1","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","75","White Magic","White Magic","希望の祈り","30542014","✓","✓"
"Yuna","Calm Prayer","USB3","","Prayer of Hope","2","WHT","All allies","","","","0.01","Restores HP (55)","Y","All allies","75","White Magic","White Magic","希望の祈り","30542015","✓","✓"
"Yuna","Calm Prayer","USB3","","Prayer of Hope","3","WHT","All allies","","","","0.01","Restores HP (55), grants [HP Stock (2000)]","Y","All allies","75","White Magic","White Magic","希望の祈り","30542016","✓","✓"
"Paine","Throttle Alluvion","USB2","","Flowing Feint","0","PHY","Single enemy","Physical","1.62","Water","0.83","One single attack (1.62)","Y","Lowest HP% enemy","75","Spellblade","Spellblade","流舞！","30547061","✓","✓"
"Paine","Throttle Alluvion","USB2","","Flowing Feint","1","PHY","Single enemy","Physical","2.73","Water","0.83","One single attack (2.73) capped at 99999","Y","Lowest HP% enemy","75","Spellblade","Spellblade","流舞！","30547062","✓","✓"
"Paine","Throttle Alluvion","USB2","","Flowing Feint","2","PHY","Single enemy","Physical","5.46","Water","0.83","One single attack (5.46) capped at 99999","Y","Lowest HP% enemy","75","Spellblade","Spellblade","流舞！","30547063","✓","✓"
"Paine","Throttle Alluvion","USB2","","Flowing Feint","3","PHY","Single enemy","Physical","8.53","Water","0.83","One single attack (8.53) capped at 99999","Y","Lowest HP% enemy","75","Spellblade","Spellblade","流舞！","30547064","✓","✓"
"Vaan","Calamitous Orb","USB3","","Thief Spiral","0","PHY","Single enemy","Physical","1.62","Wind","0.83","One single attack (1.62)","Y","Lowest HP% enemy","75","Thief","Thief","シーフスパイラル","30548335","✓","✓"
"Vaan","Calamitous Orb","USB3","","Thief Spiral","1","PHY","Single enemy","Physical","2.67","Wind","0.83","Three single attacks (0.89 each), [DEF -40%] for 15 seconds","Y","Lowest HP% enemy","75","Thief","Thief","シーフスパイラル","30548336","✓","✓"
"Vaan","Calamitous Orb","USB3","","Thief Spiral","2","PHY","Single enemy","Physical","5.10","Wind","0.83","Six single attacks (0.85 each), [DEF -40%] for 15 seconds","Y","Lowest HP% enemy","75","Thief","Thief","シーフスパイラル","30548337","✓","✓"
"Vaan","Calamitous Orb","USB3","","Thief Spiral","3","PHY","Single enemy","Physical","7.50","Wind","0.83","Ten single attacks (0.75 each), [DEF, MAG and MND -70% (8s)]","Y","Lowest HP% enemy","75","Thief","Thief","シーフスパイラル","30548338","✓","✓"
"Gabranth","Frost Purge","USB2","","Bringer of Justice","0","PHY","Single enemy","Physical","1.92","Dark","1.65","One single attack (1.92)","Y","Lowest HP% enemy","75","Heavy","Dark","裁きの執行","30549092","✓","✓"
"Gabranth","Frost Purge","USB2","","Bringer of Justice","1","PHY","Single enemy","Physical","3.25","Dark","1.65","One single attack (3.25) capped at 99999","Y","Lowest HP% enemy","75","Heavy","Dark","裁きの執行","30549093","✓","✓"
"Gabranth","Frost Purge","USB2","","Bringer of Justice","2","PHY","Single enemy","Physical","6.50","Dark","1.65","One single attack (6.50) capped at 99999","Y","Lowest HP% enemy","75","Heavy","Dark","裁きの執行","30549094","✓","✓"
"Gabranth","Frost Purge","USB2","","Bringer of Justice","3","PHY","Single enemy","Physical","10.15","Dark","1.65","One single attack (10.15) capped at 99999","Y","Lowest HP% enemy","75","Heavy","Dark","裁きの執行","30549095","✓","✓"
"Vayne","Relentless Drive","USB2","","Cast Below","0","NAT","Single enemy","Hybrid","","Dark","1.65","One single hybrid attack (1.92 or 7.92)","Y","Lowest HP% enemy","75","Darkness","Darkness","奈落一蹴","30549361","✓","✓"
"Vayne","Relentless Drive","USB2","","Cast Below","1","NAT","Single enemy","Hybrid","","Dark","1.65","One single hybrid attack (3.25 or 12.00) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","奈落一蹴","30549362","✓","✓"
"Vayne","Relentless Drive","USB2","","Cast Below","2","NAT","Single enemy","Hybrid","","Dark","1.65","One single hybrid attack (6.50 or 20.80) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","奈落一蹴","30549363","✓","✓"
"Vayne","Relentless Drive","USB2","","Cast Below","3","NAT","Single enemy","Hybrid","","Dark","1.65","One single hybrid attack (10.15 or 35.00) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","奈落一蹴","30549364","✓","✓"
"Lightning","Lightning Blitz","USB2","","Thunder and Lightning","0","PHY","Single enemy","Physical","1.81","Lightning","1.20","One single attack (1.81)","Y","Lowest HP% enemy","75","Celerity","Lightning","電光雷轟","30546011","✓","✓"
"Lightning","Lightning Blitz","USB2","","Thunder and Lightning","1","PHY","Single enemy","Physical","3.06","Lightning","1.20","One single attack (3.06) capped at 99999","Y","Lowest HP% enemy","75","Celerity","Lightning","電光雷轟","30546012","✓","✓"
"Lightning","Lightning Blitz","USB2","","Thunder and Lightning","2","PHY","Single enemy","Physical","6.11","Lightning","1.20","One single attack (6.11) capped at 99999","Y","Lowest HP% enemy","75","Celerity","Lightning","電光雷轟","30546013","✓","✓"
"Lightning","Lightning Blitz","USB2","","Thunder and Lightning","3","PHY","Single enemy","Physical","9.55","Lightning","1.20","One single attack (9.55) capped at 99999","Y","Lowest HP% enemy","75","Celerity","Lightning","電光雷轟","30546014","✓","✓"
"Nabaat","Fatal Refrain","USB2","","Descent Gear","0","BLK","Single enemy","Magical","6.18","Dark","0.01","One single attack (6.18)","Y","Lowest HP% enemy","75","Darkness","Dark","フォールダウン=ギア","30549665","✓","✓"
"Nabaat","Fatal Refrain","USB2","","Descent Gear","1","BLK","Single enemy","Magical","8.70","Dark","0.01","Six single attacks (1.45 each)","Y","Lowest HP% enemy","75","Darkness","Dark","フォールダウン=ギア","30549666","✓","✓"
"Nabaat","Fatal Refrain","USB2","","Descent Gear","2","BLK","Single enemy","Magical","15.06","Dark","0.01","Six single attacks (2.51 each)","Y","Lowest HP% enemy","75","Darkness","Dark","フォールダウン=ギア","30549667","✓","✓"
"Nabaat","Fatal Refrain","USB2","","Descent Gear","3","BLK","Single enemy","Magical","25.32","Dark","0.01","Six single attacks (4.22 each), causes [Imperil Dark 40% (5s)]","Y","Lowest HP% enemy","75","Darkness","Dark","フォールダウン=ギア","30549668","✓","✓"
"Y'shtola","Secret of the Lily","USB2","","Plenary Indulgence","0","WHT","Single ally","Magical","1.20","Holy","0.01","Restores HP (25), damages undeads","Y","Lowest HP% ally","75","White Magic","White Magic","インドゥルゲンティア","30542115","✓","✓"
"Y'shtola","Secret of the Lily","USB2","","Plenary Indulgence","1","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), damages undeads","Y","All allies","75","White Magic","White Magic","インドゥルゲンティア","30542116","✓","✓"
"Y'shtola","Secret of the Lily","USB2","","Plenary Indulgence","2","WHT","All allies","","","","0.01","Restores HP (55)","Y","All allies","75","White Magic","White Magic","インドゥルゲンティア","30542117","✓","✓"
"Y'shtola","Secret of the Lily","USB2","","Plenary Indulgence","3","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (55), damages undeads, grants [Last Stand]","Y","All allies","75","White Magic","White Magic","インドゥルゲンティア","30542118","✓","✓"
"Thancred","Wheel of Life","USB1","","Trick Attack","0","PHY","Single enemy","Physical","1.62","Earth, Fire","0.83","One single attack (1.62)","Y","Lowest HP% enemy","75","Ninja","Ninja","だまし討ち","30549121","✓","✓"
"Thancred","Wheel of Life","USB1","","Trick Attack","1","PHY","Single enemy","Physical","2.61","Earth, Fire","0.83","Three single attacks (0.87 each), [DEF -40%] for 15 seconds","Y","Lowest HP% enemy","75","Ninja","Ninja","だまし討ち","30549122","✓","✓"
"Thancred","Wheel of Life","USB1","","Trick Attack","2","PHY","Single enemy","Physical","4.92","Earth, Fire","0.83","Six single attacks (0.82 each), [DEF -40%] for 15 seconds","Y","Lowest HP% enemy","75","Ninja","Ninja","だまし討ち","30549123","✓","✓"
"Thancred","Wheel of Life","USB1","","Trick Attack","3","PHY","Single enemy","Physical","7.30","Earth, Fire","0.83","Ten single attacks (0.73 each), [ATK, DEF and RES -70%] for 8 seconds","Y","Lowest HP% enemy","75","Ninja","Ninja","だまし討ち","30549124","✓","✓"
"Alphinaud","Garuda Exoburst","USB2","","Fester","0","SUM","Single enemy","Magical","7.92","Wind","1.65","One single attack (7.92)","N","Lowest HP% enemy","75","Summoning","Wind","ミアズマバースト","30543053","✓","✓"
"Alphinaud","Garuda Exoburst","USB2","","Fester","1","SUM","Single enemy","Magical","11.64","Wind","1.65","Three single attacks (3.88 each)","N","Lowest HP% enemy","75","Summoning","Wind","ミアズマバースト","30543054","✓","✓"
"Alphinaud","Garuda Exoburst","USB2","","Fester","2","SUM","Single enemy","Magical","19.32","Wind","1.65","Six single attacks (3.22 each), Summoning smart ether 1 to the user","N","Lowest HP% enemy","75","Summoning","Wind","ミアズマバースト","30543055","✓","✓"
"Alphinaud","Garuda Exoburst","USB2","","Fester","3","SUM","Single enemy","Magical","29.64","Wind","1.65","Twelve single attacks (2.47 each), Summoning smart ether 1 to the user","N","Lowest HP% enemy","75","Summoning","Wind","ミアズマバースト","30543056","✓","✓"
"Cid (XIV)","Flamethrower (XIV)","USB2","","Heat Blast (XIV)","0","PHY","Single enemy","Physical","1.44","Fire, Earth, Wind, Poison, NE","0.01","One single ranged attack (1.44)","Y","Lowest HP% enemy","75","Machinist","Machinist, Support","ヒートブラスト","31540956","✓","✓"
"Cid (XIV)","Flamethrower (XIV)","USB2","","Heat Blast (XIV)","1","PHY","Single enemy","Physical","2.28","Fire, Earth, Wind, Poison, NE","0.01","Six single ranged attacks (0.38 each)","Y","Lowest HP% enemy","75","Machinist","Machinist, Support","ヒートブラスト","31540957","✓","✓"
"Cid (XIV)","Flamethrower (XIV)","USB2","","Heat Blast (XIV)","2","PHY","Single enemy","Physical","4.50","Fire, Earth, Wind, Poison, NE","0.01","Six single ranged attacks (0.75 each), causes [DEF -30% (8s)]","Y","Lowest HP% enemy","75","Machinist","Machinist, Support","ヒートブラスト","31540958","✓","✓"
"Cid (XIV)","Flamethrower (XIV)","USB2","","Heat Blast (XIV)","3","PHY","Single enemy","Physical","6.96","Fire, Earth, Wind, Poison, NE","0.01","Six single ranged attacks (1.16 each), causes [DEF, RES and MND -50% (8s)]","Y","Lowest HP% enemy","75","Machinist","Machinist, Support","ヒートブラスト","31540959","✓","✓"
"Gaffgarion","Unholy Sacrifice","USB2","","Abyssal Blade","0","PHY","Single enemy","Physical","1.92","Dark","1.65","One single attack (1.92)","Y","Lowest HP% enemy","75","Darkness","Darkness","イービルブレード","30549469","✓","✓"
"Gaffgarion","Unholy Sacrifice","USB2","","Abyssal Blade","1","PHY","Single enemy","Physical","3.25","Dark","1.65","One single attack (3.25) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","イービルブレード","30549560","✓","✓"
"Gaffgarion","Unholy Sacrifice","USB2","","Abyssal Blade","2","PHY","Single enemy","Physical","6.50","Dark","1.65","One single attack (6.50) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","イービルブレード","30549561","✓","✓"
"Gaffgarion","Unholy Sacrifice","USB2","","Abyssal Blade","3","PHY","Single enemy","Physical","10.15","Dark","1.65","One single attack (10.15) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","イービルブレード","30549562","✓","✓"
"Sice","Grim Reaper","AASB1","","Life Reaper","0","PHY","Single enemy","Physical","1.92","Dark, NE","1.65","One single attack (1.92), grants [100% Critical 1] to the user","Y","Lowest HP% enemy","75","Darkness","Darkness","刈命","30549963","✓","✓"
"Sice","Grim Reaper","AASB1","","Life Reaper","1","PHY","Single enemy","Physical","3.20","Dark, NE","1.65","One single attack (3.20) capped at 99999","Y","Lowest HP% enemy","75","Darkness","Darkness","刈命","30549964","✓","✓"
"Sice","Grim Reaper","AASB1","","Life Reaper","2","PHY","Single enemy","Physical","6.40","Dark, NE","1.65","One single attack (6.40) capped at 99999, grants [Buff Dark 10% (15s)] to all allies","Y","Lowest HP% enemy","75","Darkness","Darkness","刈命","30549965","✓","✓"
"Sice","Grim Reaper","AASB1","","Life Reaper","3","PHY","Single enemy","Physical","10.00","Dark, NE","1.65","One single attack (10.00) capped at 99999, grants [Buff Dark 10% (15s)] to all allies, grants [High Quick Cast 1] to the user","Y","Lowest HP% enemy","75","Darkness","Darkness","刈命","30549966","✓","✓"
"Serafie","Wind Rhapsody","USB1","","Triumphant March","0","BLK","Single enemy","Magical","6.18","Wind","0.01","One single attack (6.18)","Y","Lowest HP% enemy","75","Black Magic","Wind","凱旋マーチ","30541453","✓","✓"
"Serafie","Wind Rhapsody","USB1","","Triumphant March","1","BLK","Single enemy","Magical","8.70","Wind","0.01","Six single attacks (1.47 each)","Y","Lowest HP% enemy","75","Black Magic","Wind","凱旋マーチ","30541454","✓","✓"
"Serafie","Wind Rhapsody","USB1","","Triumphant March","2","BLK","Single enemy","Magical","15.06","Wind","0.01","Six single attacks (2.51 each)","Y","Lowest HP% enemy","75","Black Magic","Wind","凱旋マーチ","30541455","✓","✓"
"Serafie","Wind Rhapsody","USB1","","Triumphant March","3","BLK","Single enemy","Magical","25.32","Wind","0.01","Six single attack (4.22 each), causes [Imperil Wind 40% (5s)]","Y","Lowest HP% enemy","75","Black Magic","Wind","凱旋マーチ","30541456","✓","✓"
"Fina","Blossom Heart","USB1","","Blossom Heal","0","WHT","Single ally","","","","0.01","Restores HP (25)","N","Lowest HP% ally","75","White Magic","White Magic, Support","ブロッサムヒール","30542567","✓","✓"
"Fina","Blossom Heart","USB1","","Blossom Heal","1","WHT","All allies","","","","0.01","Restores HP (25)","N","All allies","75","White Magic","White Magic, Support","ブロッサムヒール","30542568","✓","✓"
"Fina","Blossom Heart","USB1","","Blossom Heal","2","WHT","All allies","","","","0.01","Restores HP (55)","N","All allies","75","White Magic","White Magic, Support","ブロッサムヒール","30542569","✓","✓"
"Fina","Blossom Heart","USB1","","Blossom Heal","3","WHT","All allies","","","","0.01","Restores HP (55), grants [High Quick Cast 1]","N","All allies","75","White Magic","White Magic, Support","ブロッサムヒール","30542660","✓","✓"
