"Character","Source","SB Ver","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","GL","✓"
"Ceodore","Zenith Gleam Thruster","ZSB1","","Vibra Slash+","PHY","Single enemy","Physical","7.20","Holy","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","バイブレイ・スラッシュ改","30211292","","✓"
"Rubicante","Zenith Wild Inferno","ZSB1","","Inferno+","BLK","Single enemy","Magical","19.75","Fire","1.65","Five single attacks (3.8/3.95 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Fire 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","かえんりゅう改","30111692","","✓"
"Ursula","Zenith Crushing Fist","ZSB1","","Five Star Crimson Palm+","PHY","Single enemy","Physical","7.20","Earth","0.82","Six single attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","五星紅天掌改","30191352","","✓"
"Barbariccia","Zenith Gale Warning","ZSB1","","Whirlwind+","BLK","Single enemy","Magical","19.00","Wind","0.01","Five single attacks (3.80/3.95) each capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","70","Black Magic","たつまき改","30111452","","✓"
"Barbariccia","Zenith Gale Warning","ZSB1","","Maelstrom+","?","Single","Magical","","Wind","","Seven single attacks (? each) capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Black Magic","ミールストーム改","30111812","",""
"Lenna","Zenith Princesses' Prayer","ZSB1","","Tycoon Cure+","WHT","All allies","","","","1.65","Restores HP (17.5) to all allies and grants [Quick Cast 1] to all allies after every second activation","N","All allies","90","White Magic","タイクーン・ケアル改","30121362","","✓"
"Galuf","Zenith Single-Mindedness","ZSB1","","Fist of the Dawn+","PHY","Single enemy","Physical","6.00","Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, grants [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","90","Monk","暁の一撃改","30191262","","✓"
"Galuf","Zenith Single-Mindedness","ZSB1","","Dawn Strike+","?","Single enemy","Physical","","Earth","","Six single attacks (?/? each) capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Combat","暁の剣撃改","30151242","",""
"Gogo (V)","Zenith Waterja Punishment","ZSB1","","Total Mastery+","BLK","Single enemy","Magical","19.00","Water","1.65","Five single attacks (3.80/3.95) each capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Water 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","めんきょかいでん改","30111672","","✓"
"Gilgamesh","Zenith Excalibur?","ZSB1","","Death Claw+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20 each), 100% additional critical chance if user has [Retaliate] or [High Retaliate], capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Samurai","デスクロー改","30221242","","✓"
"Bartz","Zenith Ethereal Bond","ZSB1","","Crystal Shimmer+","PHY","Single enemy","Physical","6.00","Fire, Water, Wind, Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","四晶の輝き改","30141272","","✓"
"Bartz","Zenith Aqueous Bond","ZSB2","","Crystal Shimmer+","PHY","Single enemy","Physical","6.00","Fire, Water, Wind, Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","四晶の輝き改","30141272","","✓"
"Bartz","Zenith Flame Bond","ZSB3","","Crystal Shimmer+","PHY","Single enemy","Physical","6.00","Fire, Water, Wind, Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","四晶の輝き改","30141272","","✓"
"Bartz","Zenith Ground Bond","ZSB4","","Crystal Shimmer+","PHY","Single enemy","Physical","6.00","Fire, Water, Wind, Earth","1.65","Five single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","四晶の輝き改","30141272","","✓"
"Faris","Zenith Flame Storm","ZSB1","","Pirate Cannon+","PHY","Single enemy","Physical","4.40","Wind, Fire","0.82","Four single ranged attacks (1.10 each), causes [ATK and MAG -50% (8s)], grants [ATK and MAG +50% (8s)] to self","Y","Lowest HP% enemy","80","Thief","パイレーツキャノン改","30201212","","✓"
"Faris","Zenith Flame Storm","ZSB1","","Serpent's Gale+","PHY","Single enemy","Physical","6.00","Wind, Fire","1.20","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ users","Y","Lowest HP% enemy","80","Thief","海竜の暴風改","30201282","","✓"
"Dorgann","Zenith Blade Lore","ZSB1","","Brotherhood of the Dawn+","PHY","Single enemy","Physical","","Earth","1.65","Six single attacks (? each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Knight","暁の絆改","30211382","",""
"Dorgann","Zenith Blade Lore","ZSB1","","Seal Guardian+","?","Single enemy","Physical","","Earth","","Four single attacks (? each), grants [Knight Quick Cast 2] to the user","?","Lowest HP% enemy","","Knight","封印を見守りし者","30211502","",""
"Exdeath","Zenith Grand Cross","ZSB1","","Double Hole+","NAT","Single enemy","Magical","19.35","Dark, Holy","1.65","Five single hybrid attacks (3.80/3.95 or 3.87/4.02 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Darkness","ダブルホール改","30271212","","✓"
"Krile","Zenith Meteoric Assault","ZSB1","","Cleansing+","BLK","Single enemy","Magical","15.00","Fire, Earth","0.01","Four single attacks (3.75 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","70","Black Magic","心撃・クルル","30111412","","✓"
"Krile","Zenith Meteoric Assault","ZSB1","","Kindred Flame+","SUM","Single enemy","Magical","26.25","Fire, Earth","1.65","Five single attacks (5.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Summoning","心撃・クルル","30131552","","✓"
"Xezat","Zenith Spellstrike Icecrusher","ZSB1","","Spellsword Iceshock+","PHY","Single enemy","Physical","","Earth, Ice, Lightning","1.65","Four single attacks (? each), followed by one single attack (?) with additonal 20% critical damage, capped 9999/19999 after 0-2/3+ uses ","N","Lowest HP% enemy","90","Spellblade","魔法剣術・砕凍雷改","30141392","",""
"Xezat","Zenith Spellstrike Icecrusher","ZSB1","","King's Spellblade+","?","Single enemy","Physical","","Earth, Ice, Lightning","","Three single attacks (? each), grants [Instant Cast 1] to the user","?","Lowest HP% enemy","","Spellblade","王の魔法剣","30141492","",""
"Kelger","Zenith Lupine Force","ZSB1","","Lupine Fang+","PHY","Single enemy","Physical","3.60","Earth","0.82","3/5/7 single attacks (1.20/1.25 each) if the user has Physical Blink 0/1/2, capped at 9999/19999 after 0-2/3+ uses, grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","Y","Lowest HP% enemy","80","Ninja","ルパインファング改","30231242","","✓"
"Terra","Zenith Scorching Flames","ZSB1","","Riot Blade+","BLK","Single enemy","Magical","35.20","Fire, Wind","1.65","Four single attacks (3.80/3.95 each), followed by one single attack (20.00/20.75 each) that ignores RES, capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","ライオットソード改","30111432","","✓"
"Terra","Zenith Riot Blade","ZSB2","","Riot Blade+","BLK","Single enemy","Magical","35.20","Fire, Wind","1.65","Four single attacks (3.80/3.95 each), followed by one single attack (20.00/20.75 each) that ignores RES, capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","ライオットソード改","30111432","",""
"Locke","Zenith Slash & Soar","ZSB1","","Mirage Raid+","PHY","Single enemy","Physical","4.40","Fire","0.82","Four single attacks (1.10 each), causes [ATK and DEF -50% (8s)], gants [ATK and DEF +50% (8s)] to the user","Y","Lowest HP% enemy","80","Thief","ミラージュレイド改","30201152","",""
"Locke","Zenith Slash & Soar","ZSB1","","Burning Spirit+","PHY","Single enemy","Physical","7.20","Fire","1.20","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","80","Thief","バーニンスピリット改","30201292","",""
"Celes","Zenith Divine Edge","ZSB1","","Spinning Edge+","PHY","All enemies","Physical","6.00","Ice, Holy","1.65","Five group attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","スピニングエッジ改","30141262","","✓"
"Celes","Zenith Shimmering Icerain","ZSB2","","Spinning Edge+","PHY","All enemies","Physical","6.00","Ice, Holy","1.65","Five group attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","スピニングエッジ改","30141262","","✓"
"Celes","Zenith Spellblade Unleashed","ZSB3","","Spinning Edge+ II","PHY","All enemies","Physical","7.20","Ice, Holy","1.65","Six group attacks (1.20 each)","N","All enemies","90","Spellblade","スピニングエッジ改II","30141263","","✓"
"Edgar","Zenith Chainsaw","ZSB1","","Withering Shot+","PHY","Single enemy","Physical","3.30","Poison, Fire, Lightning","1.20","Three single attacks (1.10 each) causes [Imperil Poison 10% (5s)], [Imperil Fire 10% (5s)] and [Imperil Lightning 10% (5s)]","Y","Lowest HP% enemy","90","Machinist","ウィークメーカー改","30261242","","✓"
"Edgar","Zenith Chainsaw","ZSB1","","Chainsaw+","PHY","Single enemy","Physical","6.00","Poison, Fire, Lightning","1.65","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Machinist","回転のこぎり改","30261312","","✓"
"Edgar","Zenith Bio Chainsaw","ZSB2","","Withering Shot+","PHY","Single enemy","Physical","3.30","Poison, Fire, Lightning","1.20","Three single attacks (1.10 each) causes [Imperil Poison 10% (5s)], [Imperil Fire 10% (5s)] and [Imperil Lightning 10% (5s)]","Y","Lowest HP% enemy","90","Machinist","ウィークメーカー改","30261242","","✓"
"Edgar","Zenith Bio Chainsaw","ZSB2","","Chainsaw+","PHY","Single enemy","Physical","6.00","Poison, Fire, Lightning","1.65","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Machinist","回転のこぎり改","30261312","","✓"
"Sabin","Zenith Soaring Phoenix","ZSB1","","Raging Fist (VI)+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","爆裂拳【VI】改","30191292","","✓"
"Shadow","Zenith Dark Evade","ZSB1","","Shadow Fang+","PHY","Single enemy","Physical","10.95","Dark","0.82","Four single ranged attacks (1.20/1.25 each), followed by one single ranged attack (6.15/6.35 each) that ignores DEF, damage capped at 9999/19999 after 0-2/3+ uses, 100% hit rate","Y","Lowest HP% enemy","80","Ninja","シャドウファング改","30231192","",""
"Cyan","Zenith Bushido: Echo","ZSB1","","Bushido Tempest+","PHY","Single enemy","Physical","7.70","Fire","3.30","Seven single attacks (1.10/1.15 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Samurai","必殺剣・烈改","30221292","","✓"
"Cyan","Zenith Bushido: Echo","ZSB1","","Bushido Wildfire+","PHY","Single enemy","Physical","4.40","Fire","1.20","Four single attacks (1.10 each), grants [Samurai Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Samurai","必殺剣・灼改","30221332","","✓"
"Gau","Zenith Savory Treat","ZSB1","","Rage+","PHY","Single enemy","Physical","7.20","Wind, Lightning","1.20","Six single attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses (no recoil damage)","Y","Lowest HP% enemy","80","Celerity","あばれる改","30171292","","✓"
"Setzer","Zenith Spare Darts","ZSB1","","Red Card+","PHY","Single enemy","Physical","4.40","Dark","1.20","Four single ranged attacks (1.10/1.15 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Dark 10% (5s)], randomly grants either [Sharpshooter Quick Cast 2] to the user, or restores 1000 HP to the lowest health ally and removes Poison, Blind, and Sleep","Y","Lowest HP% enemy","90","Shooter","ブラッディカード改","30281232","","✓"
"Setzer","Zenith Spare Darts","ZSB1","","Dealer Shuffle+","?","Single enemy","Physical","","Dark","","Six single ranged attacks (?/? each) capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Sharpshooter","ディールシャッフル改","30281302","",""
"Setzer","Zenith The Blackjack Soars","ZSB2","","Red Card+","PHY","Single enemy","Physical","4.40","Dark","1.20","Four single ranged attacks (1.10/1.15 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Dark 10% (5s)], randomly grants either [Sharpshooter Quick Cast 2] to the user, or restores 1000 HP to the lowest health ally and removes Poison, Blind, and Sleep","Y","Lowest HP% enemy","90","Sharpshooter","ブラッディカード改","30281232","","✓"
"Setzer","Zenith The Blackjack Soars","ZSB2","","Dealer Shuffle+","?","Single enemy","Physical","","Dark","","Six single ranged attacks (?/? each) capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Sharpshooter","ディールシャッフル改","30281302","",""
"Strago","Zenith Tsunami","ZSB1","","Aqua Breath+","BLK","Single enemy","Magical","22.80","Water","1.65","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","アクアブレス改","30111522","","✓"
"Relm","Zenith Miraculous Potion","ZSB1","","Starlight+","?","All allies","","","","","Randomly restores HP (?) (33%), restores HP (?) (33%), restores HP (?) (33%) or restores HP (?) (1%)","?","All allies","","White Magic","スターライト改","30121422","",""
"Relm","Zenith Miraculous Potion","ZSB1","","Milky Way+","?","All allies","","","","","Restores 2000 HP, grants [Critical Chance 10%/20%/30%/40%/50% (Milky Way)], grants [Drawing 1/2/3/4/4] to the user if the user has Drawing 0/1/2/3/4","?","All allies","","Support","ミルキーウェイ改","30161392","",""
"Umaro","Zenith Yellow Cherry","ZSB1","","Icestorm+","PHY","Single enemy","Physical","7.50","Ice","1.20","One single attack (7.50) capped at 99999","Y","Lowest HP% enemy","90","Monk","ふぶき改","30191362","","✓"
"Umaro","Zenith Yellow Cherry","ZSB1","","Furious Tackle+","PHY","Single enemy","Physical","7.20","Ice","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","げきどのたいあたり改","30191452","","✓"
"Kefka","Zenith Forsaken Null","ZSB1","","Havoc Wing+","BLK","Single enemy","Magical","22.80","Dark, Poison","1.65","Six single attacks (3.80/3.95 each) capped at 19999 after 0-2/3+ uses, grants [MND -30% (8s)] to the user","Y","Lowest HP% enemy","90","Darkness","はかいのつばさ改","30271262","","✓"
"Kefka","Zenith Catastrophe Null","ZSB2","","Havoc Wing+","BLK","Single enemy","Magical","22.80","Dark, Poison","1.65","Six single attacks (3.80/3.95 each) capped at 19999 after 0-2/3+ uses, grants [MND -30% (8s)] to the user","Y","Lowest HP% enemy","90","Darkness","はかいのつばさ改","30271262","","✓"
"Leo","Zenith Shattering Highblade","ZSB1","","Shock+","PHY","Single enemy","Physical","7.50","Earth, Holy","1.20","One single attack (7.50) capped at 99999","Y","Lowest HP% enemy","90","Knight","ショック改","30211312","","✓"
"Leo","Zenith Shattering Highblade","ZSB1","","Fallen Warrior's Blade+","PHY","Single enemy","Physical","7.20","Earth, Holy","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","士魂込めし剣改","30211442","","✓"
"Ultros","Zenith Fiend of the Lethe River...?! ","ZSB1","","Totally Ink+","NAT","Single enemy","Hybrid","","Poison","1.65","Six single attacks (1.20/1.25 or 3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Black Magic","おもいっきりすみ改","30111782","","✓"
"Cloud","Zenith Cross Slash","ZSB1","","Braver+","PHY","Single enemy","Physical","6.00","Wind, Dark","1.65","Five single attacks (1.20/1.25 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","ブレイバー改","30141292","","✓"
"Cloud","Zenith Meteor Rain","ZSB2","","Braver+","PHY","Single enemy","Physical","6.00","Wind, Dark","1.65","Five single attacks (1.20/1.25 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","ブレイバー改","30141292","","✓"
"Cloud","Zenith D Side Braver","ZSB3","","Braver+ II","PHY","Single enemy","Physical","7.20","Wind, Dark","1.65","Six single attacks (1.20 each)","N","Lowest HP% enemy","90","Spellblade","ブレイバー改II","30141293","","✓"
"Barret","Zenith Catastrophe","ZSB1","","Ungarmax+","PHY","Single enemy","","","Fire","1.65","Seven single attacks (? each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Machinist","アンガーマックス改","30261282","",""
"Barret","Zenith Catastrophe","ZSB1","","Soul of AVALANCHE+","NAT","Single ally","","","","0.01","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 2] to the user","N","Single ally","100","Support","アバランチソウル改","30161312","",""
"Tifa","Zenith Beat Rush","ZSB1","","Beat Rush+","PHY","Single enemy","Physical","7.20","Earth","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","掌打ラッシュ改","30191242","","✓"
"Tifa","Zenith Beat Rush","ZSB1","","Somersault+","PHY","Single enemy","Physical","4.40","Earth","1.20","Four single attacks (1.10 each), grants [Monk Quick Cast 2] to the user","Y","Lowest HP% enemy","90","Monk","サマーソルト改","30191412","","✓"
"Aerith","Zenith Prayer of Salvation","ZSB1","","Healing Wind+","WHT","All allies","","","","1.65","Restores HP (25), grants [Quick Cast 1] every second activation","N","All allies","100","White Magic","癒しの風改","30121372","",""
"Aerith","Zenith Prayer of Salvation","ZSB1","","Refreshing Breeze+","WHT","All allies","","","","","Restores 2500 HP, grants [??? ATK +5%/10%/20%/30%], grants [??? 1/2/3/3] to the user if the user has ??? 0/1/2/3","N","All allies","","White Magic","そよ風の息吹改","30121592","",""
"Red XIII","Zenith Lunatic Ray","ZSB1","","Earth Rave+","BLK","Single enemy","","","Earth","1.65","Five single attacks (? each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Earth 10% (5s)]","N","Lowest HP% enemy","90","Black Magic","アースレイヴ改","30111442","",""
"Yuffie","Zenith Doom of the Living","ZSB1","","Gauntlet+","PHY","Single enemy","Physical","7.52","Water, Earth","1.65","Eight single ranged attacks (0.94 each)","N","Lowest HP% enemy","90","Ninja","鎧袖一触改","30231232","","✓"
"Yuffie","Zenith Doom of the Living","ZSB1","","Clearest Tranquil+","PHY","Single enemy","Physical","4.80","Water, Earth","0.82","4/5/6 single ranged attacks (1.20/1.25 each) if the user has Physical Blink 0/1/2, capped at 9999/19999 after 0-2/3+ uses, grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","N","Lowest HP% enemy","80","Ninja","我流・明鏡止水改","30231282","","✓"
"Yuffie","Zenith Moonless Shower","ZSB2","","Gauntlet+","PHY","Single enemy","Physical","7.52","Water, Earth","1.65","Eight single ranged attacks (0.94 each)","N","Lowest HP% enemy","90","Ninja","鎧袖一触改","30231232","","✓"
"Yuffie","Zenith Moonless Shower","ZSB2","","Clearest Tranquil+","PHY","Single enemy","Physical","4.80","Water, Earth","0.82","4/5/6 single ranged attacks (1.20/1.25 each) if the user has Physical Blink 0/1/2, capped at 9999/19999 after 0-2/3+ uses, grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","N","Lowest HP% enemy","80","Ninja","我流・明鏡止水改","30231282","","✓"
"Cait Sith","Zenith Danger Dice","ZSB1","","Joyful Dance+","NAT","All enemies","","","","1.20","Causes [DEF and RES -50% (8s)], grants [HP Stock (1000)] to all allies","N","All enemies","100","Dancer","ジョイフルダイス改","30251142","","✓"
"Vincent","Zenith Flame Penalty","ZSB1","","Beast Flare+","NAT","Single enemy","Hybrid","","Fire","1.65","Six single hybrid ranged attacks (1.20/1.25 or 3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","N","Lowest HP% enemy","90","Machinist","ビーストフレア改","30261172","","✓"
"Zack","Zenith Rush Assault","ZSB1","","Rush Assault+","PHY","Single enemy","Physical","7.20","Wind","1.20","Six single attacks (1.20 each), capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Celerity","ハードラッシュ改","30171272","","✓"
"Sephiroth","Zenith Heaven's Light","ZSB1","","Heartless Angel+","PHY","Single enemy","Physical","","Dark","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, 100% hit rate","Y","Lowest HP% enemy","90","Darkness","心無い天使改","30271232","",""
"Sephiroth","Zenith Flame of Nibelheim","ZSB2","","Scintilla+","PHY","Single enemy","Physical","7.50","Dark","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Samurai","閃光改","30221282","","✓"
"Cid (VII)","Zenith D Boost","ZSB1","","Boost Jump+","PHY","Single enemy","Physical","7.20","Wind","1.65","Six single ranged jump attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Dragoon","ブーストジャンプ改","30181302","","✓"
"Reno","Zenith Turk Special","ZSB1","","Pyramid+","NAT","Single enemy","Hybrid","","Lightning, NE","1.65","Six ranged attacks (? or ? each) capped at 9999/19999 after 0-2/3+ uses, removes [Haste] every second activation","N","Lowest HP% enemy","90","Machinist","ピラミッド改","30261212","",""
"Reno","Zenith Turk Special","ZSB1","","Plasma Light+","PHY","Single enemy","Physical","","Lightning","1.20","Five ranged attacks (? each), causes [Imperil Lightning 10% (5s)]","N","Lowest HP% enemy","","Machinist","プラズマ光線改","30261382","",""
"Angeal","Zenith SOLDIER's Peak","ZSB1","","Wings of Pride+","PHY","Single enemy","Physical","3.30","Wind, Holy","1.20","3/5 single attacks (1.10 each) if the user hasn't/has any Damage Reduction Barrier, grants [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","90","Knight","傲慢なる翼改","30211282","","✓"
"Angeal","Zenith SOLDIER's Peak","ZSB1","","Unleashed Wrath+","PHY","Single enemy","Physical","6.00","Wind, Holy","1.65","Four single attacks (1.20/1.25 each), followed by one single attack (1.20/1.25) with additional 20% critical damage, capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Knight","憤怒の解放改","30211412","","✓"
"Rufus","Zenith Reign of Terror","ZSB1","","Mako Barrage+","PHY","Single enemy","Physical","6.00","Dark","1.65","Five single ranged attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Dark 10% (5s)]","Y","Lowest HP% enemy","90","Darkness","魔晄銃改","30271312","","✓"
"Rufus","Zenith Reign of Terror","ZSB1","","President's Shot+","?","Single enemy","Physical","","Dark","","Seven single ranged attacks (? each)","?","Lowest HP% enemy","","Sharpshooter","プレジデントショット改","30281292","",""
"Shelke","Zenith Synaptic Net Dive","ZSB1","","Synaptic Net Dive+","PHY","Single enemy","Physical","4.40","Lightning","0.82","Four single attacks (1.10/1.15 each), multiplier increases after 3 uses, grants [High Quick Cast 1]","Y","Lowest HP% enemy","90","Celerity","SND改","30171282","","✓"
"Shelke","Zenith Synaptic Net Dive","ZSB1","","Transparent+","NAT","Single ally","","","","1.20","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Instant Cast 1] to the target","N","Random ally prioritizing self last","100","Support","無式改","30161292","","✓"
"Shelke","Zenith Synaptic Net Dive","ZSB1","","Rapid Spark+","?","Single enemy","Physical","","Lightning","","Seven single ranged attacks (?/? each) capped at 9999/19999 after 0-2/3+ uses","?","Lowest HP% enemy","","Celerity","ラピッドスパーク改","30171322","",""
"Shelke","Zenith Transparent Fulmination","ZSB2","","Synaptic Net Dive+","PHY","Single enemy","Physical","4.40","Lightning","0.82","Four single attacks (1.10/1.15 each), multiplier increases after 3 uses, grants [High Quick Cast 1]","Y","Lowest HP% enemy","90","Celerity","SND改","30171282","","✓"
"Shelke","Zenith Transparent Fulmination","ZSB2","","Transparent+","NAT","Single ally","","","","1.20","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Instant Cast 1] to the target","N","Random ally prioritizing self last","100","Support","無式改","30161292","","✓"
"Shelke","Zenith Transparent Fulmination","ZSB2","","Rapid Spark+","PHY","Single enemy","Physical","6.65","Lightning","1.20","Seven single ranged attacks (0.95/1.00 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","80","Celerity","ラピッドスパーク改","30171322","","✓"
"Rude","Zenith Thunderstone","ZSB1","","Grand Spark+","NAT","Single enemy","Hybrid","6.00","Earth, Lightning","1.65","Five single ranged hybrid attacks (1.20/1.25 or 3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Monk","地走り改","30191422","","✓"
"Rude","Zenith Thunderstone","ZSB1","","Quake First+","NAT","Single enemy","Hybrid","4.40","Earth, Lightning","1.20","Four single ranged hybrid attacks (1.10 or 3.60 each), causes [Imperil Earth 10% (5s)] and [Imperil Lightning 10% (5s)] to the target","Y","Lowest HP% enemy","90","Monk","クエイクフィスト改","30191502","","✓"
"Elena","Zenith Rookie Rampage","ZSB1","","Elite Resolve+","PHY","Single enemy","Physical","6.00","Fire, Lightning","1.65","Five single ranged attacks (1.20 each) capped at 9999/19999 after 0-2/3+ uses, causes [Imperil Fire 10% (5s)] and [Imperil Lightning 10% (5s)] to the target","Y","Lowest HP% enemy","90","Sharpshooter","エリートの意地改","30281242","","✓"
"Elena","Zenith Rookie Rampage","ZSB1","","Rookie Sneak Attack+","?","Single enemy","Physical","","Fire, Lightning","","Four single ranged attacks (? each), grants [Sharpshooter Quick Cast 2] to the user","?","Lowest HP% enemy","","Sharpshooter","新人の不意打ち改","30281312","",""
"Genesis","Zenith Aldebaran","ZSB1","","Genesis Slash+","PHY","Single enemy","Physical","7.20","Fire","1.65","Six single attacks (1.20/1.25 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","創世の斬撃改","30141322","","✓"
"Squall","Zenith Renzokuken (Fire)","ZSB1","","Renzokuken+","PHY","Single enemy","Physical","6.00","Fire, Ice","1.65","Five group attacks (1.20) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","連続剣改","30141252","","✓"
"Squall","Zenith Renzokuken (Ice)","ZSB2","","Renzokuken+","PHY","Single enemy","Physical","6.00","Fire, Ice","1.65","Five group attacks (1.20) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Spellblade","連続剣改","30141252","","✓"
"Squall","Zenith Renzokuken (Dual)","ZSB3","","Renzokuken+II","PHY","Single enemy","Physical","7.20","Fire, Ice","1.65","Six group attacks (1.20)","Y","Lowest HP% enemy","90","Spellblade","連続剣改II","30141253","","✓"
"Rinoa","Zenith Angel Wing Quake","ZSB1","","Angel Wing+","BLK","Single enemy","Magical","22.80","Ice, Earth","2.60","Six single attacks (3.80/3.95 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Witch","ヴァリー改","30301082","","✓"
"Rinoa","Zenith Angel Wing Comet","ZSB2","","Angel Wing+II","BLK","Single enemy","Magical","22.80","Ice, Earth","1.65","Six single attacks (3.80 each) capped at 9999/19999 after 0-2/3+ uses","Y","Lowest HP% enemy","90","Witch","ヴァリー改II","30301083","","✓"
