"Character","Realm","Condition 1","1 - Points","Condition 2","2 - Points","Condition 3","3 - Points","Condition 4","4 - Points","Condition 5","5 - Points","Condition 6","6 - Points","Condition 7","7 - Points","Condition 8","8 - Points","Condition 9","9 - Points","GL","✓"
"Red XIII","VII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Squall","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Rinoa","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Quistis","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Selphie","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Zell","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Irvine","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Laguna","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Fujin","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Raijin","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Edea","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Seifer","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Kiros","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ward","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ultimecia","VIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Zidane","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Garnet","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Eiko","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Amarant","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Beatrix","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Steiner","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Vivi","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Marcus","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Kuja","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Freya","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Quina","IX","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Tidus","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Wakka","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Yuna","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Rikku","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Kimahri","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Auron","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Lulu","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Seymour","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Braska","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Jecht","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Paine","X","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Shantotto","XI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Prishe","XI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Lion","XI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Curilla","XI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ayame","XI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Aphmau","XI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Zeid","XI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Naja","XI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Lilisette","XI","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Balthier","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Fran","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Vaan","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ashe","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Penelo","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Basch","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Larsa","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Vayne","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Gabranth","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Reks","XII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Lightning","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Snow","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Sazh","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Fang","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Vanille","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Hope","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Serah","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Cid Raines","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Noel","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Nabaat","XIII","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Papalymo","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Y'shtola","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Yda","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Thancred","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Minfilia","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Alphinaud","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Cid (XIV)","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Estinien","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Haurchefant","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ysayle","XIV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Noctis","XV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Gladiolus","XV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Prompto","XV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ignis","XV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Iris","XV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Aranea","XV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Cor","XV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Lunafreya","XV","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Agrias","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ramza","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Unlock 10 Record Board tiles","15","Unlock 20 Record Board tiles","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Delita","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Mustadio","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Rapha","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 MAG Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Ovelia","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
"Orlandeau","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Marche","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 ATK Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","✓","✓"
"Alma","FFT","Reach Level 99","40","Unlock All Record Spheres","10","Complete Legend Spheres","10","Level 25 Magia","15","Level 50 Magia","15","Use 30 HP Crystal Waters","10","Use 30 DEF Crystal Waters","10","Use 30 RES Crystal Waters","10","Use 30 MND Crystal Waters","10","✓","✓"
