"Magicite","Img","Name","0","1","2","3","Type","Auto Target","Formula","Multiplier","Element","Time","Effects","Counter","Name (JP)","ID","GL","✓"
"Silver Dragon (IX)","","Aerial Slash","10%","15%","20%","40%","PHY","All enemies","Physical","9.00","Wind","1.00","Two group ranged attacks (4.50 each)","N","真空波","","✓","✓"
"Silver Dragon (IX)","","Blast Wave","20%","35%","50%","50%","PHY","All enemies","Physical","8.64","-","1.00","Two group ranged attacks (4.32 each)","N","衝撃波","","✓","✓"
"Silver Dragon (IX)","","Claw","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","クロー","","✓","✓"
"Tiamat (IX)","","Aeroga","10%","15%","20%","40%","BLU","Lowest HP% enemy","Magical","33.75","Wind","1.00","Three single attacks (11.25 each)","N","エアロガ","","✓","✓"
"Tiamat (IX)","","Silent Claw","20%","35%","50%","50%","PHY","Random enemy without status","Physical","10.26","-","1.00","Two single attacks (5.13 each), causes [Silence] (24%)","N","サイレントクロー","","✓","✓"
"Tiamat (IX)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","たたかう","","✓","✓"
"Typhon","","Vacuum Wave","10%","15%","20%","100%","PHY","Lowest HP% enemy","Physical","11.60","Wind","1.00","One single ranged attack (11.60) capped at 99999","N","しんくうは","","✓","✓"
"Typhon","","Gale Cut","20%","35%","60%","0%","PHY","Lowest HP% enemy","Physical","9.45","Wind","1.00","Three single ranged attacks (3.15 each)","N","れっぷうさつ","","✓","✓"
"Typhon","","Hit","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","なぐる","","✓","✓"
"Syldra","","Maelstrom","10%","15%","20%","100%","BLK","Lowest HP% enemy","Magical","35.00","Wind","1.00","One single attack (35.00) capped at 99999","N","ミールストーム","","✓","✓"
"Syldra","","Aeroga","20%","35%","60%","0%","BLK","Lowest HP% enemy","Magical","28.35","Wind","1.00","Three single attacks (9.45 each)","N","エアロガ","","✓","✓"
"Syldra","","Body Slam","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","体当たり","","✓","✓"
"Valefor (X)","","Majestic Wings","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Wind 10% (15s)]","N","威風の速翼","","✓","✓"
"Water Flan (X)","","Water","20%","35%","50%","70%","BLK","Lowest HP% enemy","Magical","15.00","Water","1.00","One single attack (15.00)","N","ウォータ","","✓","✓"
"Water Flan (X)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","たたかう","","✓","✓"
"Sahagin (IV)","","Water Cannon","20%","35%","50%","70%","NAT","Lowest HP% enemy","Magical","15.00","Water","1.00","One single attack (15.00)","N","水鉄砲","","✓","✓"
"Sahagin (IV)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","たたかう","","✓","✓"
"Anguiform (VI)","","Aqua Breath","20%","35%","50%","70%","NAT","All enemies","Magical","14.40","Water","1.00","One group attack (14.40)","N","アクアブレス","","✓","✓"
"Anguiform (VI)","","Garrote","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","まきつきしめる","","✓","✓"
"Sea Dragon (II)","","Tsunami","20%","35%","50%","70%","NAT","All enemies","Magical","14.40","Water","1.00","One group attack (14.40)","N","つなみ","","✓","✓"
"Sea Dragon (II)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","たたかう","","✓","✓"
"Bottomswell (VII)","","Big Wave","20%","35%","50%","70%","NAT","All enemies","Magical","17.28","Water","1.00","One group attack (17.28)","N","ビッグウェーブ","","✓","✓"
"Bottomswell (VII)","","Tail Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","6.48","-","1.00","One single attack (6.48)","N","テイルアタック","","✓","✓"
"Enki (XIII)","","Bellow","10%","15%","20%","40%","NAT","Random ally without status","","","","1.00","Grants [MAG +25%], [RES -25%] for Next Damaging Action","N","おたけび","","✓","✓"
"Enki (XIII)","","Waterburst","20%","35%","50%","50%","NAT","Lowest HP% enemy","Magical","21.60","Water","1.00","One single attack (21.60)","N","水弾","","✓","✓"
"Enki (XIII)","","Trample","70%","50%","30%","10%","PHY","All enemies","Physical","5.18","-","1.00","One group attack (5.18)","N","ふみつぶす","","✓","✓"
"Bismarck (VI)","","Breach Blast","10%","15%","20%","40%","NAT","All enemies","Magical","21.60","Water","1.00","One group attack (21.60)","N","バブルブロウ","","✓","✓"
"Bismarck (VI)","","Watera","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","21.60","Water","1.00","One single attack (21.60)","N","ウォタラ","","✓","✓"
"Bismarck (VI)","","Lunge","70%","50%","30%","10%","PHY","All enemies","Physical","5.18","-","1.00","One group attack (5.18)","N","体当たり","","✓","✓"
"Gizamaluke (IX)","","Water (Group)","10%","15%","20%","40%","BLK","All enemies","Magical","27.00","Water","1.00","Two group attacks (13.50 each)","N","ウォータ（全体）","","✓","✓"
"Gizamaluke (IX)","","Water","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","27.00","Water","1.00","Two single attacks (13.50 each)","N","ウォータ","","✓","✓"
"Gizamaluke (IX)","","Lunge","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","体当たり","","✓","✓"
"Octomammoth (IV)","","Waterga","10%","15%","20%","40%","BLK","Lowest HP% enemy","Magical","33.75","Water","1.00","Three single attacks (11.25 each)","N","ウォタガ","","✓","✓"
"Octomammoth (IV)","","Water","20%","35%","50%","50%","BLK","All enemies","Magical","21.60","Water","1.00","Two group attacks (10.80 each)","N","ウォータ","","✓","✓"
"Octomammoth (IV)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","たたかう","","✓","✓"
"Kraken (IX)","","Water Cannon","10%","15%","20%","40%","NAT","Lowest HP% enemy","Magical","33.75","Water","1.00","Three single attacks (11.25 each)","N","水鉄砲","","✓","✓"
"Kraken (IX)","","Ink","20%","35%","50%","50%","PHY","Random enemy without status","Physical","10.26","-","1.00","One single ranged attack (10.26), causes [Blind] (42%)","N","スミ","","✓","✓"
"Kraken (IX)","","Leg","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","足","","✓","✓"
"Geosgaeno (X)","","Hard Splash","10%","15%","20%","100%","PHY","Lowest HP% enemy","Physical","11.60","Water","1.00","One single ranged attack (11.60) capped at 99999","N","ハードスプラッシュ","","✓","✓"
"Geosgaeno (X)","","Hydro Palm","20%","35%","60%","0%","PHY","Lowest HP% enemy","Physical","9.45","Water","1.00","Three single attacks (3.15 each)","N","水圧掌","","✓","✓"
"Geosgaeno (X)","","Punch","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","パンチ","","✓","✓"
"Famfrit (XII)","","Waterja","10%","15%","20%","100%","BLK","Lowest HP% enemy","Magical","35.00","Water","1.00","One single attack (35.00) capped at 99999","N","ウォタジャ","","✓","✓"
"Famfrit (XII)","","Waterga","20%","35%","60%","0%","BLK","Lowest HP% enemy","Magical","28.35","Water","1.00","Three single attacks (9.45 each)","N","ウォタガ","","✓","✓"
"Famfrit (XII)","","Hit","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","なぐる","","✓","✓"
"Leviathan (V)","","Imperial Wave","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Water 10% (15s)]","N","皇水の一波","","✓","✓"
"Cooler Mammoth (Ultra Gigas)","","Gigas Blast: Water","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","","One single attack that deals 199999 damage, causes [Imperil Water 20% (?s)], grants [Buff Water 20% (?s)] to all allies","N","ギガスブラスト・水","","",""
"Cure Beast (V)","","Cura","10%","15%","20%","40%","WHT","Lowest HP% ally","Magical","2.00","Holy","1.00","Restores HP (50), damages undeads","N","ケアルラ","","✓","✓"
"Cure Beast (V)","","Critical","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","6.00","-","1.00","One single attack (6.00)","N","クリティカル","","✓","✓"
"Cure Beast (V)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","たたかう","","✓","✓"
"Fairy Orc (V)","","Curaja","10%","15%","20%","40%","WHT","Lowest HP% ally","Magical","4.00","Holy","1.00","Restores HP (50), damages undeads","N","ケアルガ","","✓","✓"
"Fairy Orc (V)","","Spear","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","6.00","-","1.00","One single attack (6.00)","N","やり","","✓","✓"
"Fairy Orc (V)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","たたかう","","✓","✓"
"Nymph (IX)","","Silent Kiss","20%","35%","50%","70%","PHY","Random enemy without status","Physical","6.84","-","1.00","One single attack (6.84), causes [Silence] (16%)","N","沈黙のキック","","✓","✓"
"Nymph (IX)","","Attack","80%","65%","50%","30%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","たたかう","","✓","✓"
"White Flame (V)","","White Wind","5%","10%","15%","20%","WHT","All allies","","","","1.00","Restores HP (17)","N","ホワイトウィンド","","✓","✓"
"White Flame (V)","","Attack","95%","90%","85%","80%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single attack (5.40)","N","たたかう","","✓","✓"
"Kirin (VI)","","Holy Aura","5%","10%","15%","20%","WHT","All allies","","","","1.00","Grants [Low Regen]","N","ホーリーブライトン","","✓","✓"
"Kirin (VI)","","Cura","25%","40%","55%","70%","WHT","Lowest HP% ally","Magical","2.00","Holy","1.00","Restores HP (62), damages undeads","N","ケアルラ","","✓","✓"
"Kirin (VI)","","Regen","70%","50%","30%","10%","WHT","Random ally without status","","","","1.00","Grants [Low Regen]","N","リジェネ","","✓","✓"
"Unicorn (VI)","","Esuna","10%","15%","20%","40%","WHT","Random ally with status","","","","1.00","Removes negative effects, refusal without valid target","N","エスナ","","✓","✓"
"Unicorn (VI)","","Curaja","20%","35%","50%","50%","WHT","Lowest HP% ally","Magical","4.00","Holy","1.00","Restores HP (62), damages undeads","N","ケアルガ","","✓","✓"
"Unicorn (VI)","","Cura","70%","50%","30%","10%","WHT","Lowest HP% ally","Magical","2.00","Holy","1.00","Restores HP (47), damages undeads","N","ケアルラ","","✓","✓"
"Mist Dragon (IV)","","Freezing Mist","10%","15%","20%","40%","NAT","All enemies","Magical","21.60","Holy","1.00","One group attack (21.60)","N","つめたいきり","","✓","✓"
"Mist Dragon (IV)","","Holy","20%","35%","50%","50%","WHT","Lowest HP% enemy","Magical","21.60","Holy","1.00","One single attack (21.60)","N","ホーリー","","✓","✓"
"Mist Dragon (IV)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","6.48","-","1.00","One single attack (6.48)","N","たたかう","","✓","✓"
"Seraph (VI)","","Shellga","10%","15%","20%","40%","WHT","All allies","","","","1.00","Grants [Shell]","N","シェルガ","","✓","✓"
"Seraph (VI)","","Esuna","20%","35%","50%","50%","WHT","Random ally with status","","","","1.00","Removes negative effects, refusal without valid target","N","エスナ","","✓","✓"
"Seraph (VI)","","Curaja","70%","50%","30%","10%","WHT","Lowest HP% ally","Magical","4.00","Holy","1.00","Restores HP (61), damages undeads","N","ケアルガ","","✓","✓"
"Evrae (X)","","Haste","10%","15%","20%","40%","WHT","Random ally without status","","","","1.00","Grants [Haste]","N","ヘイスト","","✓","✓"
"Evrae (X)","","Holy","20%","35%","50%","50%","WHT","Lowest HP% enemy","Magical","27.00","Holy","1.00","Three single attacks (9.00 each)","N","ホーリー","","✓","✓"
"Evrae (X)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","たたかう","","✓","✓"
"Siren (V)","","Protectga","10%","15%","20%","40%","WHT","All allies","","","","1.00","Grants [Protect]","N","プロテガ","","✓","✓"
"Siren (V)","","Regen","20%","35%","50%","50%","WHT","Random ally without status","","","","1.00","Grants [High Regen]","N","リジェネ","","✓","✓"
"Siren (V)","","Curaja","70%","50%","30%","10%","WHT","Lowest HP% ally","Magical","4.00","Holy","1.00","Restores HP (61), damages undeads","N","ケアルガ","","✓","✓"
"Madeen (IX)","","Terra Impact","10%","15%","20%","100%","PHY","Lowest HP% enemy","Physical","11.60","Holy","1.00","One single attack (11.60) capped at 99999","N","テラインパクト","","✓","✓"
"Madeen (IX)","","Holy Press","20%","35%","60%","0%","PHY","Lowest HP% enemy","Physical","9.45","Holy","1.00","Three single attacks (3.15 each)","N","ホーリープレス","","✓","✓"
"Madeen (IX)","","Trample","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","なぐる","","✓","✓"
"Lakshmi (VI)","","Holyja","10%","15%","20%","100%","WHT","Lowest HP% enemy","Magical","35.00","Holy","1.00","One single attack (35.00) capped at 99999","N","ホーリジャ","","✓","✓"
"Lakshmi (VI)","","Holy","20%","35%","60%","0%","WHT","Lowest HP% enemy","Magical","28.35","Holy","1.00","Three single attacks (9.45 each)","N","ホーリー","","✓","✓"
"Lakshmi (VI)","","Rake","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","ひっかき","","✓","✓"
"Alexander (VI)","","Holy Luster","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Holy 10% (15s)]","N","審聖の光閃","","✓","✓"
"Lilith (IV)","","Slap","10%","15%","20%","40%","NAT","Random enemy without status","","","","1.00","Causes [Paralyze] (25%) and [Silence] (25%), refusal against immunities","N","ひらてうち","","✓","✓"
"Lilith (IV)","","Entice","20%","35%","50%","50%","NAT","Random enemy without status","","","","1.00","Causes [Confuse] (20%), refusal against immunities","N","ゆうわく","","✓","✓"
"Lilith (IV)","","Attack","70%","50%","30%","10%","PHY","Random enemy without status","Physical","4.28","-","1.00","One single attack (4.28), causes [Confuse] (10%)","N","たたかう","","✓","✓"
"Forbidden (VIII)","","Blind","10%","15%","20%","40%","BLK","Random enemy without status","","","","1.00","Causes [Blind] (25%), refusal against immunities","N","ブライン","","✓","✓"
"Forbidden (VIII)","","Iai Blow","20%","35%","50%","50%","PHY","Lowest HP% enemy","Physical","5.70","-","1.00","One single attack (5.70), causes [Instant KO] (13%)","N","居あい抜き","","✓","✓"
"Forbidden (VIII)","","Thrust","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","4.50","-","1.00","One single attack (4.50)","N","突き","","✓","✓"
"Etém (XII)","","Death","10%","15%","20%","40%","BLK","Random enemy without status","","","","1.00","Causes [Instant KO] (30%), refusal against immunities","N","デス","","✓","✓"
"Etém (XII)","","Stop","20%","35%","50%","50%","BLK","Random enemy without status","","","","1.00","Causes [Stop] (24%), refusal against immunities","N","ストップ","","✓","✓"
"Etém (XII)","","Darkga","70%","50%","30%","10%","BLK","Lowest HP% enemy","Magical","13.50","Dark","1.00","One single attack (13.50)","N","ダーガ","","✓","✓"
"Ghoul (FFT)","","Sleep Touch","10%","15%","20%","40%","NAT","Random enemy without status","","","","1.00","Causes [Sleep] (30%), refusal against immunities","N","スリープタッチ","","✓","✓"
"Ghoul (FFT)","","Oily Touch","20%","35%","50%","50%","NAT","Random enemy without status","","","","1.00","[RES -30%] for 15 seconds","N","グリースタッチ","","✓","✓"
"Ghoul (FFT)","","Ectoplasm","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","5.40","-","1.00","One single ranged attack (5.40)","N","霊気を飛ばす","","✓","✓"
"Darkmare (XII)","","Dark (Group)","10%","15%","20%","40%","BLK","All enemies","Magical","21.60","Dark","1.00","One group attack (21.60)","N","ダーク(全体)","","✓","✓"
"Darkmare (XII)","","Dark","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","21.60","Dark","1.00","One single attack (21.60)","N","ダーク","","✓","✓"
"Darkmare (XII)","","Snake Lash","70%","50%","30%","10%","PHY","Random enemy without status","Physical","6.16","-","1.00","One single attack (6.16), causes [Poison] (22%)","N","スネークウィップ","","✓","✓"
"Phantom (VI)","","Death","10%","15%","20%","40%","BLK","Random enemy without status","","","","1.00","Causes [Instant KO] (56%), refusal against immunities","N","デス","","✓","✓"
"Phantom (VI)","","Banish","20%","35%","50%","50%","NAT","Random ally without status","","","","1.00","Grants [Holy Blink 1]","N","バニシュ","","✓","✓"
"Phantom (VI)","","Dark","70%","50%","30%","10%","BLK","All enemies","Magical","12.96","Dark","1.00","One group attack (12.96)","N","ダーク","","✓","✓"
"Shadow Dragon (IV)","","Black Fang","10%","15%","20%","40%","PHY","Random enemy without status","Physical","8.54","Dark","1.00","Two single attacks (4.27 each), causes [Sap] (36%)","N","黒い牙","","✓","✓"
"Shadow Dragon (IV)","","Binding Cold","20%","35%","50%","50%","NAT","All enemies","Magical","16.42","Dark","1.00","One group attack (16.42), causes [Paralyze] (20%)","N","呪縛の冷気","","✓","✓"
"Shadow Dragon (IV)","","Dark Breath","70%","50%","30%","10%","NAT","All enemies","Magical","12.96","Dark","1.00","One group attack (12.96)","N","ダークブレス","","✓","✓"
"Dragon Zombie (VII)","","Pandora's Box","10%","15%","20%","40%","BLK","All enemies","Magical","27.00","Dark","1.00","Two group attacks (13.50 each)","N","なんとか？","","✓","✓"
"Dragon Zombie (VII)","","Darkra","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","27.00","Dark","1.00","Three single attacks (9.00 each)","N","ダーラ","","✓","✓"
"Dragon Zombie (VII)","","Bone Toss","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","7.70","-","1.00","Two single attacks (3.85 each), causes [Paralyze] (10%)","N","ボーン","","✓","✓"
"Necrophobe (V)","","Sap","10%","15%","20%","40%","NAT","Random enemy without status","Magical","38.48","-","1.00","Two single attacks (19.24 each), causes [Sap] (31%)","N","スリップ","","✓","✓"
"Necrophobe (V)","","Darkra","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","27.00","Dark","1.00","Three single attacks (9.00 each)","N","ダーラ","","✓","✓"
"Necrophobe (V)","","Vacuum Wave","70%","50%","30%","10%","PHY","All enemies","Physical","6.48","-","1.00","Two group ranged attacks (3.24 each)","N","しんくうは","","✓","✓"
"Hades (VII)","","Doomsday","10%","15%","20%","40%","BLK","All enemies","Magical","27.00","Dark","1.00","Two group attacks (13.50 each)","N","ジハード","","✓","✓"
"Hades (VII)","","Flare","20%","35%","50%","50%","BLK","Lowest HP% enemy","Magical","32.40","-","1.00","Three single attacks (10.80 each)","N","フレア","","✓","✓"
"Hades (VII)","","Attack","70%","50%","30%","10%","PHY","Lowest HP% enemy","Physical","8.10","-","1.00","Two single attacks (4.05 each)","N","たたかう","","✓","✓"
"Ark (IX)","","Photon","10%","15%","20%","100%","PHY","Lowest HP% enemy","Physical","11.60","Dark","1.00","One single ranged attack (11.60) capped at 99999","N","フォトン","","✓","✓"
"Ark (IX)","","Blood Boomerang","20%","35%","60%","0%","PHY","Lowest HP% enemy","Physical","9.45","Dark","1.00","Three single ranged attacks (3.15 each)","N","ブラッドブーメラン","","✓","✓"
"Ark (IX)","","Whirlwind","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single ranged attacks (4.26 each)","N","たつまき","","✓","✓"
"Deathgaze (VI)","","Darkga","10%","15%","20%","100%","BLK","Lowest HP% enemy","Magical","35.00","Dark","1.00","One single attack (35.00) capped at 99999","N","ダーガ","","✓","✓"
"Deathgaze (VI)","","Dark","20%","35%","60%","0%","BLK","Lowest HP% enemy","Magical","28.35","Dark","1.00","Three single attacks (9.45 each)","N","ダーク","","✓","✓"
"Deathgaze (VI)","","Spin","70%","50%","20%","0%","PHY","Lowest HP% enemy","Physical","8.52","-","1.00","Two single attacks (4.26 each)","N","ぶんまわす","","✓","✓"
"Diablos (XI)","","Dark Slumber","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Dark 10% (15s)]","N","冥闇の微睡","","✓","✓"
"Orthros (VI)","","Tentacle","100%","100%","100%","100%","NAT","Lowest HP% enemy","","","","1.00","One single attack that deals 30000 damage, causes [Imperil Poison 10% (15s)]","N","触手","","✓","✓"
"Odin (Ultra Attack)","","Silvery Slash","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","0.75","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.40","One single attack (0.75) capped at 99999, ignores DEF, causes [Imperil Prismatic 10% (15s)]","N","絢白の斬撃","30600273","✓","✓"
"Odin (Ultra Magic)","","Silvery Pillar","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","2.25","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.40","One single attack (2.15) capped at 99999, ignores RES, causes [Imperil Prismatic 10% (15s)]","N","絢白の光柱","30600274","✓","✓"
"Neo Bahamut (Ultra Attack)","","Red Wyrm Wave: Physical","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","0.75","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.40","One single ranged attack (0.75) capped at 99999, ignores DEF, causes [Imperil Prismatic 10% (15s)]","N","紅竜の波動・攻","","✓",""
"Neo Bahamut (Ultra Magic)","","Red Wyrm Wave: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","2.25","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.40","One single attack (2.15) capped at 99999, ignores RES, causes [Imperil Prismatic 10% (15s)]","N","紅竜の波動・魔","30600277","✓","✓"
"Bahamut ZERO (Ultra Attack)","","Gaia Wyrm Vacuum Wave: Physical","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.40","One single ranged attack (?/?/?/?/?/?/?/?/?) capped at 99999 scaling with the number of ZERO Seals on the magicite, causes [Imperil Prismatic 10% (15s)], ignores DEF","N","星竜の真空波・攻","","",""
"Bahamut ZERO (Ultra Magic)","","Gaia Wyrm Vacuum Wave: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","4.60","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","1.40","One single attack (4.05/4.11/4.18/4.25/4.32/4.39/4.46/4.53/4.60) capped at 99999 scaling with the number of ZERO Seals on the magicite, causes [Imperil Prismatic 10% (15s)], ignores RES","N","紅竜の波動・魔","30600279","","✓"
"Gilgamesh (Ultra Attack)","","Excalibur: Physcial","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 99999, ignores DEF, causes [Imperil Prismatic 10% (?s)]","N","エクスカリバー・攻","","",""
"Gilgamesh (Ultra Magic)","","Excalibur: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 99999, ignores RES, causes [Imperil Prismatic 10% (?s)]","N","エクスカリバー・魔","","",""
"Eden (Ultra Attack)","","Eden's Ray: Physical","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 99999, ignores DEF, grants [Buff Prismatic 10% (?s)]","N","エデンズレイ・攻","","",""
"Eden (Ultra Attack)","","Eden's Breath Physical","0%","0%","0%","0%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 79999, ignores DEF","N","エデンズブレス・攻 ","","",""
"Eden (Ultra Attack)","","Eden's High Breath Physical","0%","0%","0%","0%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 99999, ignores DEF","N","エデンズハイブレス・攻 ","","",""
"Eden (Ultra Magic)","","Eden's Ray: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 99999, ignores RES, grants [Buff Prismatic 10% (?s)]","N","エデンズレイ・魔","","",""
"Eden (Ultra Magic)","","Eden's Breath Magic","0%","0%","0%","0%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (?) capped at 79999, ignores RES","N","エデンズブレス・魔","","",""
"Eden (Ultra Magic)","","Eden's High Breath Magic","0%","0%","0%","0%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (?) capped at 99999, ignores RES","N","エデンズハイブレス・魔","","",""
"Raiden (Ultra Attack)","","True Knight's Slash","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 99999, ignores DEF, causes [Imperil Prismatic 10% (?s)]","N","真騎の斬撃","","",""
"Raiden (Ultra Magic)","","True Knight's Pillar","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 99999, ignores RES, causes [Imperil Prismatic 10% (?s)]","N","真騎の光柱","","",""
"Crusader (Ultra Attack)","","Delta Magic: Physical","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 99999, ignores DEF, causes [Imperil Prismatic 10% (?s)]","N","デルタマジック・攻 ","","",""
"Crusader (Ultra Magic)","","Delta Magic: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 99999, ignores RES, causes [Imperil Prismatic 10% (?s)]","N","デルタマジック・魔 ","","",""
"Atomos (Ultra Attack)","","Gravity Sphere: Physical","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 99999, ignores DEF","N","重力球・攻","","",""
"Atomos (Ultra Magic)","","Gravity Sphere: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 99999, ignores RES","N","重力球・魔","","",""
"Ark (Ultra Attack)","","Photon Blade: Physical","100%","100%","100%","100%","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single ranged attack (?) capped at 99999, ignores DEF","N","フォトンブレード・攻","","",""
"Ark (Ultra Magic)","","Photon Blade: Magic","100%","100%","100%","100%","BLK","Lowest HP% enemy","Magical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","","One single attack (?) capped at 99999, ignores RES","N","フォトンブレード・魔","","",""
