"Source Type","Source","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID","GL","✓"
"Follow-Up Status","Zenith Mode: Cid (IV)","","Spirit Attack: Cid (IV)","NAT","Self","","","","0.01","Grants [Deadly Strikes +15% 2] to the user/all allies with 0-3/4+ Machinists or IV members in party","?","Self","0","Machinist","","",""
"Follow-Up Status","Ladle of Love Mode","","Ladle Lash","PHY","Single enemy","Physical","2.05","Earth, Fire, NE","0.01","Five single attacks (0.41 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548223","✓","✓"
"Follow-Up Status","Tiny Curaga Follow-Up","","Tiny Curaga","WHT","All allies","Magical","2.00","Holy","0.01","Restores HP (25), restores HP (27) if Palom is alive","Y","All allies","0","White Magic","30542414","✓","✓"
"Follow-Up Status","Evil Blade Follow-Up","","Evil Blade","PHY","Single enemy","Physical","4.48","Dark, NE","0.01","Eight single attacks (0.52/0.54/0.56 each) scaling with Darkness attacks used (2/4/6), 0/30/75% additional critical chance, damages the user for 25% max HP, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30544203","✓","✓"
"Follow-Up Status","Fair Wind Follow-Up","","Fair Wind","BLK","Single enemy","Magical","7.95","Wind, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541053","✓","✓"
"Follow-Up Status","Saintly Duel Follow-Up","","Saintly Duel","NAT","Single enemy","Hybrid","","Holy, NE","0.01","Four single hybrid attacks (0.45 or 1.61 each)","Y","Lowest HP% enemy","0","Special","30544267","✓","✓"
"Follow-Up Status","Trinity Summon Follow-Up","","Trinity Summon","SUM","Single enemy","Magical","11.92","Water, Earth, Holy, NE","0.01","Eight single attacks (1.49 each)","N","Lowest HP% enemy","0","Summoning","30543160","✓","✓"
"Follow-Up Status","Eblan Tactics Follow-Up","","Eblan Tactics","NAT","Single enemy","Hybrid","","Water, Fire, Lightning, NE","0.01","4/2 single hybrid attacks (0.44 or 22.00 each), ignores RES, grants [Buff Water 10% (15s)], [Buff Fire 10% (15s)] and [Buff Lightning 10% (15s)]","Y","Lowest HP% enemy","0","Ninja","30544287","✓","✓"
"Follow-Up Status","Spark Spear Follow-Up","","Spark Spear","PHY","Single enemy","Physical","5.28","Lightning, NE","0.01","One single ranged attack (5.28) capped at 99999","Y","Lowest HP% enemy","0","Dragoon","30548311","✓","✓"
"Follow-Up Status","Flame Dance Follow-Up","","Flame Dance","BLK","Single enemy","Magical","15.20","Fire, NE","0.01","Four single attacks (3.80 each), causes [Imperil Fire 10% (15s)], grants [Magical Blink 2] to the user","Y","Lowest HP% enemy","0","Black Magic","30541814","✓","✓"
"Follow-Up Status","Storm of Darkness Follow-Up","","Storm of Darkness","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1]","N","All allies","0","Special","30541458","✓","✓"
"Follow-Up Status","Shadow Chaser Follow-Up","","Shadow Chaser","PHY","Single enemy","Physical","4.00","Dark, NE","0.01","One single attack (4.00~7.00 scaling with current HP%) capped at 99999, heals the user for 20% of the damage dealt at Gloomshade levels 1 and 2 and causes -1 Gloomshade to the user, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30549869","✓","✓"
"Follow-Up Status","Dark Armor Mode","","Phantom Soul","BLK","Single enemy","Magical","12.00","Dark, NE","0.01","Eight single attacks (1.50 each), grants [Stoneskin: 100%] to the user","Y","Lowest HP% enemy","0","Darkness","30549962","✓","✓"
"Follow-Up Status","Dark Meteor Follow-Up","","Dark Meteor","NAT","Self","","","","0.01","Grants [Buff Dark 20% (15s)]","Y","Self","0","Darkness","30549866","✓","✓"
"Follow-Up Status","Sacred Edge Follow-Up","","Sacred Edge 1","NAT","Single enemy","Hybrid","","Holy","0.01","Two single hybrid attacks (0.76 or 3.36 each), grants [Buff Holy 10% (15s)] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548448","✓","✓"
"Follow-Up Status","Sacred Edge Follow-Up","","Sacred Edge 2","NAT","Single enemy","Hybrid","","Holy","0.01","Two single hybrid attacks (0.76 or 3.36 each), grants [40% Damage Reduction Barrier 1] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548449","✓","✓"
"Follow-Up Status","Bequeathed Knowledge Follow-Up","","Bequeathed Knowledge","PHY","Single enemy","Physical","3.28","Earth, NE","0.01","Four single attacks (0.76/0.82 each) if Ursula is not alive/alive, grants [Instant Cast 1] to the user, grants [Instant Cast 1] to Ursula if Ursula is alive, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540027","✓","✓"
"Follow-Up Status","Answer the Call Follow-Up","","Answer the Call","PHY","Single enemy","Physical","3.28","Earth, Fire, NE","0.01","Four single attacks (0.76/0.82 each) if Yang is not alive/alive, grants [Attach Earth] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540029","✓","✓"
"Follow-Up Status","Terminating Blade Follow-Up","","Terminating Blade","PHY","Single enemy","Physical","5.19","Holy, NE","0.01","One single attack (5.19) capped at 99999, 100% hit rate, grants [Magical Blink 1] to the user","Y","Lowest HP% enemy","0","Knight","31540506","✓","✓"
"Follow-Up Status","Earthen Wisdom Mode","","Gaia's Grace","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each), grants [HP Stock (2000)] to all allies","Y","Lowest HP% enemy","0","Black Magic","31540712","✓","✓"
"Follow-Up Status","Earthen Wisdom Mode","","Tellah's Faith","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each), grants [Earth Ability +50% Boost 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31540713","✓","✓"
"Follow-Up Status","Earthen Wisdom Mode","","Memory of the Land","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each), grants [Dualcast Earth 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31540714","✓","✓"
"Follow-Up Status","Sage's Strike Follow-Up","","Sage's Strike","BLK","All enemies","Magical","13.80","Earth, NE","0.01","One group attack (13.80~16.40 scaling with targets) capped at 99999, removes [Earthen Wisdom Mode] and [Sage's Strike Follow-Up] from the user","Y","All enemies","0","Black Magic","31540715","✓","✓"
"Follow-Up Status","Bluff Mode","","Black Magic Bluff","BLK","Single enemy","Magical","31.00","Lightning, Fire, Ice, NE","0.01","Ten single attacks (2.00 each), followed by one single attack (11.00) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","31540923","✓","✓"
"Follow-Up Status","Triple Bomb Follow-Up","","Triple Bomb","BLK","Single enemy","Magical","7.70","Lightning, Fire, Ice, NE","0.01","Five single attacks (1.54 each)","Y","Lowest HP% enemy","0","Black Magic","31540926","✓","✓"
"Follow-Up Status","Fire Cloak Mode","","Counter: Fira","BLK","Single enemy","Magical","37.28","Fire, NE","0.01","Two single attacks (18.64 each), ignores RES, grants [Magical Blink 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541008","✓","✓"
"Follow-Up Status","Martial Flames Follow-Up","","Martial Flames","BLK","Single enemy","Magical","8.16","Fire, NE","0.01","Four single attacks (2.04 each), grants [HP Stock (1500)] to all allies every second use","Y","Lowest HP% enemy","0","Black Magic","31541018","✓","✓"
"Follow-Up Status","Moonlight Mode","","Lunar Power","WHT","Single enemy","Magical","10.08","Holy, NE","0.01","Three single attacks (3.36 each), causes [Imperil Holy 10% (5s)]","Y","Lowest HP% enemy","0","White Magic","31541042","✓","✓"
"Follow-Up Status","Awoken Night Vigil","","Moonblossom Mind","WHT","Single enemy","Magical","14.88","Holy, NE","0.01","Six single attacks (2.48 each)","Y","Lowest HP% enemy","0","White Magic","31541050","✓","✓"
"Follow-Up Status","Moonblossom Purity Follow-Up","","Moonblossom Purity","WHT","Single enemy","Magical","6.72","Holy, NE","0.01","Two single attacks (3.36 each), causes [Imperil Holy 10% (5s)] every second use","Y","Lowest HP% enemy","0","White Magic","31541051","✓","✓"
"Follow-Up Status","True Summoner Mode","","Divine Breeze","SUM","Single enemy","Magical","12.60","Holy, NE","0.01","Three single attacks (4.20 each), grants [Damage Cap +10000 3] to the user","N","Lowest HP% enemy","0","Summoning","31540963","✓","✓"
"Follow-Up Status","Dual Awoken Dragoon Pride Mode I (Kain - Lightning)","","Dual Dragoon Dive","PHY","Single enemy","Physical","5.28","Lightning, Dark, NE","0.01","One single ranged attack (5.28) capped at 99999","Y","Lowest HP% enemy","0","Dragoon","31541353","✓","✓"
"Follow-Up Status","Airship Tech's Forte Follow-Up","","Airship Tech's Forte","PHY","Single enemy","Physical","3.52","Lightning, NE","0.01","One single ranged attack (3.52) capped at 99999, causes [Instant KO] to the user after the fourth cast","Y","Lowest HP% enemy","0","Machinist","31541369","✓","✓"
"Follow-Up Status","Dual Awoken Holy Mode II (Cecil (Paladin))","","Dual Light Barrier","NAT","Single enemy","Hybrid","","Holy, NE","0.01","Four single hybrid attacks (0.75/3.25 each), grants [50% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Knight","31541372","✓","✓"
"Follow-Up Status","Bow Master Mode","","Gift of Devotion","WHT","Single enemy","Magical","","","0.01","Deals 99999 WHT damage, grants [HP Stock (2000)] to the ally with the lowest HP%","Y","Lowest HP% enemy","0","White Magic","31541379","✓","✓"
"Follow-Up Status","Zenith Mode: Rosa","","Spirit Attack: Rosa","?","All allies","","","","0.01","Restores HP (25)","?","All allies","0","White Magic","","",""
"Follow-Up Status","Divergent Time Flow Mode","","Feymarch Friction","SUM","Single enemy","Magical","11.85","Water, NE","0.01","One single attack (10.72/11.85/11.85) capped at 99999 after 1/2/3 uses, grants [Quick Cast 1]/[Quick Cast 1]/[Instant Cast 1] to the user after 1/2/3 uses, grants [Water +50% Boost 1] to the user after three uses","Y","Lowest HP% enemy","0","Summoning","31541429","✓","✓"
"Follow-Up Status","Dual Awoken Dark Mode II (Golbez)","","Dual Nightglow","BLK","Single enemy","Magical","12.10","Dark, NE","0.01","Five single attacks (2.42 each), causes [Imperil Dark 10% (15s)]","Y","Lowest HP% enemy","0","Darkness","31541419","✓","✓"
"Follow-Up Status","Dual Awoken Wind Mode I (Barbariccia)","","Dual Tornado Breath","BLK","Single enemy","Magical","8.16","Wind, NE","0.01","Four single attacks (2.04 each), grants [Quick Cast 1] to the user every second use","Y","Lowest HP% enemy","0","Black Magic","31541616","✓","✓"
"Follow-Up Status","Dual Awoken Wind Mode II (Barbariccia)","","Dual Storm Descent","BLK","Single enemy","Magical","7.44","Wind, NE","0.01","Two single attacks (3.72 each), causes [Imperil Wind 10% (15s)]","Y","Lowest HP% enemy","0","Black Magic","31541617","✓","✓"
"Follow-Up Status","Beguiling Ruler Mode","","Violent Wind","BLK","Single enemy","Magical","4.95","Wind, NE","0.01","One single attack (4.95), causes [Imperil Wind 10% (15s)] every second use, grants [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541625","✓","✓"
"Follow-Up Status","Hexa Mirage Follow-Up","","Hexa Mirage","BLK","Single enemy","Magical","7.92","Wind, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31541640","✓","✓"
"Follow-Up Status","Dual Awoken Lightning Mode II (Cid (IV))","","Make Way!","NAT","All allies","","","","0.01","Grants [100% Critical 1] and [Lightning +30% Boost 1], damages the user for 50% current HP capped at 99999, grants [Instant Cast 1] to the user","N","All allies","0","Special","31541740","✓","✓"
"Follow-Up Status","Awoken Airship Tech","","Bolt Rush","PHY","Single enemy","Physical","4.32","Lightning, NE","0.01","Six single ranged attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31541747","✓","✓"
"Follow-Up Status","Staunch Sister Mode","","Precocious Gift","WHT","Single enemy","Magical","","","0.01","Deals 99999 WHT damage, grants [HP Stock (2000)] to the lowest HP% ally, grants [Quick Cast 1] to all allies if 4+ FF4 allies are alive","Y","Lowest HP% enemy","0","White Magic","31541745","✓","✓"
"Follow-Up Status","Chain Force Mode: Rydia (Earth)","","Earth Guidance: Rydia","SUM","Single enemy","Magical","8.20","Earth, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Earth Guidance: Rydia Uses], grants [Earth Ability Quick Cast 1] and Summoning smart ether 2 to the user","Y","Lowest HP% enemy","0","Summoning","31541971","","✓"
"Follow-Up Status","Dual Awoken Earth Mode I (Tellah)","","Dual Earthquake","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Black Magic","31542043","","✓"
"Follow-Up Status","Chain Force Mode: Tellah","","Earth Guidance: Tellah","BLK","Single enemy","Magical","5.28","Earth, NE","0.01","Four single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542047","","✓"
"Follow-Up Status","Chain Force Mode: Yang","","Kindred Guidance: Yang","PHY","Single enemy","Physical","2.05","Earth, NE","0.01","One single attack (1.95/2.05) capped at 99999, 100% hit rate, grants [Earth Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Monk","31542048","","✓"
"Follow-Up Status","Dual Awoken Ninja Mode I (Edge)","","Dual Eblan Style","NAT","Single enemy","Hybrid","","Water, Fire, Lightning, NE","0.01","Four single hybrid attacks (0.74 or 18.09 each), followed by one single hybrid attack (4.31 or 553.50) capped at 99999, ignores RES, 100% hit rate, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","0","Ninja","31542133","","✓"
"Follow-Up Status","Dual Awoken Ninja Mode II (Edge)","","Dual Eblan Style","NAT","Single enemy","Hybrid","","Water, Fire, Lightning, NE","0.01","Four single hybrid attacks (0.74 or 18.09 each), followed by one single hybrid attack (4.31 or 553.50) capped at 99999, ignores RES, 100% hit rate, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","0","Ninja","31542133","","✓"
"Follow-Up Status","Chain Force Mode: Edge","","Kindred Guidance: Edge","NAT","Single enemy","Hybrid","","Water, Fire, Lightning, NE","0.01","Four single hybrid attacks (0.31 or 192.00 each), 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31542135","","✓"
"Follow-Up Status","Chain Force Mode: Ceodore","","Holy Guidance: Ceodore","PHY","Single enemy","Physical","1.92","Holy, NE","0.01","Six single attacks (0.32), 100% hit rate","Y","Lowest HP% enemy","0","Knight","31542097","","✓"
"Follow-Up Status","Dual Awoken Love Mode II (Rosa)","","Dual Charity","WHT","All allies","","","","0.01","Restores HP (55), grants [HP Stock (3000)] and [High Quick Cast 1]","N","All allies","0","White Magic","31542094","","✓"
"Follow-Up Status","Zenith Mode: Cecil (Paladin) (Holy)","","Spirit Attack: Cecil (Paladin)","NAT","All allies","","","","0.01","Grants [50% Damage Reduction Barrier 1] to all allies, grants [Holy Ability Quick Cast 3], [MND +50% (15s)] if the user's ATK is less than or equal to their MND, [100% Critical 3] if the user's ATK is greater than their MND, to the user (max 1)","N","All allies","0","Special","31542437","","✓"
"Follow-Up Status","Dual Awoken Holy Mode I (Cecil (Paladin)) 2","","Dual Paladin Dive","NAT","Single enemy","Hybrid","","Holy, NE","0.01","Seven single hybrid attacks (0.67/2.93 each)","Y","Lowest HP% enemy","0","Knight","31542439","","✓"
"Follow-Up Status","Dual Awoken Holy Mode II (Cecil (Paladin)) 2","","Dual Holy Dive","NAT","Single enemy","Hybrid","","Holy, NE","0.01","One single hybrid attack (2.64/8.58) capped at 99999, 100% hit rate, grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","0","Knight","31542440","","✓"
"Follow-Up Status","Chain Force Mode: Cecil (Paladin) (Holy)","","Holy Guidance: Cecil (Paladin)","NAT","Single enemy","Hybrid","","Holy, NE","0.01","One single attack (1.95/2.05 or 7.90/8.30) capped at 99999 scaling with [Holy Guidance: Cecil (Paladin) Uses], grants [Holy Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Knight","31542442","","✓"
"Follow-Up Status","Zenith Mode: Cid Raines (Seraphic Shift)","","Spirit Attack: Cid Raines (Seraphic Shift)","BLK","Single enemy","Magical","6.02","Dark, Holy, NE","0.01","Two single attacks (2.66/3.01 each) capped at 9999/19999 if the user's Doom timer is below 20, higher multiplier if exploiting holy/dark weakness and the user's Doom timer is below 20.  Grants [Buff Dark 10% (5s)] and [Buff Holy 10% (5s)] to all allies.","Y","Lowest HP% enemy","0","Darkness","31542623","","✓"
"Follow-Up Status","Zenith Mode: Noel (Ice)","","Spirit Attack: Noel (Ice)","NAT","Self","","","","0.01","Grants [Buff Ice 20% (15s)], [Ice Ability Instant Cast 3] to the user","N","Self","0","Special","31542624","","✓"
"Follow-Up Status","Zenith Mode: Rubicante (Fire)","","Spirit Attack: Rubicante","NAT","All allies","","","","0.01","Grants [Buff Fire 10% (15s)] to all allies","N","All allies","0","Black Magic","31542666","","✓"
"Follow-Up Status","Zenith Mode: Arc (Holy)","","Spirit Attack: Arc","NAT","Self","","","","0.01","Grants [Dualcast Holy/Water 1] to the user","N","Self","0","Summoning","31542667","","✓"
"Follow-Up Status","Dual Awoken Altruist Mode II (Arc v2)","","D Saint Bible","NAT","All allies","","","","0.01","Grants [Damage Cap +10000 2] and [Quick Cast 2] to the user/[Magical +30% Boost 2] to all allies if 0-3/4+ allies have Job Synergy","N","All allies","0","Summoning","31542668","","✓"
"Follow-Up Status","Chain Force Mode: Serafie (Wind)","","Wind Bond: Serafie","BLK","Single enemy","Magical","5.28","Wind, NE","0.01","4 single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31542669","","✓"
"Follow-Up Status","Chain Force Mode: Arc (Water)","","Water Guidance: Arc","NAT","Single enemy","Magical","","Water, NE","0.01","One single hybrid attack (7.80/8.20 or 8.30/8.70) capped at 99999 scaling with [Water Guidance: Arc Uses]","Y","Lowest HP% enemy","0","Summoning","31542671","","✓"
"Follow-Up Status","Zenith Mode: Minwu (Holy)","","Spirit Attack: Minwu (Holy)","NAT","Self","","","","0.01","Grants [Buff Holy 20% (15s)] and [MND +50% (8s)] to the user","N","Self","0","White Magic","31542700","","✓"
"Follow-Up Status","Dual Awoken White Magic Mode I (Minwu v2)","","Mysidian Rain","WHT","Single enemy","Magical","8.68","Holy, NE","0.01","Four single attacks (2.17 each), grants [Quick Cast 1] to the user every second activation","Y","Lowest HP% enemy","0","White Magic","31542701","","✓"
"Follow-Up Status","Dual Awoken White Magic Mode II (Minwu v2)","","Mysdian Revelation","NAT","Self","","","","0.01","Grants [White Magic +30% 3] to the user","N","Self","0","White Magic","31542702","","✓"
"Follow-Up Status","Chain Force Mode: Minwu (Holy)","","Holy Guidance: Minwu","WHT","Single enemy","Magical","8.30","Holy, NE","0.01","One single attack (8.30/8.70)capped at 99999 scaling with [Holy Guidance: Minwu Uses], grants [Holy Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","White Magic","31542703","","✓"
"Follow-Up Status","Zenith Mode: Kuja (Dark)","","Spirit Attack: Kuja (Dark)","NAT","Self","","","","0.01","Grants [Damage Cap +10000 2] and [Dark Ability +30% Boost 2] to the user and damages the user for 25% max HP","N","Self","0","Black Magic","31542704","","✓"
"Follow-Up Status","Chain Force Mode: Zack (Wind)","","Wind Guidance: Zack","PHY","Single enemy","Physical","1.92","Wind, NE","0.01","Six single target attacks (0.32 each)","Y","Lowest HP% enemy","0","Celerity","31542705","","✓"
"Follow-Up Status","Chain Force Mode: Bartz (Wind)","","Wind Guidance: Bartz","PHY","Single enemy","Physical","1.28","Wind, NE","0.01","Four single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31542734","","✓"
"Follow-Up Status","Zenith Mode: Cid (VII) (Wind)","","Spirit Attack: Cid (VII) (Wind)","NAT","All allies","","","","0.01","Grants [Wind Ability +30% Boost 3] to all FF7 allies","N","All allies","0","Dragoon","31542738","","✓"
"Follow-Up Status","Zenith Mode: Rufus (Dark)","","Spirit Attack: Rufus (Dark)","NAT","All allies","","","","0.01","Grants [Buff Dark 10% (15s)] to all allies","N","All allies","0","Darkness","31542739","","✓"
"Follow-Up Status","Dual Awoken Fortune-Teller Mode I (Cait Sith)","","Break Dance","NAT","Single Enemy","","","","0.01","Causes [ATK and DEF -50% (8s)]/[MAG and RES -50% (8s)] after 1+2n/2+2n uses ","N","Lowest HP% enemy","0","Dancer","31542740","","✓"
"Follow-Up Status","Dual Awoken Fortune-Teller Mode I (Cait Sith)","","Heal Dice","NAT","All allies","","","","0.01","Grants [20% Damage Reduction Barrier 1] and [HP Stock (1000)] to all allies","N","All allies","0","Dancer","31542741","","✓"
"Follow-Up Status","Dual Awoken Fortune-Teller Mode II (Cait Sith)","","Power Slots","NAT","All allies","","","","0.01","Grants [Instant Cast 1]/[ATK and MAG +30%, DEF and RES +25% (8s)], [Critical Chance +50% (15s)] and [Instant Cast 1] if 0-3/4+ FF7 allies are alive","N","All allies","0","Dancer","31542742","","✓"
"Follow-Up Status","Shadow Authoritarian Mode","","Bonus Increase","NAT","All allies","","","","0.01","Grants [Dark Ability +30% Boost 1] and [Dark Quick Cast 1]","N","All allies","0","Darkness","31542745","","✓"
"Follow-Up Status","Chain Force Mode: Cid (VII)","","Kindred Guidance: Cid (VII)","PHY","Single enemy","Physical","1.95","Wind, NE","0.01","One single ranged jump attack (1.95/2.05)  capped at 99999 scaling with [Wind Guidance: Cid (VII) Uses], grants [Wind Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Dragoon","31542746","","✓"
"Follow-Up Status","Chain Force Mode: Rufus (Dark)","","Bonus Increase","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","N","All allies","0","Darkness","31542747","","✓"
"Follow-Up Status","Zenith Mode: Cinque (Earth, Wind)","","Spirit Attack: Cinque (Earth, Wind)","NAT","Self","","","","0.01","Grants [100% Critical 3], [Quick Cast 3] to the user/[100% Critical 3], [Quick Cast 3] and [PHY +30% Boost 3] to all allies if 0-3/4+ Type-0 allies are alive","N","Self","0","Heavy","31542754","","✓"
"Follow-Up Status","Zenith Mode: Kurasame (Ice, Dark)","","Spirit Attack: Kurasame (Ice, Dark)","NAT","Self","","","","0.01","Grants [Buff Ice 20% (15s)], [Buff Dark 20% (15s)] and [(Ice/Dark) Ability Instant Cast 2] to the user","N","Self","0","Spellblade","31542755","","✓"
"Follow-Up Status","Zenith Mode: Sice (Dark)","","Spirit Attack: Sice (Dark)","PHY","Single enemy","Physical","3.36","Dark, NE","0.01","One single attack (3.36) capped at 99999, grants [Quick Cast 3] to the user/[Prismatic Ability +30% Boost 3] to all allies if 0-3/4+ Type-0 allies are alive","Y","Lowest HP% enemy","0","Darkness","31542756","","✓"
"Follow-Up Status","Dual Awoken Heavy Mode II (Cinque)","","D Spirit","NAT","Self","","","","0.01","Grants [Damage Cap +10000 1] and [Dualcast Heavy 1]/[Damage Cap +10000 3] and [Dualcast Heavy 3] if 0-3/4+ Type-0 allies are alive","N","Self","0","Heavy","31542757","","✓"
"Follow-Up Status","Chain Force Mode: Sice","","Kindred Guidance: Sice","PHY","Single enemy","Physical","1.95","Dark, NE","0.01","One single attack (1.95/2.05 each) capped at 99999 scaling with [Kindred Guidance: Sice Uses], grants [Dark Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Darkness","31542759","","✓"
"Follow-Up Status","Zenith Mode: Cater (Fire, Ice, Lightning)","","Spirit Attack: Cater (Fire, Ice, Lightning)","NAT","Single enemy","","","","0.01","Causes [Imperil Prismatic 10% (15s)] and [Machinist Ability Instant Cast 1]/[Imperil Prismatic 30% (15s)] and [Machinist Ability Instant Cast 1] if 0-3/4+ allies are machinists","N","Lowest HP% enemy","0","Machinist","31542766","","✓"
"Follow-Up Status","Zenith Mode: Edgar (Poison, Fire, Lightning)","","Spirit Attack: Edgar","NAT","Self","","","","0.01","Grants [Machinist +30% Boost 2] and [Machinist Instant Cast 2] to the user","N","Self","0","Special","31542768","","✓"
"Follow-Up Status","Zenith Mode: Sazh (Machinist)","","Spirit Attack: Sazh (Machinist)","NAT","All allies","","","","0.01","Grants [Deadly Strikes +10% 1]/[Deadly Strikes +30% 1] if 0-3/4+ allies are Machinists","N","All allies","0","Machinist","31542770","","✓"
"Follow-Up Status","Zenith Mode: Golbez (Dark)","","Spirit Attack: Golbez (Dark)","NAT","All allies","","","","0.01","Grants [Buff Dark 10% (15s)] to all allies","N","All allies","0","Darkness","31542776","","✓"
"Follow-Up Status","Zenith Mode: Garland (Dark)","","Spirit Attack: Garland (Dark)","NAT","All allies","","","","0.01","Grants [100% Critical 3] and [Deadly Strikes +10% 3] to all allies","N","All allies","0","Darkness","31542777","","✓"
"Follow-Up Status","Chain Force Mode: Golbez (Dark)","","Dark Guidance: Golbez","BLK","Single enemy","Magical","7.80","Dark, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with [Dark Guidance: Golbez Uses], grants [Dark Ability Quick Cast 2] to the user","N","Lowest HP% enemy","0","Darkness","31542778","","✓"
"Follow-Up Status","Chain Force Mode: Garland (Dark)","","Dark Guidance: Garland","PHY","Single enemy","Physical","1.28","Dark, NE","0.01","Four single attacks (0.32 each), 100% hit rate","N","Lowest HP% enemy","0","Darkness","31542779","","✓"
"Follow-Up Status","Zenith Mode: Matoya (Fire, Ice, Lightning)","","Spirit Guidance: Matoya (Fire/Ice/Lightning)","NAT","Self","","","","0.01","Grants [(Fire/Ice/Lightning) Ability Quick Cast 2], [Damage Cap +10000 2], [(Fire/Ice/Lightning) Ability +30% Boost 2] to the user if 4+ FF1 allies are alive, grants [(Fire/Ice/Lightning) Ability +30% Boost 2] to the user if 0-3 FF1 allies are alive","N","Self","0","Special","31542785","","✓"
"Follow-Up Status","Zenith Mode: Wol (Earth, Holy)","","Spirit Guidance: Wol (Earth/Holy)","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 10% (15s)], [Imperil Holy 10% (15s)]","N","Lowest HP% enemy","0","Special","31542786","","✓"
"Follow-Up Status","Dual Awoken Witch Mode II (Matoya)","","Dual Potion Spell","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10% (15s)], [Imperil Ice 10% (15s)], [Imperil Lightning 10% (15s)] if 0-3 FF1 allies are alive, causes [Imperil Prismatic 30% (15s)] if 4+ FF1 allies are alive","N","Lowest HP% enemy","0","Special","31542787","","✓"
"Follow-Up Status","Dual Awoken Fickle Faerie Mode I (Echo)","","Dual Whimsical Aid","NAT","All allies","","","","0.01","Grants [Weakness +50% Boost 1] to all allies","N","All allies","0","Special","31542788","","✓"
"Follow-Up Status","Dual Awoken Fickle Faerie Mode II (Echo)","","Dual Encore Time","WHT","All allies","","","","0.01","Restores HP (55), grants [Quick Cast 3] to all allies","N","All allies","0","White Magic","31542789","","✓"
"Follow-Up Status","Dual Awoken Cosmic Warrior Mode II (Wol v2)","","Dual Overbreak","NAT","Single enemy","","","","0.01","Causes [DEF, RES and MND -70% (8s)] and grants [(Earth/Holy) Ability +30% Boost 2] to all allies","N","Lowest HP% enemy","0","Special","31542790","","✓"
"Follow-Up Status","Chain Force Mode: Matoya","","Kindred Guidance: Matoya","BLK","Single enemy","Magical","7.27","Fire, Ice, Lightning, NE","0.01","One single attack (7.27/8.04) capped at 99999 scaling with [Kindred Guidance: Matoya Uses], grants [(Fire/Ice/Lightning) Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Witch","31542791","","✓"
"Follow-Up Status","Chain Force Mode: Wol (Holy)","","Holy Guidance: Wol","PHY","Single enemy","Physical","1.92","Holy, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Knight","31542792","","✓"
"Follow-Up Status","Dual Awoken Fire Mode II (Gilgamesh v2)","","Dual Awoken Fire Chase (Gilgamesh v2)","NAT","Self","","","","0.01","Grants [Instant Cast 2] to the user","N","Self","0","Samurai","31542807","","✓"
