"Character","Source","SB Ver","Img","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","GL","✓"
"Guy","Radiant True Strength!","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Earth, NE","0.01","6 single attacks (2.00 each) capped at 19999, grants [Earth Instant Cast 2], [Dualcast Earth 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544575","","✓"
"Hilda","Radiant Blossoming Peace","CASB1","","Crystal Force I & II","WHT","All allies","","","","0.01","Restores HP (55), grants [Quick Cast 2] to all allies, grants [200% ATB 1] to the user","N","All allies","-","","クリスタルフォース","31544576","","✓"
"Leila","Radiant Split Edge","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","8.00","Water, NE","0.01","4 single attacks (2.00 each) capped at 19999, grants [Damage Cap +10000 2], [Water Ability Quick Cast 2], [Water Ability +50% Boost 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544577","","✓"
"Clive","Radiant Embrace Your Power","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Fire, NE","0.01","One single attack (10.00) capped at 199999, grants [Fire Ability +30% Boost 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544559","","✓"
"Nine","Radiant Laser Lance","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","8.00","Wind, NE","0.01","4 single ranged jump attacks (2.00 each) capped at 19999, causes [Imperil Prismatic 10% (15s)], grants [Damage Cap +10000 2], [Quick Cast 2], [DEF and RES 50% Piercing 2], [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544706","","✓"
"Ricard","Radiant Dragoon's Soul","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","8.00","Wind, Lightning, Water, Dark, NE","0.01","4 single ranged jump attacks (2.00 each) capped at 19999, grants [Damage +50% Boost 1] and [Damage Cap +10000 1] to all Dragoon allies, grants [Instant Cast 1], [DEF and RES 50% Piercing 1], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544704","",""
"Larsa","Radiant Life Crystal","CASB1","","Crystal Force I & II","WHT","All allies","","","","0.01","Restores HP (55), grants [Quick Cast 2] to all allies, grants [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544652","",""
"Master","Radiant Show of Courage","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Earth, Fire, Lightning, NE","0.01","One single attack (10.00) capped at 199999, grants [Damage Cap +10000 2], [Quick Cast 2], [DEF and RES 50% Piercing 2], [Physical +30% Boost 2], and [200% ATB 1]","N","Lowest HP% enemy","-","","クリスタルフォース","31544780","","✓"
"Quistis","Radiant Abyss Time","CASB2","","Crystal Force I & II","BLK","Single enemy","Magical","26.40","Poison, NE","0.01","Four single attacks (6.60 each) capped at 19999, grants [Poison Ability +30% Boost 2], [DEF and RES 50% Piercing 2], [Dualcast Poison 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544242","","✓"
"Cloud","Radiant Mako Strike","CASB2","","Crystal Force I & II","PHY","Single enemy","Physical","2.00","Dark, NE","0.01","One single attack (2.00) capped at 199999, grants [Dark Ability +30% Boost 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user. After using Crystal Force command twice, grants [True Damage Cap 199999 1] and [Dark Ability Instant Cast 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31544316","","✓"
"Tifa","Radiant Meteor Combo","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Earth, NE","0.01","One single attack (10.00 each) capped at 199999, grants [Damage Cap +10000 2], [Quick Cast 2], [Physical +30% Boost 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543764","","✓"
"Elarra","Radiant Magika Phoenix","CASB1","","Crystal Force I & II","WHT","All allies","","","","0.01","Restores HP (55), grants [Instant Cast 2], grants [200% ATB 1] to the user","N","All allies","-","","クリスタルフォース","?","",""
"Celes","Radiant Proud Blade","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","10.00","Holy, NE","0.01","One single attack (10.00 each) capped at 199999, grants [Damage Cap +10000 2], [Quick Cast 2], [Physical +30% Boost 2], [DEF and RES 50% Piercing 2], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543777","","✓"
"Celes","Radiant Mystical Snow","CASB2","","Crystal Force I & II","PHY","Single enemy","Physical","12.00","Ice, NE","0.01","Six single attacks (2.00 each) capped at 19999, grants [Ice Ability +30% Boost 1] to all allies, grants [Damage Cap +10000], [Instant Cast 1], [DEF and RES 50% Piercing 1], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543988","","✓"
"Genesis","Radiant Purgatorial Wave","CASB1","","Crystal Force I & II","PHY","Single enemy","Physical","8.00","Fire, NE","0.01","Four single attacks (2.00 each) capped at 19999, grants [Damage Cap +20000 1], [Fire Ability +50% Boost 1], [Dualcast Fire 1], [DEF and RES 50% Piercing 1], and [200% ATB 1] to the user","N","Lowest HP% enemy","-","","クリスタルフォース","31543945","","✓"
"Thancred","Radiant Burst Strike","CASB1","","Crystal Force I & II","NAT","Single enemy","Hybrid","","Holy, Earth, Wind, Poison, NE","0.01","Six single hybrid attacks (2.00/6.60 each) capped at 19999, grants [Damage Cap +10000 2], [Holy, Earth, Wind, Poison Ability +30% 2], [DEF and RES 50% Piercing 2], [200% ATB 1] to the user. After using Crystal Force command twice, casts Light Strike: Thancred","N","Lowest HP% enemy","-","","クリスタルフォース","31544398","","✓"
