"Character","Img","Name","HA Ver","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","Uses","Max","Orb 1 Required","1-R1","1-R2","1-R3","1-R4","1-R5","Orb 2 Required","2-R1","2-R2","2-R3","2-R4","2-R5","Orb 3 Required","3-R1","3-R2","3-R3","3-R4","3-R5","School","Name (JP)","ID","✓"
"Edge","","Bio Ninjutsu","HA2","NAT","Single enemy","Hybrid","","Poison","","4 single-target Bio hybrid attacks & single-target Bio piercing hybrid attack","Y","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Ninja","にんじゅつ・毒","30231311","✓"
"Fusoya","","Bless","HA1","WHT","Single enemy","Magical","17.75","Holy","1.65","Five single attacks (3.55 each), causes [Imperil Holy 10% (5s)]","Y","Lowest HP% enemy","90","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","せいしんは","30121511","✓"
"Golbez","","Shadow Drake","HA1","BLK","Single enemy","Magical","21.00","Dark","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","こくりゅう","30271171","✓"
"Golbez","","Abyss Rock","HA2","BLK","Single enemy","Magical","17.50","Dark","1.65","Five single attacks (3.50 each), causes [Imperil Dark 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Dark Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Black Cystal","-","10","15","50","75","Darkness","アビスロック","30271381","✓"
"Cid (IV)","","Monkey Wrench","HA1","PHY","Single enemy","Physical","5.50","Lightning","0.01","Five single ranged attacks (1.10 each)","Y","Lowest HP% enemy","70","2","10","Power Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Machinist","改造","30261301","✓"
"Cid (IV)","","Thor's Mighty Hammer","HA2","PHY","Single enemy","Physical","7.10","Lightning","1.65","One single ranged attack (7.10) capped at 99999","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Machinist","ビッグトールハンマー","30261321","✓"
"Ceodore","","Vibra Slash","HA1","PHY","Single enemy","Physical","6.60","Holy","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","White Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","バイブレイ・スラッシュ","30211291","✓"
"Rubicante","","Inferno (IV)","HA1","BLK","Single","Magical","17.50","Fire","1.65","Five single attacks (3.50 each), causes [Imperil Fire 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","かえんりゅう","30111691","✓"
"Ursula","","Five Star Crimson Palm","HA1","PHY","Single enemy","Physical","6.60","Earth","1.65","Six single attacks (1.10 each), cast time 0.825 if Yang is alive","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Monk","五星紅天掌","30191351","✓"
"Barbariccia","","Whirlwind","HA1","BLK","Single enemy","Magical","17.50","Wind","0.01","Five single attacks (3.50 each)","Y","Lowest HP% enemy","70","2","10","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Black Magic","たつまき","30111451","✓"
"Barbariccia","","Maelstrom","HA2","?","Single","Magical","","Wind","","Seven single attacks (? each)","?","Lowest HP% enemy","","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Black Magic","ミールストーム","30111811",""
"Lenna","","Tycoon Cure","HA1","WHT","All allies","","","","1.20","Restores HP (17.50)","N","All allies","90","2","10","White Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","タイクーン・ケアル","30121361","✓"
"Galuf","","Fist of the Dawn","HA1","PHY","Single enemy","Physical","5.50","Earth","1.65","Five single attacks (1.10 each), grants [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Monk","暁の一撃","30191261","✓"
"Galuf","","Dawn Strike","HA2","?","Single enemy","Physical","","Earth","","Six single attacks (? each)","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Combat","暁の剣撃","30151241",""
"Gogo (V)","","Total Mastery","HA1","BLK","Single","Magical","17.50","Water","1.65","Five single attacks (3.50 each), causes [Imperil Water 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Black Magic","めんきょかいでん","30111671","✓"
"Gilgamesh","","Death Claw","HA1","PHY","Single enemy","Physical","5.70","Fire","1.65","Six single attacks (0.95 each), 100% additional critical chance if user has [Retaliate] or [High Retaliate], removes [Retaliate] and [High Retaliate] from the user","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Samurai","デスクロー","30221241","✓"
"Bartz","","Crystal Shimmer","HA1","PHY","Single enemy","Physical","5.50","Fire, Water, Wind, Earth","1.65","Five single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Spellblade","四晶の輝き","30141271","✓"
"Faris","","Pirate Cannon","HA1","PHY","Single enemy","Physical","4.00","Wind, Fire","1.20","Four single ranged attacks (1.00 each), causes [ATK and MAG -50% (8s)], grants [ATK and MAG +50% (8s)] to the user","Y","Lowest HP% enemy","80","2","10","Fire Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Thief","パイレーツキャノン","30201211","✓"
"Faris","","Serpent's Gale","HA2","PHY","Single enemy","Physical","5.50","Wind, Fire","1.20","Five single ranged attacks (1.10 each)","Y","Lowest HP% enemy","80","2","10","Fire Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Thief","海竜の暴風","30201281","✓"
"Dorgann","","Brotherhood of the Dawn","HA1","PHY","Single enemy","Physical","6.60","Earth","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","暁の絆","30211381","✓"
"Dorgann","","Seal Guardian","HA2","?","Single enemy","Physical","","Earth","","Four single attacks (? each), grants [Knight Quick Cast 2] to the user","?","Lowest HP% enemy","","2","10","White Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Knight","封印を見守りし者","30211501",""
"Exdeath","","Double Hole","HA1","NAT","Single enemy","Magical","","Dark, Holy","1.65","Five single hybrid attacks (3.50 or 3.55 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","ダブルホール","30271211","✓"
"Exdeath","","Grand Cross","HA2","?","Single enemy","Magical","","Dark, Holy","","Four single hybrid attacks (? or ? each), causes [Imperil Dark 10% (5s)] and [Imperil Holy 10% (5s)]","?","Lowest HP% enemy","","2","10","Non-Elemental Crystal","-","10","15","50","75","Holy Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","グランドクロス","30111891",""
"Krile","","Cleansing","HA1","BLK","Single enemy","Magical","13.20","Fire, Earth","0.01","Four single attacks (3.30 each)","Y","Lowest HP% enemy","70","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Black Magic","てんちほうかい","30111411","✓"
"Krile","","Kindred Flame","HA2","SUM","Single enemy","Magical","24.75","Fire, Earth","3.30","Five single attacks (4.95 each), minimum damage 2000","N","Lowest HP% enemy","90","2","6","Summoning Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Summoning","絆の灯火","30131551","✓"
"Xezat","","Spellsword Iceshock","HA1","PHY","Single enemy","Physical","5.50","Earth, Ice, Lightning","1.65","Four single attacks (1.10 each), followed by one single attack (1.10) with additional 20% critical damage","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Spellblade","魔法剣術・砕凍雷","30141391","✓"
"Xezat","","King's Spellblade","HA2","?","Single enemy","Physical","","Earth, Ice, Lightning","","Three single attacks (? each), grants [Instant Cast 1] to the user","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Ice Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Spellblade","王の魔法剣","30141491",""
"Kelger","","Lupine Fang","HA1","PHY","Single enemy","Physical","7.00","Earth","0.83","3/5/7 single attacks (1.00 each) if the user has [Physical Blink 0/1/2], grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","Y","Lowest HP% enemy","80","2","10","Power Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Ninja","ルパインファング","30231241","✓"
"Terra","","Riot Blade","HA1","BLK","Single enemy","Magical","32.40","Fire, Wind","1.65","Four single attacks (3.50 each), followed by one single attack (18.40) that ignores RES","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Black Magic","ライオットソード","30111431","✓"
"Locke","","Mirage Raid","HA1","PHY","Single enemy","Physical","4.00","Fire","1.20","Four single attacks (1.00 each), causes [ATK and DEF -50% (8s)], grants [ATK and DEF +50%] for 8 seconds to the user","Y","Random enemy without status","80","2","10","Fire Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Thief","ミラージュレイド","30201151","✓"
"Locke","","Burning Spirit","HA2","PHY","Single enemy","Physical","6.60","Fire","1.20","Six single attacks (1.10 each)","Y","Lowest HP% enemy","80","2","10","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Thief","バーニンスピリット","30201291","✓"
"Celes","","Spinning Edge","HA1","PHY","All enemies","Physical","5.50","Ice, Holy","1.65","Five group ranged attacks (0.92~1.10 scaling with targets)","Y","All enemies","90","2","10","Power Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Spellblade","スピニングエッジ","30141261","✓"
"Celes","","Spinning Luce","HA2","?","Single enemy","Physical","","Ice, Holy","","Six single attacks (? each)","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Holy Crystal","-","5","10","25","35","Spellblade","スピニングルーチェ","30141511",""
"Mog","","Heroic Harmony","HA1","NAT","All allies","","","","1.65","Restores 1500 HP, grants [Warrior Dancer MAG +5%/10%/20%/30%], grants [Warrior Dancer 1/2/3/3] to the user if the user has [Warrior Dancer 0/1/2/3]","N","All allies","100","2","10","White Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Dancer","伝説のハーモニー","30251131","✓"
"Edgar","","Withering Shot","HA1","PHY","Single enemy","Physical","3.00","Poison, Fire, Lightning","1.65","Three single ranged attacks (1.00 each), causes [Imperil Poison 10% (5s)], [Imperil Fire 10% (5s)] and [Imperil Lightning 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Machinist","ウィークメーカー","30261241","✓"
"Edgar","","Chainsaw","HA2","PHY","Single enemy","Physical","5.50","Poison, Fire, Lightning","1.65","Five single ranged attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Machinist","回転のこぎり","30261311","✓"
"Sabin","","Raging Fist (VI)","HA1","PHY","Single enemy","Physical","6.60","Fire","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Monk","爆裂拳【VI】","30191291","✓"
"Shadow","","Shadow Fang","HA1","PHY","Single enemy","Physical","10.16","Dark","0.83","Four single ranged attacks (1.10 each) followed by one single ranged attack (5.76) that ignores DEF, 100% hit rate","Y","Lowest HP% enemy","80","2","10","Power Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Ninja","シャドウファング","30231191","✓"
"Shadow","","Shadow Time","HA2","?","Single enemy","Physical","","Dark","","3/5/7 single attacks (? each) if the user has [Physical Blink 0/1/2], grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Ninja","影ノ刻","30231351",""
"Cyan","","Bushido Tempest","HA1","PHY","Single enemy","Physical","7.00","Fire","3.30","Seven single attacks (1.00 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Samurai","必殺剣・烈","30221291","✓"
"Cyan","","Bushido Scorch","HA2","PHY","Single enemy","Physical","","Fire","","Four single attacks (? each), grants [Samurai Quick Cast 2] to the user","Y","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","10","15","50","75","Fire Crystal","-","5","10","25","35","Samurai","必殺剣・烈","30221331","✓"
"Gau","","Rage","HA1","PHY","Single enemy","Physical","6.60","Wind, Lightning","1.20","Six single attacks (1.10 each), damages the user for 25%/25%/15%/15%/5% max HP scaling with 0/1/2/3/4+ uses","Y","Lowest HP% enemy","80","2","10","Power Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Celerity","あばれる","30171291","✓"
"Setzer","","Red Card","HA1","PHY","Single enemy","Physical","4.00","Dark","1.65","Four single ranged attacks (1.00 each), causes [Imperil Dark 10% (5s)], grants [Sharpshooter Quick Cast 2] (50% chance)/restores 1000 HP to the lowest HP% ally and removes [Poison], [Blind] and [Sleep] from lowest HP% ally (50% chance)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Sharpshooter","ブラッディカード","30281231","✓"
"Setzer","","Dealer Shuffle","HA2","?","Single enemy","Physical","","Dark","","Six single ranged attacks (? each)","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Sharpshooter","ディールシャッフル","30281301",""
"Strago","","Aqua Breath","HA1","BLK","Single","Magical","21.00","Water","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Lightning Crystal","-","5","10","25","35","Black Magic","アクアブレス","30111521","✓"
"Strago","","Aeroga (VI)","HA2","BLK","Single","Magical","21.00","Wind","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Ice Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Black Magic","エアロガ【VI】","30111641","✓"
"Relm","","Starlight","HA1","WHT","All allies","","","","1.65","Randomly restores HP (17.50) (33%), restores HP (20) (33%), restores HP (22.50) (33%) or restores HP (80) (1%)","N","All allies","100","2","10","White Crystal","-","10","15","50","75","Non-Elemental","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","スターライト","30121421","✓"
"Relm","","Milky Way","HA2","?","All allies","","","","","Restores 1000 HP, grants [Milky Way Critical Chance 10/20/30/40/50%], grants [Drawing 1/2/3/4/4] to the user if the user has Drawing [0/1/2/3/4]","?","All allies","","2","10","White Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Support","ミルキーウェイ","30161391",""
"Gogo (VI)","","Magical Mimicry","HA1","NAT","Single enemy","Hybrid","","Fire, Ice, Wind, Earth, NE","1.65","Five single hybrid attacks (1.10 or 3.50 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Black Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Black Magic","ものまね・まほう","30111581","✓"
"Umaro","","Icestorm","HA1","PHY","Single enemy","Physical","7.10","Ice","1.65","One single attack (7.10) capped at 99999","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Monk","ふぶき","30191361","✓"
"Umaro","","Furious Tackle","HA2","PHY","Single enemy","Physical","6.60","Ice","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Monk","げきどのたいあたり","30191451","✓"
"Kefka","","Havoc Wing","HA1","BLK","Single enemy","Magical","21.00","Dark, Poison","1.65","Six single attacks (3.50 each), causes [MND -30% (8s)] to the user","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","はかいのつばさ","30271261","✓"
"Leo","","Shock","HA1","PHY","Single enemy","Physical","7.10","Earth, Holy","1.65","One single attack (7.10) capped at 99999","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Knight","ショック","30211311","✓"
"Leo","","Fallen Warrior's Blade","HA2","PHY","Single enemy","Physical","6.60","Earth, Holy","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","Knight","士魂込めし剣","30211441","✓"
"Ultros","","Totally Ink","HA1","NAT","SIngle enemy","Hybrid","","Poison","","Six single attacks (? or ? each)","Y","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Black Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Black Magic","おもいっきりすみ","30111781","✓"
"Ultros","","Tricky Potion Bomb","HA2","?","SIngle enemy","Hybrid","","Poison","","Five single ranged hybrid attacks (? or ? each), grants [Buff Poison 10% (?s)] to all allies every second activation","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Combat","いたずらポーションボム","30151281",""
"Cloud","","Braver","HA1","PHY","Single enemy","Physical","5.50","Wind, Dark","1.65","Five single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Spellblade","ブレイバー","30141291","✓"
"Barret","","Ungarmax","HA1","PHY","Single enemy","Physical","5.95","Fire","1.65","Seven single ranged attacks (0.85 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Machinist","アンガーマックス","30261281","✓"
"Barret","","Soul of AVALANCHE","HA2","NAT","Single ally","","","","0.83","Transfers the user's Soul Break points to the target (maximum of 500 Soul Break points), grants [Quick Cast 2] to the user","N","Random ally prioritizing self last","100","2","10","Power Crystal","-","10","15","50","75","White Crystal","-","5","10","25","35","Black Crystal","-","5","10","25","35","Support","アバランチソウル","30161311","✓"
"Tifa","","Beat Rush","HA1","PHY","Single enemy","Physical","6.60","Earth","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Monk","掌打ラッシュ","30191241","✓"
"Tifa","","Somersault","HA2","PHY","Single enemy","Physical","4.00","Earth","1.65","Four single attacks (1.00 each), grants [Monk Quick Cast 2] to the user","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Earth Crystal","-","10","15","50","75","Monk","サマーソルト","30191411","✓"
"Aerith","","Healing Wind","HA1","WHT","All allies","","","","2.10","Restores HP (25)","N","All allies","100","2","10","White Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Holy Crystal","-","5","10","25","35","White Magic","癒しの風","30121371","✓"
"Aerith","","Refreshing Breeze","HA2","WHT","All allies","","","","","Restores 1500 HP, grants [??? ATK +5/10/20/30%], grants [??? 1/2/3/3] to the user if the user has [??? 0/1/2/3]","N","All allies","","2","10","White Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","White Magic","そよ風の息吹","30121591","✓"
"Red XIII","","Earth Rave","HA1","BLK","Single enemy","Magical","17.50","Earth","1.65","Five single attacks (3.50 each), causes [Imperil Earth 10%] for 5 seconds","Y","Lowest HP% enemy","90","2","10","Black Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Dark Crystal","-","5","10","25","35","Black Magic","アースレイヴ","30111441","✓"
"Yuffie","","Gauntlet","HA1","PHY","Single enemy","Physical","6.72","Water, Earth","2.10","4/4/8 single ranged attacks (0.84 each) if the user has [Physical Blink 0/1/2]","Y","Lowest HP% enemy","90","2","10","Ice Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Ninja","鎧袖一触","30231231","✓"
"Yuffie","","Clearest Tranquil","HA2","PHY","Single enemy","Physical","6.60","Water, Earth","0.83","4/5/6 single attacks (1.10 each) if the user has [Physical Blink 0/1/2], grants [Physical Blink 1] and [Physical Blink Stacking 2] to the user","Y","Lowest HP% enemy","80","2","10","Ice Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Ninja","我流・明鏡止水","30231281","✓"
"Yuffie","","High Spirits","HA3","?","Single enemy","Magical","","Water, Earth","","Six single attacks (? each)","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Earth Crystal","-","5","10","25","35","Ninja","意気揚揚","30231361",""
"Cait Sith","","Joyful Dance","HA1","NAT","All enemies","","","","1.65","Causes [DEF and RES -50% (8s)], grants [HP Stock (1000)] to all allies","N","All enemies","100","2","10","White Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Dark Crystal","-","5","10","25","35","Dancer","ジョイフルダイス","30251141","✓"
"Vincent","","Beast Flare","HA1","NAT","Single enemy","Hybrid","","Fire","1.65","Six single hybrid ranged attacks (1.10 or 3.50 each)","Y","Lowest HP% enemy","90","2","10","Fire Crystal","-","5","10","25","35","Ice Crystal","-","10","15","50","75","Lightning Crystal","-","5","10","25","35","Machinist","ビーストフレア","30261171","✓"
"Zack","","Rush Assault","HA1","PHY","Single enemy","Physical","6.60","Wind","2.40","Six single attacks (1.10 each), cast time 2.40/2.00/1.60/1.20 scaling with [Rush Assault Uses]","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","10","15","50","75","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Celerity","ハードラッシュ","30171271","✓"
"Zack","","Lazy Mirage","HA2","?","Single enemy","Physical","","Wind","","Five single attacks (? each), grants [Buff Wind 10% (?s)] to all allies every second activation","?","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Celerity","レイジーミラージュ","30171331",""
"Sephiroth","","Heartless Angel","HA1","PHY","Single enemy","Physical","6.60","Dark","1.65","Six single attacks (1.10 each), 100% hit rate","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","心無い天使","30271231","✓"
"Sephiroth","","Scintilla","HA2","PHY","Single enemy","Physical","6.60","Fire","1.65","Six single attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Fire Crystal","-","10","15","50","75","Samurai","閃光","30221281","✓"
"Cid (VII)","","Boost Jump","HA1","PHY","Single enemy","Physical","6.60","Wind","1.65","Six single ranged jump attacks (1.10 each)","Y","Lowest HP% enemy","90","2","10","Lightning Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dragoon","ブーストジャンプ","30181301","✓"
"Cid (VII)","","Dragon Dive","HA2","?","Single enemy","Physical","","Wind","","Five single ranged jump attacks (? each), causes [Imperil Wind 10% (5s)]","Y","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Non-Elemental Crystal","-","5","10","25","35","Wind Crystal","-","10","15","50","75","Dragoon","ドラゴンダイヴ","30181411",""
"Reno","","Pyramid","HA1","NAT","Single enemy","Hybrid","","Lightning, NE","1.65","Six single hybrid ranged attacks (1.10 or 3.50 each), removes [Haste] every second activation","Y","Lowest HP% enemy","90","2","10","Non-Elemental Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Machinist","ピラミッド","30261211","✓"
"Reno","","Plasma Light","HA2","PHY","Single enemy","Hybrid","","Lightning","","Five single ranged hybrid attacks (? or ? each), causes [Imperil Lightning 10% (5s)]","Y","Lowest HP% enemy","","2","10","Power Crystal","-","5","10","25","35","Lightning Crystal","-","10","15","50","75","Wind Crystal","-","5","10","25","35","Machinist","プラズマ光線","30261381","✓"
"Angeal","","Wings of Pride","HA1","PHY","Single enemy","Physical","3.00","Wind, Holy","1.65","3/5 single attacks (1.00 each) if the user hasn't/has any Damage Reduction Barrier, grants [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","90","2","10","White Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","傲慢なる翼","30211281","✓"
"Angeal","","Unleashed Wrath","HA2","PHY","Single enemy","Physical","5.50","Wind, Holy","1.65","Four single attacks (1.10 each), followed by one single attack (1.10) with additional 20% critical damage","Y","Lowest HP% enemy","90","2","10","Power Crystal","-","5","10","25","35","Wind Crystal","-","5","10","25","35","Holy Crystal","-","10","15","50","75","Knight","憤怒の解放","30211411","✓"
"Rufus","","Mako Barrage","HA1","PHY","Single enemy","Physical","5.50","Dark","1.65","Five single ranged attacks (1.10 each), causes [Imperil Dark 10% (5s)]","Y","Lowest HP% enemy","90","2","10","Fire Crystal","-","5","10","25","35","Earth Crystal","-","5","10","25","35","Dark Crystal","-","10","15","50","75","Darkness","魔晄銃","30271311","✓"
