"Realm","Character","Img","Name","Effect","Unlock Criteria","Name (JP)","ID","GL","✓"
"III","Refia","","Chakram Arts","PHY attacks deal 20% more damage when equipping a thrown weapon","Use Refia's Memory Crystal II, chance to obtain with Refia in party","チャクラムアーツ","111030032","✓","✓"
"III","Refia","","Heightened Senses","PHY attacks deal 30% more damage when equipping a thrown weapon","Bring Refia to level 99","研ぎ澄まされた感性","111030033","✓","✓"
"III","Ingus","","Might of Earth","Increases Earth damage dealt by 10%","Use Ingus's Memory Crystal","土のクリスタルの力","111039960","✓","✓"
"III","Ingus","","Devout Soul","Grants [Medium Regen] at the beginning of the battle","Chance to obtain with Ingus in party","信じる心","111039961","✓","✓"
"III","Ingus","","Spirit of Sasune","DEF +20% when equipping a shield","Use Ingus's Memory Crystal II, chance to obtain with Ingus in party","サスーン騎士の心意気","111030042","✓","✓"
"III","Ingus","","Steady Hand","DEF +25% when equipping a shield","Bring Ingus to level 99","実直な戦士","111030043","✓","✓"
"III","Desch","","Ancient Power","BLK attacks deal 10% more damage when equipping a sword","Use Desch's Memory Crystal","眠る古代の力","111030050","✓","✓"
"III","Desch","","Duty Bound","ATK and MAG +10%, causes Sap at the beginning of the battle","Use Desch's Memory Crystal II, chance to obtain with Desch in party","使命の果て","111030051","✓","✓"
"III","Desch","","Shocking Demeanor","Attack turns into an ability (BLK: single, 2.60 magical Lightning)","Bring Desch to level 99","鮮烈なる生き様","111030052","✓","✓"
"III","Onion Knight","","Mage Aspirant","MAG +10% when equipping a staff","Use Onion Knight's Memory Crystal","未完の魔道士","111030060","✓","✓"
"III","Onion Knight","","Untapped Talent","100% chance to double Experience gained at the end of the battle","Use Onion Knight's Memory Crystal II, chance to obtain with Onion Knight in party","大器晩成","111030061","✓","✓"
"III","Onion Knight","","Timeless Wisdom","MAG and MND +13% when equipping a staff","Bring Onion Knight to level 99","悠久の知恵","111030062","✓","✓"
"III","Cloud of Darkness","","Ripples of Magic","30% chance to turn Attack into an ability (BLK: single, 0.70 magical)","Use Cloud of Darkness's Memory Crystal","妖魔の波動","111030070","✓","✓"
"III","Cloud of Darkness","","Portent of Doom","Attack turns into an ability (BLK: group, 1.50 magical Dark)","Use Cloud of Darkness's Memory Crystal II, chance to obtain with Cloud of Darkness in party","終末の兆し","111030071","✓","✓"
"III","Cloud of Darkness","","Avatar of the Void","Attack turns into an ability (BLK: single, 2.60 magical)","Bring Cloud of Darkness to level 99","無の化身","111030072","✓","✓"
"III","Aria","","Maiden's Awakening","MND +20%, MAG -20%","Use Aria's Memory Crystal","巫女の目覚め","111030090","✓","✓"
"III","Aria","","Word of Prayer","Restores 1 use for all White Magic abilities at the beginning of the battle","Use Aria's Memory Crystal II, chance to obtain with Aria in party","祈りの言葉","111030091","✓","✓"
"III","Aria","","Guiding Light","WHT abilities restore 30% more HP","Bring Aria to level 99","光導く虹","111030092","✓","✓"
"IV","Cecil (Dark Knight)","","Gore-stained Blade I","Attack turns into an ability (PHY: single, 1.20 physical, damages the user for 5% of the user's maximum HP)","Use Cecil (Dark Knight)'s Memory Crystal","血塗られた剣技Ⅰ","111040010","✓","✓"
"IV","Cecil (Dark Knight)","","Gore-stained Blade II","Attack turns into an ability (PHY: single, 1.30 physical, damages the user for 5% of the user's maximum HP)","Chance to obtain with Cecil (Dark Knight) in party","血塗られた剣技Ⅱ","111040011","✓","✓"
"IV","Cecil (Dark Knight)","","Pride of the Red Wings","PHY attacks deal 20% more damage when equipping a sword","Use Cecil (Dark Knight)'s Memory Crystal II, chance to obtain with Cecil (Dark Knight) in party","赤い翼の誇り","111040012","✓","✓"
"IV","Cecil (Dark Knight)","","Cursed Power","Darkness abilities deal 40% more damage","Bring Cecil (Dark Knight) to level 99","呪われし闇の力","111040013","✓","✓"
"IV","Cecil (Paladin)","","Indomitable Spirit","Grants [Protect] when HP fall below 20%","Use Cecil (Paladin)'s Memory Crystal","屈せぬ魂","111040020","✓","✓"
"IV","Cecil (Paladin)","","Holy Blade","Attack turns into an ability (PHY: single, 0.90 physical, heals the user for 8% of the damage dealt)","Chance to obtain with Cecil (Paladin) in party","聖騎士の剣技","111040021","✓","✓"
"IV","Cecil (Paladin)","","Paladin's Devotion","30% chance to counter PHY attacks with an ability (NAT: self, restores HP (30))","Use Cecil (Paladin)'s Memory Crystal II, chance to obtain with Cecil (Paladin) in party","聖騎士の決意","111040022","✓","✓"
"IV","Cecil (Paladin)","","Azure Blade","Increases Holy damage dealt by 30%","Bring Cecil (Paladin) to level 99","青き星の聖剣","111040023","✓","✓"
"IV","Kain","","Heart of the Dragoon","Jump attacks deal 20% more damage","Use Kain's Memory Crystal","竜騎士の心","111040030","✓","✓"
"IV","Kain","","Brainwash","ATK and DEF +10%, causes Confuse at the beginning of the battle","Chance to obtain with Kain in party","洗脳","111040031","✓","✓"
"IV","Kain","","Illustrious Dragoon","Jump attacks deal 25% more damage","Use Kain's Memory Crystal II, chance to obtain with Kain in party","プライド高き竜騎士","111040032","✓","✓"
"IV","Kain","","Heights of Honor","Jump attacks deal 35% more damage","Bring Kain to level 99","誇りの飛翔","111040033","✓","✓"
"IV","Rydia","","Eidolon's Gift","Grants [Shell] when HP fall below 20%","Use Rydia's Memory Crystal","幻獣の加護","111040040","✓","✓"
"IV","Rydia","","Eidolon's Bond","SUM attacks deal 20% more damage","Chance to obtain with Rydia in party","幻獣との絆","111040041","✓","✓"
"IV","Rydia","","Summoner of Mist","MAG +10% when equipping a whip","Use Rydia's Memory Crystal II, chance to obtain with Rydia in party","ミストの召喚士","111040042","✓","✓"
"IV","Rydia","","Child of the Feymarch","MAG and RES +13% when equipping a whip","Bring Rydia to level 99","幻界で育まれし魔力","111040043","✓","✓"
"IV","Rosa","","Archer in White","MND +10% when equipping a bow","Use Rosa's Memory Crystal","白魔道士団の弓使い","111040060","✓","✓"
"IV","Rosa","","Artemis of Baron","MND +20% when equipping a bow","Use Rosa's Memory Crystal II, chance to obtain with Rosa in party","バロンのアルテミス","111040061","✓","✓"
"IV","Rosa","","Rose of Baron","MND +25% when equipping a bow","Bring Rosa to level 99","バロン随一の美貌","111040062","✓","✓"
"IV","Edward","","Royal Song I","50% chance to restore 1 use for all Bard abilities at the beginning of the battle","Use Edward's Memory Crystal","王族の歌声I","111040070","✓","✓"
"IV","Edward","","Royal Song II","Restores 1 use for all Bard abilities at the beginning of the battle","Chance to obtain with Edward in party","王族の歌声II","111040071","✓","✓"
"IV","Edward","","Frail Prince","DEF and RES +10%, causes Sap at the beginning of the battle","Use Edward's Memory Crystal II, chance to obtain with Edward in party","衰弱の王子","111040072","✓","✓"
"IV","Edward","","Spoony Bard","PHY attacks deal 30% more damage when equipping an instrument","Bring Edward to level 99","心優しき吟遊詩人","111040073","✓","✓"
"IV","Yang","","Ascetic Journey","50% chance to restore 1 use for all Monk abilities at the beginning of the battle","Use Yang's Memory Crystal","僧兵の修行","111040080","✓","✓"
"IV","Yang","","Tough Love","Attack turns into an ability (PHY: group, 0.40 physical)","Use Yang's Memory Crystal II, chance to obtain with Yang in party","愛のけり","111040081","✓","✓"
"IV","Yang","","Feat of Fabul","Attack turns into an ability (PHY: group, 0.80 physical)","Bring Yang to level 99","ファブール最強のけり","111040082","✓","✓"
"IV","Palom","","Black Magic Adept","BLK attacks deal 10% more damage when equipping a dagger","Use Palom's Memory Crystal","黒魔道士の素質","111040090","✓","✓"
"IV","Palom","","Black Magic Prodigy","100% chance to double Experience gained at the end of the battle","Use Palom's Memory Crystal II, chance to obtain with Palom in party","黒魔法の天才児","111040091","✓","✓"
"IV","Palom","","Black Magic Marvel","MAG +15% when equipping a rod","Bring Palom to level 99","卓越せし黒魔法の才能","111040092","✓","✓"
"IV","Porom","","White Magic Adept","8% chance to dualcast White Magic abilities","Use Porom's Memory Crystal","白魔道士の素質","111040100","✓","✓"
"IV","Porom","","White Magic Prodigy","MND +20% when equipping a staff","Use Porom's Memory Crystal II, chance to obtain with Porom in party","白魔法の天才児","111040101","✓","✓"
"IV","Porom","","White Magic Marvel","MND +25% when equipping a hat","Bring Porom to level 99","卓越せし白魔法の才能","111040102","✓","✓"
"IV","Tellah","","Sage's Sigil","30% chance to turn Attack into an ability (BLK: single, 0.70 magical Ice)","Use Tellah's Memory Crystal","賢者の印","111040110","✓","✓"
"IV","Tellah","","Sage's Monograph","MAG and MND +10% when equipping a rod","Use Tellah's Memory Crystal II, chance to obtain with Tellah in party","賢者の心得","111040111","✓","✓"
"IV","Tellah","","Sage's Reverie","MAG and MND +13% when equipping a staff","Bring Tellah to level 99","賢者の想起","111040112","✓","✓"
"IV","Edge","","Secrets of Eblan","50% chance to restore 1 use for all Ninja abilities at the beginning of the battle","Use Edge's Memory Crystal","エブラーナの秘伝","111040120","✓","✓"
"IV","Edge","","Smoldering Fury","Increases Fire damage dealt by 20%","Use Edge's Memory Crystal II, chance to obtain with Edge in party","燃え盛る怒り","111040121","✓","✓"
"IV","Edge","","Sacred Tradition","Ninja abilities deal 40% more damage","Bring Edge to level 99","先祖代々の奥義","111040122","✓","✓"
"IV","Fusoya","","Moon's Grace I","40% chance to restore 1 use for all Black Magic and White Magic abilities at the beginning of the battle","Use Fusoya's Memory Crystal","月の恵みⅠ","111040130","✓","✓"
"IV","Fusoya","","Moon's Grace II","Restores 1 use for all Black Magic and White Magic abilities at the beginning of the battle","Chance to obtain with Fusoya in party","月の恵みⅡ","111040131","✓","✓"
"IV","Fusoya","","Wizard's Beard","BLK and WHT attacks deal 10% more damage when equipping a rod","Use Fusoya's Memory Crystal II, chance to obtain with Fusoya in party","神秘的なヒゲ","111040132","✓","✓"
"IV","Fusoya","","Waxing Moon","MAG and MND +10%","Bring Fusoya to level 99","格調高き月の番人","111040133","✓","✓"
"IV","Golbez","","Devil's Pact","MAG +2% for each 10% missing HP","Use Golbez's Memory Crystal","魔人の底力","111040140","✓","✓"
"IV","Golbez","","Brooding Darkness","Increases Dark damage dealt by 20%","Use Golbez's Memory Crystal II, chance to obtain with Golbez in party","漆黒の力","111040141","✓","✓"
"IV","Golbez","","Sorceror in Black","DEF and MAG +13% when equipping a rod","Bring Golbez to level 99","黒衣の魔人","111040142","✓","✓"
"IV","Cid (IV)","","Baron Airshipwright","Machinist abilities deal 15% more damage","Use Cid (IV)'s Memory Crystal","バロンの飛空艇技師","111040150","✓","✓"
"IV","Cid (IV)","","Stubborn Ox","PHY attacks deal 20% more damage when equipping a hammer","Use Cid (IV)'s Memory Crystal II, chance to obtain with Cid (IV) in party","頑固な人情家","111040151","✓","✓"
"IV","Cid (IV)","","Grizzled Veteran","20% chance to turn Attack into an ability (PHY: single, 1.00 physical, causes Silence (100%))","Bring Cid (IV) to level 99","たくましい元気オヤジ","111040152","✓","✓"
"IV","Ceodore","","Hero's Progeny","If an ally has negative effects, 40% chance to turn Attack into an ability (NAT: single, removes negative effects)","Use Ceodore's Memory Crystal","英雄の息子","111040180","✓","✓"
"IV","Ceodore","","Conqueror of Trials","DEF and RES +10% when equipping a heavy armor","Use Ceodore's Memory Crystal II, chance to obtain with Ceodore in party","試練を越えし者","111040181","✓","✓"
"IV","Ceodore","","Vigor of Youth","ATK and MND +10%","Bring Ceodore to level 99","覚醒せし若き力","111040182","✓","✓"
"IV","Rubicante","","Lord of Flame","Increases Fire damage dealt by 10%","Use Rubicante's Memory Crystal","炎をつかさどる者","111040200","✓","✓"
"IV","Rubicante","","Master of Fire","Attack turns into an ability (BLK: group, 1.50 magical Fire)","Use Rubicante's Memory Crystal II, chance to obtain with Rubicante in party","炎術の手練","111040201","✓","✓"
"IV","Rubicante","","Honorable Foe","MAG and MND +13% when equipping a light armor","Bring Rubicante to level 99","誇り高き宿敵","111040202","✓","✓"
"IV","Ursula","","Fabul Princess","Increases physical damage dealt by 10% when equipping a light armor","Use Ursula's Memory Crystal","ファブールの王女","111040210","✓","✓"
"IV","Ursula","","Flirting with Power","ATK +13% when equipping a fist weapon","Use Ursula's Memory Crystal II, chance to obtain with Ursula in party","強さに憧れる少女","111040211","✓","✓"
"IV","Ursula","","Deadly Secrets","15% chance to turn Attack into Gaia Rush","Bring Ursula to level 99","極意を得し者","111040212","✓","✓"
"IV","Barbariccia","","Standout Archfiend","MAG +10%, DEF -10%","Use Barbariccia's Memory Crystal","四天王の紅一点","111040220","✓","✓"
"IV","Barbariccia","","Midair Combatant","Increases Wind damage dealt by 20%","Use Barbariccia's Memory Crystal II, chance to obtain with Barbariccia in party","空中戦に長ける戦士","111040221","✓","✓"
"IV","Barbariccia","","One With the Wind","Attack turns into an ability (BLK: group, 2.08 magical Wind)","Bring Barbariccia to level 99","風を名に冠する者","111040222","✓","✓"
"V","Lenna","","Oath of Tycoon","WHT abilities restore 10% more HP","Use Lenna's Memory Crystal","タイクーンの誓い","111050020","✓","✓"
"V","Lenna","","Empathic Soul","Grants [High Regen] at the beginning of the battle","Use Lenna's Memory Crystal II, chance to obtain with Lenna in party","いたわりの心","111050021","✓","✓"
"V","Lenna","","Heart of Grace","WHT abilities restore 30% more HP","Bring Lenna to level 99","仁愛の姫君","111050022","✓","✓"
"V","Galuf","","Fit of Rage","Grants [Berserk] at the beginning of the battle","Use Galuf's Memory Crystal","激情","111050051","✓","✓"
"V","Galuf","","Martial Master","12% chance to counter PHY attacks with an ability (PHY: single, 2x 0.65 physical)","Chance to obtain with Galuf in party","熟達の拳技","111050050","✓","✓"
"V","Galuf","","Fist of Dawn","PHY attacks deal 20% more damage when equipping a fist weapon","Use Galuf's Memory Crystal II, chance to obtain with Galuf in party","暁の拳技","111050052","✓","✓"
"V","Galuf","","Quiet Resolve","24% chance to turn Attack into Fires Within","Bring Galuf to level 99","必倒の覚悟","111050053","✓","✓"
"V","Gogo (V)","","Master's Touch","Grants [Reflect] at the beginning of the battle","Use Gogo (V)'s Memory Crystal","名人の所作","111050060","✓","✓"
"V","Gogo (V)","","Master's Bearing","Grants [Low Regen] and Retaliate at the beginning of the battle","Use Gogo (V)'s Memory Crystal II, chance to obtain with Gogo (V) in party","名人芸","111050062","✓","✓"
"V","Gogo (V)","","Master's Guise","MAG and MND +13% when equipping a hat","Bring Gogo (V) to level 99","名人の極意","111050063","✓","✓"
"V","Gilgamesh","","Warrior's Burden","DEF +10% when equipping a heavy armor","Use Gilgamesh's Memory Crystal","隊長の責任","111050070","✓","✓"
"V","Gilgamesh","","Captain's Protection","Restores 1 use for all Knight abilities at the beginning of the battle","Use Gilgamesh's Memory Crystal II, chance to obtain with Gilgamesh in party","親衛隊長の守護","111050071","✓","✓"
"V","Gilgamesh","","Into the Fray","Grants [Protect], Shell and Haste at the beginning of the battle","Bring Gilgamesh to level 99","強敵（とも）","111050072","✓","✓"
"V","Bartz","","Wind Wanderer","Increases Wind damage dealt by 10%","Use Bartz's Memory Crystal","風の旅人","111050010","✓","✓"
"V","Bartz","","Spellblade Master","13% chance to dualcast Spellblade abilities","Use Bartz's Memory Crystal II, chance to obtain with Bartz in party","魔法剣の使い手","111050011","✓","✓"
"V","Bartz","","World Traveler","Increases Wind damage dealt by 30%","Bring Bartz to level 99","世界を巡る冒険者","111050012","✓","✓"
"V","Faris","","Pirate's Vanguard","50% chance to restore 1 use for all Support abilities at the beginning of the battle","Use Faris's Memory Crystal","女頭領の統率","111050090","✓","✓"
"V","Faris","","Fury of the Seas","PHY attacks deal 20% more damage when equipping a bow","Use Faris's Memory Crystal II, chance to obtain with Faris in party","海上の戦女神","111050091","✓","✓"
"V","Faris","","Flower of the Sea","Support abilities deal 40% more damage","Bring Faris to level 99","美しき海賊の頭領","111050092","✓","✓"
"V","Dorgann","","Proud Father","Increases Holy damage dealt by 10%","Use Dorgann's Memory Crystal","誇り高き父","111050100","✓","✓"
"V","Dorgann","","Tempered Blade","Knight abilities deal 30% more damage","Use Dorgann's Memory Crystal II, chance to obtain with Dorgann in party","鍛えられし剣技","111050101","✓","✓"
"V","Dorgann","","Dawn's Star","DEF and RES +20% when equipping a light armor","Bring Dorgann to level 99","暁の誇り","111050102","✓","✓"
"V","Exdeath","","Evil Thoughts","10% chance to turn Attack into an ability (PHY: single, 1.00 physical, causes Instant KO (100%))","Use Exdeath's Memory Crystal","邪悪な意思","111050110","✓","✓"
"V","Exdeath","","Arcane Secrets","13% chance to dualcast Darkness abilities","Use Exdeath's Memory Crystal II, chance to obtain with Exdeath in party","暗黒魔道士の秘技","111050111","✓","✓"
"V","Exdeath","","Call of the Void","MAG and RES +13% when equipping a heavy armor","Bring Exdeath to level 99","無の力への渇望","111050112","✓","✓"
"V","Krile","","Bestial Affinity","SUM attacks deal 10% more damage","Use Krile's Memory Crystal","豊かな感受性","111050120","✓","✓"
"V","Krile","","Familial Bond","MAG +10%, grants [Low Regen] at the beginning of the battle","Use Krile's Memory Crystal II, chance to obtain with Krile in party","おじいちゃんとの絆","111050121","✓","✓"
"V","Krile","","Unbroken Promise","MAG +15% when equipping a whip","Bring Krile to level 99","受け継いだ遺志","111050122","✓","✓"
"V","Xezat","","Humble Monarch","50% chance to restore 1 use for all Spellblade abilities at the beginning of the battle","Use Xezat's Memory Crystal","気さくな王","111050160","✓","✓"
"V","Xezat","","Proud Swordsman","Spellblade abilities deal 30% more damage","Use Xezat's Memory Crystal II, chance to obtain with Xezat in party","剣士の自負","111050161","✓","✓"
"V","Xezat","","Xezat of Ice","24% chance to turn Attack into Frost Strike","Bring Xezat to level 99","氷の異名を持つ剣士","111050162","✓","✓"
"V","Kelger","","Alpha Wolf","50% chance to restore 1 use for all Celerity abilities at the beginning of the battle","Use Kelger's Memory Crystal","勇猛なるウェアウルフ","111050170","✓","✓"
"V","Kelger","","Lupine Swiftness","50% chance to begin the round with full ATB gauge","Use Kelger's Memory Crystal II, chance to obtain with Kelger in party","迅速な狼戦士","111050171","✓","✓"
"V","Kelger","","Ferocious Fang","Attack turns into an ability (PHY: single, 2.10 physical) with 0.01 cast time that grants 0 SB points","Bring Kelger to level 99","どう猛なる狼の牙","111050172","✓","✓"
"VI","Terra","","Hidden Power","50% chance to restore 1 use for all Black Magic abilities at the beginning of the battle","Use Terra's Memory Crystal","秘めたる魔導","111060010","✓","✓"
"VI","Terra","","Blood of Espers","13% chance to dualcast Black Magic abilities","Use Terra's Memory Crystal II, chance to obtain with Terra in party","幻獣の血","111060012","✓","✓"
"VI","Terra","","Light of Hope","MAG +13%","Bring Terra to level 99","希望という名の光","111060013","✓","✓"
"VI","Locke","","Treasure Hunter's Zeal","50% chance to restore 1 use for all Celerity abilities at the beginning of the battle","Use Locke's Memory Crystal","冒険家の備え","111060030","✓","✓"
"VI","Locke","","Adventurer's Dagger","PHY attacks deal 20% more damage when equipping a dagger","Use Locke's Memory Crystal II, chance to obtain with Locke in party","冒険家の短剣術","111060031","✓","✓"
"VI","Locke","","True Treasure Hunter","Celerity abilities deal 35% more damage","Bring Locke to level 99","真のトレジャーハンター","111060032","✓","✓"
"VI","Celes","","Hand of the Victor","30% chance to turn Attack into Blizzard Strike","Use Celes's Memory Crystal","常勝","111060040","✓","✓"
"VI","Celes","","Unbreakable Spellblade","Spellblade abilities deal 30% more damage","Use Celes's Memory Crystal II, chance to obtain with Celes in party","常勝将軍の魔剣","111060041","✓","✓"
"VI","Celes","","Love's Wake","Spellblade abilities deal 40% more damage","Bring Celes to level 99","愛の軌跡","111060042","✓","✓"
"VI","Mog","","Heart of the Dancer I","50% chance to restore 1 use for all Dancer abilities at the beginning of the battle","Use Mog's Memory Crystal","踊りの心I","111060050","✓","✓"
"VI","Mog","","Heart of the Dancer II","Restores 1 use for all Dancer abilities at the beginning of the battle","Chance to obtain with Mog in party","踊りの心II","111060051","✓","✓"
"VI","Mog","","Moogle Warrior","MND +20%, MAG -20%","Use Mog's Memory Crystal II, chance to obtain with Mog in party","モーグリ族の戦士","111060052","✓","✓"
"VI","Mog","","Moogle Gallantry","MND +25% when equipping a spear","Bring Mog to level 99","勇敢なるモーグリ","111060053","✓","✓"
"VI","Edgar","","Might of Figaro","Grants [Protect] when HP fall below 20%","Use Edgar's Memory Crystal","フィガロ王家の力","111060060","✓","✓"
"VI","Edgar","","Pride of Figaro","PHY attacks deal 20% more damage when equipping a spear","Use Edgar's Memory Crystal II, chance to obtain with Edgar in party","フィガロの誇り","111060061","✓","✓"
"VI","Edgar","","Well-Oiled Machine","Increases Poison damage dealt by 30%","Bring Edgar to level 99","華麗なるマシーナリー","111060062","✓","✓"
"VI","Sabin","","Innate Healing","Grants [Low Regen] at the beginning of the battle","Use Sabin's Memory Crystal","自然治癒","111060070","✓","✓"
"VI","Sabin","","Keeper of the Old Ways","13% chance to dualcast Monk abilities","Use Sabin's Memory Crystal II, chance to obtain with Sabin in party","奥義の継承者","111060071","✓","✓"
"VI","Sabin","","Fists of Justice","Monk abilities deal 40% more damage","Bring Sabin to level 99","正義の熱血漢","111060072","✓","✓"
"VI","Shadow","","Cold Steel","Attack turns into an ability (PHY: single, 1.20 physical) that grants 35 Soul Break points","Use Shadow's Memory Crystal","非情なる刃","111060080","✓","✓"
"VI","Shadow","","Hardened Assassin","Ninja abilities deal 30% more damage","Use Shadow's Memory Crystal II, chance to obtain with Shadow in party","冷徹な暗殺者","111060081","✓","✓"
"VI","Shadow","","Violent Ambition","24% chance to turn Attack into Doppelblade","Bring Shadow to level 99","極めし修羅道","111060082","✓","✓"
"VI","Cyan","","Katana Master","PHY attacks deal 10% more damage when equipping a katana","Use Cyan's Memory Crystal","刀の使い手","111060090","✓","✓"
"VI","Cyan","","Samurai Spirit","Grants [Retaliate] when HP fall below 20%","Chance to obtain with Cyan in party","侍の心得","111060091","✓","✓"
"VI","Cyan","","Samurai of Doma","Samurai abilities deal 30% more damage","Use Cyan's Memory Crystal II, chance to obtain with Cyan in party","ドマ国のサムライ","111060092","✓","✓"
"VI","Cyan","","Brink of Despair","ATK and DEF +13% when equipping a katana","Bring Cyan to level 99","絶望を超えし武人","111060093","✓","✓"
"VI","Gau","","Wild Child","ATK +10%, DEF -10%","Use Gau's Memory Crystal","野生児","111060100","✓","✓"
"VI","Gau","","Feral Might","ATK +10%, grants [Haste] at the beginning of the battle","Use Gau's Memory Crystal II, chance to obtain with Gau in party","獣の力","111060101","✓","✓"
"VI","Gau","","Veldt Mischief","60% chance to turn Attack into an ability (NAT: single, 2.20 physical)","Bring Gau to level 99","獣ヶ原のあばれん坊","111060102","✓","✓"
"VI","Setzer","","All In","50% chance to restore 1 use for all Combat abilities at the beginning of the battle","Use Setzer's Memory Crystal","真剣勝負","111060110","✓","✓"
"VI","Setzer","","Soaring Dreams","Machinist abilities deal 30% more damage","Use Setzer's Memory Crystal II, chance to obtain with Setzer in party","世界最速の夢","111060111","✓","✓"
"VI","Setzer","","Wandering Gambler","24% chance to turn Attack into Rapid Fire","Bring Setzer to level 99","流浪のギャンブラー","111060112","✓","✓"
"VI","Strago","","Elder Sage","Increases Water damage dealt by 10%","Use Strago's Memory Crystal","老魔導士の知識","111060120","✓","✓"
"VI","Strago","","Blue Mage Defiance","15% chance to counter BLK or WHT attacks with an ability (NAT: random, 1.50 magical, causes Confuse (6%))","Chance to obtain with Strago in party","青魔導士の意地","111060121","✓","✓"
"VI","Strago","","Mystic Bloodlines","Increases Water damage dealt by 20%","Use Strago's Memory Crystal II, chance to obtain with Strago in party","魔導士の末裔","111060122","✓","✓"
"VI","Strago","","Reborn Zeal","Attack turns into an ability (BLK: group, 2.08 magical)","Bring Strago to level 99","蘇る魔導士の情熱","111060123","✓","✓"
"VI","Relm","","Granddaughter's Love","MND +10% when equipping a rod","Use Relm's Memory Crystal","孫の思いやり","111060130","✓","✓"
"VI","Relm","","Gifted Artist","100% chance to double Experience gained at the end of the battle","Use Relm's Memory Crystal II, chance to obtain with Relm in party","才能あふれる幼画家","111060131","✓","✓"
"VI","Relm","","Precocious Youth","MND +25% when equipping a robe","Bring Relm to level 99","口達者なお嬢ちゃん","111060132","✓","✓"
"VI","Gogo (VI)","","Defensive Instinct","10% chance to counter PHY attacks with an ability (NAT: self, grants [Protect])","Use Gogo (VI)'s Memory Crystal","オウム返し","111060140","✓","✓"
"VI","Gogo (VI)","","Mimic-Fashion","MND +20%, grants [Low Regen] at the beginning of the battle","Use Gogo (VI)'s Memory Crystal II, chance to obtain with Gogo (VI) in party","ものまね士の流儀","111060141","✓","✓"
"VI","Gogo (VI)","","Enigmatic Ally","DEF and RES +20% when equipping a helmet","Bring Gogo (VI) to level 99","謎に包まれし仲間","111060142","✓","✓"
"VI","Umaro","","Blizzard Berserker","Grants [Berserk] at the beginning of the battle","Use Umaro's Memory Crystal","吹雪の狂戦士","111060150","✓","✓"
"VI","Umaro","","Bone Carver","ATK +13% when equipping a hammer","Use Umaro's Memory Crystal II, chance to obtain with Umaro in party","洞窟の骨彫刻家","111060151","✓","✓"
"VI","Umaro","","Icy Jewel","16% chance to turn Attack into an ability (PHY: group, 2x 1.73 ranged physical Ice)","Bring Umaro to level 99","凍てつく宝玉の力","111060152","✓","✓"
"VI","Kefka","","Magic Madness","MAG +10%, DEF -10%","Use Kefka's Memory Crystal","狂気の魔導士","111060160","✓","✓"
"VI","Kefka","","Jester","MAG +10% when equipping an instrument","Use Kefka's Memory Crystal II, chance to obtain with Kefka in party","道化師","111060161","✓","✓"
"VI","Kefka","","God of Ruin","MAG +15% when equipping an instrument","Bring Kefka to level 99","ガレキの破壊神","111060162","✓","✓"
"VI","Leo","","Moment of Truth","ATK and DEF +10% for each KO'd or missing party member","Use Leo's Memory Crystal","最後の決闘","111060180","✓","✓"
"VI","Leo","","One Against Many","Attack turns into an ability (PHY: group, 1.00 physical) with 4.50 cast time","Use Leo's Memory Crystal II, chance to obtain with Leo in party","一騎当千","111060181","✓","✓"
"VI","Leo","","Knight Inviolate","DEF and RES +20% when equipping a heavy armor","Bring Leo to level 99","貫きし騎士道","111060182","✓","✓"
"VI","Ultros","","Without a Paddle!","PHY and BLK attacks deal ?% more damage when equipping a rod","Use Ultros's Memory Crystal","とおせんぼ！","111060780","",""
"VI","Ultros","","It's Me Again!","ATK+ ?%, MAG -?%","Use Ultros's Memory Crystal II, chance to obtain with Ultros in party","また出たよ","111060781","",""
"VI","Ultros","","Slow Learner","MAG +?%, ATK -?%","Bring Ultros to level 99","三度目の正直 だよ～ん","111060782","",""
"VII","Cloud","","SOLDIER Strike","PHY attacks deal 10% more damage when equipping a sword","Use Cloud's Memory Crystal","ソルジャーの一撃","111070010","✓","✓"
"VII","Cloud","","SOLDIER Counter","15% chance to counter PHY attacks with Attack","Chance to obtain with Cloud in party","ソルジャーの反撃","111070011","✓","✓"
"VII","Cloud","","Mako Might","Grants 500 Soul Break points at the beginning of the Dungeon","Use Cloud's Memory Crystal II, chance to obtain with Cloud in party","魔晄の力","111070012","✓","✓"
"VII","Cloud","","Truthseeker","PHY attacks deal 30% more damage when equipping a sword","Bring Cloud to level 99","取り戻す真実","111070013","✓","✓"
"VII","Barret","","Reload I","50% chance to restore 1 use for all Support abilities at the beginning of the battle","Use Barret's Memory Crystal","弾薬補給Ⅰ","111070020","✓","✓"
"VII","Barret","","Gun-Arm Master","PHY attacks deal 20% more damage when equipping a gun-arm","Use Barret's Memory Crystal II, chance to obtain with Barret in party","ギミックアームの使い手","111070021","✓","✓"
"VII","Barret","","Solemn Protector","PHY attacks deal 30% more damage when equipping a gun-arm","Bring Barret to level 99","真なる救星の誓い","111070022","✓","✓"
"VII","Tifa","","Pugilist's Lore","PHY attacks deal 10% more damage when equipping a fist weapon","Use Tifa's Memory Crystal","格闘の心得","111070030","✓","✓"
"VII","Tifa","","The Zangan Way","PHY attacks deal 20% more damage when equipping a fist weapon","Use Tifa's Memory Crystal II, chance to obtain with Tifa in party","ザンガン流格闘術","111070031","✓","✓"
