"Element","Img","Name","Realm","Rarity","HP","ATK","DEF","MAG","RES","MND","SPD","Passive 1","1","Passive 2","2","Passive 3","3","Passive 4","4","Passive 5","5","Passive 6","6","Passive 7","7","Passive 8","8","Passive 9","9","Passive 10","10","Passive 11","11","Passive 12","12","Ultra Skill Img","Magicite Ultra Skill","Type","Auto Target","Formula","Multiplier","Ultra Skill Element","Time","Effects","Counter","Ultra Skill Name (JP)","Cooldown","Duration","ID","✓"
"Prismatic","","Odin (Ultra Magic) (Earth)","-","","6023","267","260","305","260","260","186","Argent Sage's Blessing","15","Lord's Seal: Earth","15","[Lord's Seal: Fire Slot]","-","[Lord's Seal: Ice Slot]","-","[Lord's Seal: Wind Slot]","-","[Lord's Seal: Lightning Slot]","-","[Lord's Seal: Water Slot]","-","[Lord's Seal: Holy Slot]","-","[Lord's Seal: Dark Slot]","-","[Lord's Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Arcane Zantetsuken","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】斬鉄剣・魔","0.01","15.00","161000116",""
"Prismatic","","Odin (Ultra Magic) (Wind)","-","","6023","267","260","305","260","260","186","Argent Sage's Blessing","15","Lord's Seal: Wind","15","[Lord's Seal: Fire Slot]","-","[Lord's Seal: Ice Slot]","-","[Lord's Seal: Earth Slot]","-","[Lord's Seal: Lightning Slot]","-","[Lord's Seal: Water Slot]","-","[Lord's Seal: Holy Slot]","-","[Lord's Seal: Dark Slot]","-","[Lord's Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Arcane Zantetsuken","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】斬鉄剣・魔","0.01","15.00","161000117",""
"Prismatic","","Odin (Ultra Magic) (Water)","-","","6023","267","260","305","260","260","186","Argent Sage's Blessing","15","Lord's Seal: Water","15","[Lord's Seal: Fire Slot]","-","[Lord's Seal: Ice Slot]","-","[Lord's Seal: Wind Slot]","-","[Lord's Seal: Earth Slot]","-","[Lord's Seal: Lightning Slot]","-","[Lord's Seal: Holy Slot]","-","[Lord's Seal: Dark Slot]","-","[Lord's Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Arcane Zantetsuken","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】斬鉄剣・魔","0.01","15.00","161000118",""
"Prismatic","","Odin (Ultra Magic) (Holy)","-","","6023","267","260","305","260","260","186","Argent Sage's Blessing","15","Lord's Seal: Holy","15","[Lord's Seal: Fire Slot]","-","[Lord's Seal: Ice Slot]","-","[Lord's Seal: Wind Slot]","-","[Lord's Seal: Earth Slot]","-","[Lord's Seal: Lightning Slot]","-","[Lord's Seal: Water Slot]","-","[Lord's Seal: Dark Slot]","-","[Lord's Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Arcane Zantetsuken","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】斬鉄剣・魔","0.01","15.00","161000119",""
"Prismatic","","Odin (Ultra Magic) (Dark)","-","","6023","267","260","305","260","260","186","Argent Sage's Blessing","15","Lord's Seal: Dark","15","[Lord's Seal: Fire Slot]","-","[Lord's Seal: Ice Slot]","-","[Lord's Seal: Wind Slot]","-","[Lord's Seal: Earth Slot]","-","[Lord's Seal: Lightning Slot]","-","[Lord's Seal: Water Slot]","-","[Lord's Seal: Holy Slot]","-","[Lord's Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Arcane Zantetsuken","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】斬鉄剣・魔","0.01","15.00","161000120",""
"Prismatic","","Odin (Ultra Magic) (Poison)","-","","6023","267","260","305","260","260","186","Argent Sage's Blessing","15","Lord's Seal: Poison","15","[Lord's Seal: Fire Slot]","-","[Lord's Seal: Ice Slot]","-","[Lord's Seal: Wind Slot]","-","[Lord's Seal: Earth Slot]","-","[Lord's Seal: Lightning Slot]","-","[Lord's Seal: Water Slot]","-","[Lord's Seal: Holy Slot]","-","[Lord's Seal: Dark Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Arcane Zantetsuken","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】斬鉄剣・魔","0.01","15.00","161000153",""
"Prismatic","","Neo Bahamut (Ultra Attack) (Fire)","-","","6023","301","260","267","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Fire","15","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Physical","PHY","Lowest HP% enemy","Physical","3.70","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (3.70) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","15.00","161000190",""
"Prismatic","","Neo Bahamut (Ultra Attack) (Ice)","-","","6023","301","260","267","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Ice","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Physical","PHY","Lowest HP% enemy","Physical","3.70","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (3.70) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","15.00","161000191",""
"Prismatic","","Neo Bahamut (Ultra Attack) (Lightning)","-","","6023","301","260","267","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Lightning","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Physical","PHY","Lowest HP% enemy","Physical","3.70","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (3.70) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","15.00","161000192",""
"Prismatic","","Neo Bahamut (Ultra Attack) (Earth)","-","","6023","301","260","267","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Earth","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Physical","PHY","Lowest HP% enemy","Physical","3.70","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (3.70) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","15.00","161000193",""
"Prismatic","","Neo Bahamut (Ultra Attack) (Wind)","-","","6023","301","260","267","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Wind","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Physical","PHY","Lowest HP% enemy","Physical","3.70","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (3.70) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","15.00","161000194",""
"Prismatic","","Neo Bahamut (Ultra Attack) (Water)","-","","6023","301","260","267","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Water","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Physical","PHY","Lowest HP% enemy","Physical","3.70","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (3.70) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","15.00","161000195",""
"Prismatic","","Neo Bahamut (Ultra Attack) (Holy)","-","","6023","301","260","267","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Holy","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Physical","PHY","Lowest HP% enemy","Physical","3.70","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (3.70) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","15.00","161000196",""
"Prismatic","","Neo Bahamut (Ultra Attack) (Dark)","-","","6023","301","260","267","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Dark","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Physical","PHY","Lowest HP% enemy","Physical","3.70","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (3.70) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","15.00","161000197",""
"Prismatic","","Neo Bahamut (Ultra Attack) (Poison)","-","","6023","301","260","267","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Poison","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Physical","PHY","Lowest HP% enemy","Physical","3.70","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (3.70) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","15.00","161000198",""
"Prismatic","","Neo Bahamut (Ultra Magic) (Fire)","-","","6023","267","260","305","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Fire","15","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Magic","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】ギガフレア・魔","0.01","15.00","161000199","✓"
"Prismatic","","Neo Bahamut (Ultra Magic) (Ice)","-","","6023","267","260","305","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Ice","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Magic","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】ギガフレア・魔","0.01","15.00","161000200",""
"Prismatic","","Neo Bahamut (Ultra Magic) (Lightning)","-","","6023","267","260","305","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Lightning","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Magic","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】ギガフレア・魔","0.01","15.00","161000201",""
"Prismatic","","Neo Bahamut (Ultra Magic) (Earth)","-","","6023","267","260","305","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Earth","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Magic","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】ギガフレア・魔","0.01","15.00","161000202",""
"Prismatic","","Neo Bahamut (Ultra Magic) (Wind)","-","","6023","267","260","305","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Wind","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Magic","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】ギガフレア・魔","0.01","15.00","161000203",""
"Prismatic","","Neo Bahamut (Ultra Magic) (Water)","-","","6023","267","260","305","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Water","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Magic","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】ギガフレア・魔","0.01","15.00","161000204",""
"Prismatic","","Neo Bahamut (Ultra Magic) (Holy)","-","","6023","267","260","305","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Holy","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Magic","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】ギガフレア・魔","0.01","15.00","161000205",""
"Prismatic","","Neo Bahamut (Ultra Magic) (Dark)","-","","6023","267","260","305","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Dark","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Magic","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】ギガフレア・魔","0.01","15.00","161000206",""
"Prismatic","","Neo Bahamut (Ultra Magic) (Poison)","-","","6023","267","260","305","260","260","186","Red Wyrm Diversion","15","Red Wyrm Seal: Poison","15","[Red Wyrm Seal: Fire Slot]","-","[Red Wyrm Seal: Ice Slot]","-","[Red Wyrm Seal: Wind Slot]","-","[Red Wyrm Seal: Earth Slot]","-","[Red Wyrm Seal: Lightning Slot]","-","[Red Wyrm Seal: Water Slot]","-","[Red Wyrm Seal: Holy Slot]","-","[Red Wyrm Seal: Dark Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Gigaflare Magic","BLK","Lowest HP% enemy","Magical","11.00","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single attack (11.00) capped at 99999, ignores RES","N","【契】ギガフレア・魔","0.01","15.00","161000207",""
"Prismatic","","Bahamut ZERO (Ultra Attack) (Fire)","-","","6144","308","268","269","268","268","336","Gaia Wyrm Diversion","15","ZERO Seal: Fire","15","[ZERO Seal: Ice Slot]","-","[ZERO Seal: Wind Slot]","-","[ZERO Seal: Earth Slot]","-","[ZERO Seal: Lightning Slot]","-","[ZERO Seal: Water Slot]","-","[ZERO Seal: Holy Slot]","-","[ZERO Seal: Dark Slot]","-","[ZERO Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Teraflare Physical","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 59999, ignores DEF, followed by one single attack (?) capped at 79999, ignores DEF, followed by one single attack (?) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","8.00","161000172",""
"Prismatic","","Bahamut ZERO (Ultra Attack) (Ice)","-","","6144","308","268","269","268","268","336","Gaia Wyrm Diversion","15","ZERO Seal: Ice","15","[ZERO Seal: Fire Slot]","-","[ZERO Seal: Wind Slot]","-","[ZERO Seal: Earth Slot]","-","[ZERO Seal: Lightning Slot]","-","[ZERO Seal: Water Slot]","-","[ZERO Seal: Holy Slot]","-","[ZERO Seal: Dark Slot]","-","[ZERO Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Teraflare Physical","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 59999, ignores DEF, followed by one single attack (?) capped at 79999, ignores DEF, followed by one single attack (?) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","8.00","161000173",""
"Prismatic","","Bahamut ZERO (Ultra Attack) (Lightning)","-","","6144","308","268","269","268","268","336","Gaia Wyrm Diversion","15","ZERO Seal: Lightning","15","[ZERO Seal: Fire Slot]","-","[ZERO Seal: Ice Slot]","-","[ZERO Seal: Wind Slot]","-","[ZERO Seal: Earth Slot]","-","[ZERO Seal: Water Slot]","-","[ZERO Seal: Holy Slot]","-","[ZERO Seal: Dark Slot]","-","[ZERO Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Teraflare Physical","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 59999, ignores DEF, followed by one single attack (?) capped at 79999, ignores DEF, followed by one single attack (?) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","8.00","161000174",""
"Prismatic","","Bahamut ZERO (Ultra Attack) (Earth)","-","","6144","308","268","269","268","268","336","Gaia Wyrm Diversion","15","ZERO Seal: Earth","15","[ZERO Seal: Fire Slot]","-","[ZERO Seal: Ice Slot]","-","[ZERO Seal: Wind Slot]","-","[ZERO Seal: Lightning Slot]","-","[ZERO Seal: Water Slot]","-","[ZERO Seal: Holy Slot]","-","[ZERO Seal: Dark Slot]","-","[ZERO Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Teraflare Physical","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 59999, ignores DEF, followed by one single attack (?) capped at 79999, ignores DEF, followed by one single attack (?) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","8.00","161000175",""
"Prismatic","","Bahamut ZERO (Ultra Attack) (Wind)","-","","6144","308","268","269","268","268","336","Gaia Wyrm Diversion","15","ZERO Seal: Wind","15","[ZERO Seal: Fire Slot]","-","[ZERO Seal: Ice Slot]","-","[ZERO Seal: Earth Slot]","-","[ZERO Seal: Lightning Slot]","-","[ZERO Seal: Water Slot]","-","[ZERO Seal: Holy Slot]","-","[ZERO Seal: Dark Slot]","-","[ZERO Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Teraflare Physical","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 59999, ignores DEF, followed by one single attack (?) capped at 79999, ignores DEF, followed by one single attack (?) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","8.00","161000176",""
"Prismatic","","Bahamut ZERO (Ultra Attack) (Water)","-","","6144","308","268","269","268","268","336","Gaia Wyrm Diversion","15","ZERO Seal: Water","15","[ZERO Seal: Fire Slot]","-","[ZERO Seal: Ice Slot]","-","[ZERO Seal: Wind Slot]","-","[ZERO Seal: Earth Slot]","-","[ZERO Seal: Lightning Slot]","-","[ZERO Seal: Holy Slot]","-","[ZERO Seal: Dark Slot]","-","[ZERO Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Teraflare Physical","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 59999, ignores DEF, followed by one single attack (?) capped at 79999, ignores DEF, followed by one single attack (?) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","8.00","161000177",""
"Prismatic","","Bahamut ZERO (Ultra Attack) (Holy)","-","","6144","308","268","269","268","268","336","Gaia Wyrm Diversion","15","ZERO Seal: Holy","15","[ZERO Seal: Fire Slot]","-","[ZERO Seal: Ice Slot]","-","[ZERO Seal: Wind Slot]","-","[ZERO Seal: Earth Slot]","-","[ZERO Seal: Lightning Slot]","-","[ZERO Seal: Water Slot]","-","[ZERO Seal: Dark Slot]","-","[ZERO Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Teraflare Physical","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 59999, ignores DEF, followed by one single attack (?) capped at 79999, ignores DEF, followed by one single attack (?) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","8.00","161000178",""
"Prismatic","","Bahamut ZERO (Ultra Attack) (Dark)","-","","6144","308","268","269","268","268","336","Gaia Wyrm Diversion","15","ZERO Seal: Dark","15","[ZERO Seal: Fire Slot]","-","[ZERO Seal: Ice Slot]","-","[ZERO Seal: Wind Slot]","-","[ZERO Seal: Earth Slot]","-","[ZERO Seal: Lightning Slot]","-","[ZERO Seal: Water Slot]","-","[ZERO Seal: Holy Slot]","-","[ZERO Seal: Poison Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Teraflare Physical","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 59999, ignores DEF, followed by one single attack (?) capped at 79999, ignores DEF, followed by one single attack (?) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","8.00","161000179",""
"Prismatic","","Bahamut ZERO (Ultra Attack) (Poison)","-","","6144","308","268","269","268","268","336","Gaia Wyrm Diversion","15","ZERO Seal: Poison","15","[ZERO Seal: Fire Slot]","-","[ZERO Seal: Ice Slot]","-","[ZERO Seal: Wind Slot]","-","[ZERO Seal: Earth Slot]","-","[ZERO Seal: Lightning Slot]","-","[ZERO Seal: Water Slot]","-","[ZERO Seal: Holy Slot]","-","[ZERO Seal: Dark Slot]","-","[Inheritance Slot]","-","[Inheritance Slot]","-","","Ultra Teraflare Physical","PHY","Lowest HP% enemy","Physical","","Fire, Ice, Lightning, Earth, Wind, Water, Holy, Dark, Poison","0.01","One single ranged attack (?) capped at 59999, ignores DEF, followed by one single attack (?) capped at 79999, ignores DEF, followed by one single attack (?) capped at 99999, ignores DEF","N","【契】ギガフレア・攻","0.01","8.00","161000180",""
