"Character","Realm","Season","Group","Name","Type","Synergy","Combine","Rarity","Level","ATK","DEF","MAG","RES","MND","ACC","EVA","Fixed Passive Effects","Random Passive Effects","Brar","Blv","Batk","Bdef","Bmag","Bres","Bmnd","Bacc","Beva","Mrar","Mlv","Matk","Mdef","Mmag","Mres","Mmnd","Macc","Meva","ID","GL"
"Xezat","V","1","C","Xezat's Blade","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Ice/Earth/Wind +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302298","✓"
"Xezat","V","1","C","Xezat's Cloak","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Ice/Earth/Wind Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353305","✓"
"Xezat","V","1","C","Whisperweed","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380346","✓"
"Exdeath","V","3","I","Moore Blade","Sword","","","S","50","0","0","258","0","258","95","0","Hand of Vengeance 5
Prismatic damage +20%","Holy/Dark +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","165","95","","S","99","","","350","","350","95","","21302495","✓"
"Exdeath","V","3","I","Exdeath's Visage","Helm","","","S","50","0","126","39","115","39","0","105","Empower Healing 5%
Prismatic damage +20%","Holy/Dark Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","57","26","57","26","","105","S","99","","195","52","173","52","","105","22352038","✓"
"Exdeath","V","3","I","Chaos Orb","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380536","✓"
"Gilgamesh","V","4","N","Excalipoor","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302066","✓"
"Gilgamesh","V","4","N","Gilgamesh's Guise","Heavy Armor","","","S","50","49","155","0","125","0","0","105","Precise Strike 5
Prismatic damage +20%","Fire Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","76","","95","","","105","S","99","62","233","","155","","","105","22354092","✓"
"Gilgamesh","V","4","N","Cowl of Gilgamesh","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380212","✓"
"Gogo (V)","V","5","2","Gogo's Rod","Rod","","","S","50","0","0","258","0","129","95","0","Hand of Vengeance 5
Prismatic damage +20%","Water +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","83","95","","S","99","","","350","","175","95","","21308143",""
"Gogo (V)","V","5","2","Gogo's Hat","Hat","","","S","50","0","101","60","143","0","0","105","Empower Healing 5%
Prismatic damage +20%","Water Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","61","49","76","","","105","S","99","","140","70","210","","","105","22351097",""
"Gogo (V)","V","5","2","Gogo's Bracelet","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380319",""
"Lenna","V","5","2","Healing Rod","Staff","","","S","50","0","0","129","0","258","95","0","Empower Healing 5%
Prismatic damage +20%","WHT Heals +1/2/3/4/5%
Quick Cast 3/4/5%
Grants [MND +10% (8s)]/[MND +20% (8s)]/[MND +30% (8s)] at the beginning of the battle","S","50","","","83","","165","95","","S","99","","","175","","350","95","","21309014",""
"Lenna","V","5","2","Lenna's Dress","Light Armor","","","S","50","0","122","0","122","49","0","100","Max HP +5%
Prismatic damage +20%","White Magic +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","","50","36","","100","S","99","","194","","194","62","","100","22353158",""
"Lenna","V","5","2","Lenna's Hair Ornament","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380318",""
"Galuf","V","5","2","Thor's Hammer","Hammer","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Earth +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21305006",""
"Galuf","V","5","2","Galuf's Guise","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Earth Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353365",""
"Galuf","V","5","2","Galuf's Belt","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380495",""
"Faris","V","5","2","Fairy Bow","Bow","","","S","50","253","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire/Wind +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","160","","","","","95","","S","99","346","","","","","95","","21310039",""
"Faris","V","5","2","Faris's Guise","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Fire/Wind Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353388",""
"Faris","V","5","2","Faris's Earring","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380535",""
"Krile","V","5","2","Dragon Whisker","Whip","","","S","50","0","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Fire/Earth +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","","95","","S","99","","","350","","","95","","21302203",""
"Krile","V","5","2","Krile's Dress","Light Armor","","","S","50","0","122","49","122","0","0","100","Empower Healing 5%
Prismatic damage +20%","Fire/Earth Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","36","50","","","100","S","99","","194","62","194","","","100","22356217",""
"Krile","V","5","2","Krile's Hair Ornament","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380571",""
"Dorgann","V","5","2","Dorgann's Sword","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Earth +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21312027",""
"Dorgann","V","5","2","Dorgann's Armguard","Bracer","","","S","50","70","117","0","100","0","0","105","Precise Strike 5
Prismatic damage +20%","Earth Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","61","79","","45","","","105","S","99","79","155","","155","","","105","22353219",""
"Dorgann","V","5","2","Dorgann's Boots","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380265",""
"Kelger","V","5","4","Kelger's Sword","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Earth +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302297",""
"Kelger","V","5","4","Kelger's Guise","Heavy Armor","","","S","50","49","165","0","115","0","0","105","Precise Strike 5
Prismatic damage +20%","Earth Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","96","","75","","","105","S","99","62","233","","155","","","105","22354091",""
"Kelger","V","5","4","Kelger's Head Ornament","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380572",""
"Gau","VI","1","B","Gauntlet","Fist","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Wind/Lightning +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21307061","✓"
"Gau","VI","1","B","Gau's Guise","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Wind/Lightning Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353346","✓"
"Gau","VI","1","B","Initiate's Seal","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380442","✓"
"Umaro","VI","1","C","Bone Club","Hammer","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Ice +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21305014","✓"
"Umaro","VI","1","C","Snow Scarf","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Ice Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353201","✓"
"Umaro","VI","1","C","Berserker Ring","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380379","✓"
"Locke","VI","2","E","Thief's Knife","Dagger","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21301083","✓"
"Locke","VI","2","E","Locke's Jacket","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Fire Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353116","✓"
"Locke","VI","2","E","Locke's Bandana","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380236","✓"
"Cyan","VI","2","E","Zanmato","Katana","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21303102","✓"
"Cyan","VI","2","E","Cyan's Bracer","Bracer","","","S","50","70","117","0","100","0","0","105","Precise Strike 5
Prismatic damage +20%","Fire Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","61","79","","45","","","105","S","99","79","155","","155","","","105","22356131","✓"
"Cyan","VI","2","E","Cyan's Hairband","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380528","✓"
"Relm","VI","2","G","Angel Brush","Rod","","","S","50","0","0","129","0","258","95","0","Empower Healing 5%
Prismatic damage +20%","WHT Heals +1/2/3/4/5%
Quick Cast 3/4/5%
Grants [MND +10% (8s)]/[MND +20% (8s)]/[MND +30% (8s)] at the beginning of the battle","S","50","","","83","","165","95","","S","99","","","175","","350","95","","21308158","✓"
"Relm","VI","2","G","Relm's Hat","Hat","","","S","50","0","101","0","143","62","0","105","Max HP +5%
Prismatic damage +20%","White Magic +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","61","","76","49","","105","S","99","","140","","210","75","","105","22351067","✓"
"Relm","VI","2","G","Memento Ring","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380182","✓"
"Leo","VI","2","H","Imperial Highblade","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Earth/Holy +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302193","✓"
"Leo","VI","2","H","Leo's Longcoat","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Earth/Holy Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353123","✓"
"Leo","VI","2","H","Muscle Belt","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380033","✓"
"Setzer","VI","3","I","Death Tarot","Thrown","","","S","50","253","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Dark +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","160","","","","","95","","S","99","346","","","","","95","","21313044","✓"
"Setzer","VI","3","I","Setzer's Long Coat","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Dark Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353174","✓"
"Setzer","VI","3","I","Heiji's Jitte","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380566","✓"
"Edgar","VI","3","K","Chainsaw","Spear","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire/Lightning/Poison +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21306059","✓"
"Edgar","VI","3","K","Edgar's Guise","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Fire/Lightning/Poison Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353250","✓"
"Edgar","VI","3","K","Sniper Eye","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380016","✓"
"Strago","VI","3","L","Stardust Rod","Rod","","","S","50","0","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Wind/Water +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","","95","","S","99","","","350","","","95","","21308039","✓"
"Strago","VI","3","L","Strago's Cloak","Light Armor","","","S","50","0","122","49","122","0","0","100","Empower Healing 5%
Prismatic damage +20%","Wind/Water Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","36","50","","","100","S","99","","194","62","194","","","100","22353175","✓"
"Strago","VI","3","L","Soul of Thamasa","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380445","✓"
"Terra","VI","4","N","Enhancer","Sword","","","S","50","0","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Fire/Wind +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","","95","","S","99","","","350","","","95","","21302039","✓"
"Terra","VI","4","N","Terra's Cloak","Light Armor","","","S","50","0","122","49","122","0","0","100","Empower Healing 5%
Prismatic damage +20%","Fire/Wind Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","36","50","","","100","S","99","","194","62","194","","","100","22353115","✓"
"Terra","VI","4","N","Terra's Pendant","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380145","✓"
"Kefka","VI","4","O","Dancing Mad","Instrument","","","S","50","0","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Dark/Poison +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","","","165","","","95","","S","99","","","350","","","95","","21311019","✓"
"Kefka","VI","4","O","Kefka's Cloak","Light Armor","","","S","50","0","122","49","122","0","0","100","Empower Healing 5%
Prismatic damage +20%","Dark/Poison Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [RES +10% (8s)]/[RES +20% (8s)]/[RES +30% (8s)] at the beginning of the battle","S","50","","50","36","50","","","100","S","99","","194","62","194","","","100","22353069","✓"
"Kefka","VI","4","O","Kefka's Plume","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380292","✓"
"Celes","VI","4","Q","Celes's Sword","Sword","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Ice/Holy +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21302440","✓"
"Celes","VI","4","Q","Celes's Guise","Light Armor","","","S","50","49","122","0","122","0","0","100","Precise Strike 5
Prismatic damage +20%","Ice/Holy Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","50","","50","","","100","S","99","62","194","","194","","","100","22353332","✓"
"Celes","VI","4","Q","Celes's Pendant","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380293","✓"
"Shadow","VI","5","5","Shadow Blade","Dagger","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Dark +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21301047",""
"Shadow","VI","5","5","Black Hood","Hat","","","S","50","49","101","0","143","0","0","105","Precise Strike 5
Prismatic damage +20%","Dark Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","36","61","","76","","","105","S","99","62","140","","210","","","105","22351105",""
"Shadow","VI","5","5","Japamala","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380098",""
"Sabin","VI","5","5","God Hand","Fist","","","S","50","266","0","0","0","0","95","0","Deadly Strikes 5
Prismatic damage +20%","Fire +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [ATK +10% (8s)]/[ATK +20% (8s)]/[ATK +30% (8s)] at the beginning of the battle","S","50","172","","","","","95","","S","99","360","","","","","95","","21307055",""
"Sabin","VI","5","5","Sabin's Wristband","Bracer","","","S","50","70","117","0","100","0","0","105","Precise Strike 5
Prismatic damage +20%","Fire Ability +1/2/3/4/5% Boost
Grants [20% Damage Reduction Barrier 1 Follow-Up]/[30% Damage Reduction Barrier 1 Follow-Up]/[40% Damage Reduction Barrier 1 Follow-Up] at the beginning of the battle
Grants [DEF +10% (8s)]/[DEF +20% (8s)]/[DEF +30% (8s)] at the beginning of the battle","S","50","61","79","","45","","","105","S","99","79","155","","155","","","105","22356109",""
"Sabin","VI","5","5","Sabin's Earring","Accessory","","","S","1","0","0","0","0","0","0","0","HP +500
Prismatic resistance (moderate)","Quick Cast 4/5/6/7/8%","S","1","","","","","","","","S","1","","","","","","","","23380505",""
"Gogo (VI)","VI","5","5","Gogo's Falchion","Sword","","","S","50","258","0","258","0","0","95","0","Hand of Vengeance 5
Prismatic damage +20%","Fire/Ice/Wind/Earth +1/2/3/4/5% Boost
Quick Cast 3/4/5%
Grants [MAG +10% (8s)]/[MAG +20% (8s)]/[MAG +30% (8s)] at the beginning of the battle","S","50","165","","165","","","95","","S","99","350","","350","","","95","","21302377",""
