Realm,Character,Img,Sphere,S. Lv 1,S. Lv 2,S. Lv 3,S. Lv 4,S. Lv 5,Requisites,Mote 1 Required,,,,,,Mote 2 Required,,,,,,Mote 3 Required,,,,,,Mote 4 Required,,,,,
IV,Rubicante,,Sage,MND +3,MAG +3,MAG +6,MAG +6,Silence Imm. (minor),"Black Mage, White Mage",Spirit (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
IV,Rubicante,,Devout,MND +3,HP +100,RES +3,DEF +6,RES +6,"White Mage, Red Mage",Spirit (4★),4,7,10,13,16,Wisdom (4★),1,3,5,7,9,,,,,,,,,,,,
IV,Ursula,,Monk,DEF +1,DEF +1,ATK +2,HP +80,Monk dam. +3%,-,Dexterity (3★),1,2,3,4,5,Vitality (3★),2,4,6,8,10,Bravery (3★),2,4,6,8,10,,,,,,
IV,Ursula,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
IV,Ursula,,Ranger,ATK +1,DEF +1,DEF +1,HP +60,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Bravery (3★),2,4,6,8,10,,,,,,
IV,Ursula,,Master,DEF +3,HP +60,ATK +5,HP +180,Monk dam. +6%,Monk,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
IV,Ursula,,Gladiator,ATK +3,DEF +3,HP +200,ATK +4,ATK +5,"Monk, Warrior",Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
IV,Ursula,,Ninja,ATK +3,ATK +3,DEF +4,DEF +5,ATK +6,"Warrior, Ranger",Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Wisdom (4★),1,2,3,4,5,,,,,,
IV,Ursula,,Lifebane,Monk 5★ -> 6★,Lifebane x1,Monk dam. +3%,-,-,Monk (5★) x1,Monk (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
IV,Barbariccia,,Red Mage,MAG +1,RES +1,DEF +1,HP +60,MAG +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
IV,Barbariccia,,Black Mage,MAG +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
IV,Barbariccia,,Ranger,MAG +1,DEF +1,RES +1,HP +60,MAG +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Bravery (3★),2,4,6,8,10,,,,,,
IV,Barbariccia,,Time Mage,MAG +2,RES +2,HP +120,RES +5,MAG +6,Red Mage,Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
IV,Barbariccia,,Magus,MAG +3,HP +100,RES +3,MAG +6,BLK dam. +6%,"Red Mage, Black Mage, Ranger",Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
IV,Barbariccia,,Blue Mage,MAG +2,Wind dam. +3%,RES +3,HP +120,Wind dam. +6%,Ranger,Spirit (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
V,Lenna,,Bard,RES +1,MND +1,RES +1,HP +55,MND +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Wisdom (3★),1,2,3,4,5,,,,,,
V,Lenna,,White Mage,MND +1,HP +40,RES +1,MND +2,WHT heals +3%,-,Spirit (3★),4,7,10,13,16,Wisdom (3★),1,3,5,7,9,,,,,,,,,,,,
V,Lenna,,Dancer,MND +1,RES +1,MND +1,HP +55,RES +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,,,,,,
V,Lenna,,Geomancer,MND +3,HP +100,RES +3,MND +6,Silence Imm. (minor),"Bard, White Mage",Spirit (4★),1,2,3,4,5,Dexterity (4★),2,4,6,8,10,Wisdom (4★),2,4,6,8,10,,,,,,
V,Lenna,,Devout,MND +3,HP +100,RES +3,MND +6,WHT heals +6%,White Mage,Spirit (4★),4,7,10,13,16,Wisdom (4★),1,3,5,7,9,,,,,,,,,,,,
V,Lenna,,Illusionist,MND +3,RES +3,HP +130,RES +6,Sleep Imm. (minor),"White Mage, Dancer",Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
V,Galuf,,Monk,DEF +1,RES +1,ATK +1,ATK +2,HP +80,-,Dexterity (3★),1,2,3,4,5,Vitality (3★),2,4,6,8,10,Bravery (3★),2,4,6,8,10,,,,,,
V,Galuf,,Thief,RES +1,DEF +1,ATK +1,HP +55,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
V,Galuf,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
V,Galuf,,Master,DEF +3,HP +200,ATK +5,Monk dam. +6%,Paralyze Imm. (minor),Monk,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Galuf,,Berserker,ATK +2,ATK +2,ATK +3,ATK +5,Enable Axe,"Monk, Thief",Vitality (4★),5,10,15,20,25,,,,,,,,,,,,,,,,,,
V,Galuf,,Gladiator,ATK +3,DEF +3,HP +200,ATK +6,Enable Sword,Warrior,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Galuf,,Lifebane,Monk 5★ -> 6★,Lifebane x1,Monk dam. +3%,-,-,Monk (5★) x1,Monk (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
V,Gogo (V),,Black Mage,MAG +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
V,Gogo (V),,White Mage,MND +1,HP +40,RES +1,MND +2,WHT heals +3%,-,Spirit (3★),4,7,10,13,16,Wisdom (3★),1,3,5,7,9,,,,,,,,,,,,
V,Gogo (V),,Bard,MAG +1,MND +1,MAG +1,MND +1,MAG +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Wisdom (3★),1,2,3,4,5,,,,,,
V,Gogo (V),,Magus,MAG +3,HP +100,RES +3,MAG +6,BLK dam. +6%,Black Mage,Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
V,Gogo (V),,Sage,MND +3,MAG +3,MND +6,MAG +6,Silence Imm. (minor),"Black Mage, White Mage",Spirit (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
V,Gogo (V),,Devout,MND +3,HP +100,RES +3,MND +6,WHT heals +6%,"White Mage, Bard",Spirit (4★),4,7,10,13,16,Wisdom (4★),1,3,5,7,9,,,,,,,,,,,,
V,Gogo (V),,Allegro con Moto,Bard 5★ -> 6★,Allegro con Moto x1,Rod BLK dam. +3%,-,-,Bard (5★) x1,Bard (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
V,Gilgamesh,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
V,Gilgamesh,,Knight,DEF +1,ATK +1,HP +100,DEF +1,ATK +2,-,Vitality (3★),3,6,9,12,15,Bravery (3★),2,4,6,8,10,,,,,,,,,,,,
V,Gilgamesh,,Red Mage,ATK +1,DEF +1,ATK +1,HP +60,ATK +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
V,Gilgamesh,,Paladin,ATK +3,DEF +3,ATK +4,HP +250,Knight dam. +6%,Warrior,Spirit (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Gilgamesh,,Samurai,ATK +3,ATK +4,HP +170,ATK +6,Samurai dam. +6%,"Warrior, Knight",Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Bravery (4★),1,2,3,4,5,,,,,,
V,Gilgamesh,,Dragoon,DEF +3,ATK +4,HP +220,DEF +5,Dragoon 4★ -> 5★,"Knight, Red Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Bravery (4★),1,2,3,4,5,,,,,,
V,Gilgamesh,,Demonsblood,Samurai 5★ -> 6★,Demonsblood x1,Samurai dam. +3%,-,-,Samurai (5★) x1,Samurai (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
V,Gilgamesh,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
V,Bartz,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
V,Bartz,,Red Mage,ATK +1,DEF +1,RES +1,HP +60,ATK +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
V,Bartz,,Knight,DEF +1,ATK +1,HP +100,DEF +1,DEF +2,-,Vitality (3★),3,6,9,12,15,Bravery (3★),2,4,6,8,10,,,,,,,,,,,,
V,Bartz,,Gladiator,ATK +3,DEF +3,HP +200,ATK +4,ATK +5,Warrior,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Bartz,,Spellblade,ATK +3,ATK +3,HP +170,ATK +6,Spellblade dam. +6%,"Warrior, Red Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
V,Bartz,,Paladin,DEF +3,ATK +3,DEF +4,HP +250,Enable Knight 3★,Knight,Spirit (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Bartz,,Snowspell Strike,Spellblade 5★ -> 6★,Snowspell Strike x1,Spellblade dam. +3%,-,-,Spellblade (5★) x1,Spellblade (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
V,Faris,,Thief,ATK +1,DEF +1,ATK +1,HP +55,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
V,Faris,,Ranger,ATK +1,DEF +1,ATK +1,HP +60,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Bravery (3★),2,4,6,8,10,,,,,,
V,Faris,,Dancer,ATK +1,RES +1,ATK +1,HP +55,ATK +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,,,,,,
V,Faris,,Gladiator,ATK +3,DEF +3,HP +200,ATK +5,Bow dam. +3%,"Thief, Ranger",Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Faris,,Cannoneer,ATK +3,DEF +3,HP +150,ATK +6,Enable Machinist 4★,Ranger,Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Bravery (4★),2,4,6,8,10,,,,,,
V,Faris,,Beastmaster,RES +3,ATK +3,HP +150,ATK +6,Dancer 4★ -> 5★,"Ranger, Dancer",Dexterity (4★),3,6,9,12,15,Vitality (4★),1,2,3,4,5,Wisdom (4★),1,2,3,4,5,,,,,,
V,Faris,,Mug Bloodlust,Thief 5★ -> 6★,Mug Bloodlust x1,Thief dam. +3%,-,-,Thief (5★) x1,Thief (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
V,Dorgann,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
V,Dorgann,,Knight,DEF +1,ATK +1,HP +100,DEF +1,Knight dam. +3%,-,Vitality (3★),3,6,9,12,15,Bravery (3★),2,4,6,8,10,,,,,,,,,,,,
V,Dorgann,,Red Mage,ATK +1,DEF +1,ATK +1,HP +60,DEF +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
V,Dorgann,,Gladiator,ATK +3,DEF +3,HP +200,ATK +4,Sword dam. +3%,Warrior,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Dorgann,,Paladin,DEF +3,ATK +3,DEF +4,HP +250,Knight dam. +6%,"Warrior, Knight",Spirit (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Dorgann,,Spellblade,ATK +3,DEF +3,HP +170,ATK +5,ATK +6,"Knight, Red Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
V,Dorgann,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
V,Exdeath,,Black Mage,MAG +1,HP +40,MAG +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
V,Exdeath,,Red Mage,MAG +1,RES +1,MAG +1,HP +60,MAG +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
V,Exdeath,,White Mage,RES +1,HP +40,MND +1,RES +1,MND +2,-,Spirit (3★),4,7,10,13,16,Wisdom (3★),1,3,5,7,9,,,,,,,,,,,,
V,Exdeath,,Magus,MAG +3,HP +100,MAG +3,MAG +6,BLK dam. +6%,"Black Mage, Red Mage",Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
V,Exdeath,,Warmage,MND +3,HP +140,MAG +3,MAG +6,Darkness dam. +6%,"Red Mage, White Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
V,Exdeath,,Spellblade,MND +3,HP +120,MAG +3,MND +6,Dark dam. +3%,White Mage,Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
V,Krile,,Black Mage,MAG +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
V,Krile,,Red Mage,RES +1,MAG +1,RES +1,HP +60,MAG +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
V,Krile,,Ranger,MAG +1,RES +1,MAG +1,HP +60,MAG +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Bravery (3★),2,4,6,8,10,,,,,,
V,Krile,,Magus,MAG +3,HP +100,RES +3,MAG +6,BLK dam. +6%,Black Mage,Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
V,Krile,,Summoner,SUM dam. +3%,MAG +3,HP +120,MAG +5,SUM dam. +6%,"Black Mage, Red Mage",Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
V,Krile,,Bard,MAG +3,RES +3,HP +120,Enable Instrument,Enable Bard 4★,"Red Mage, Ranger",Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Wisdom (3★),1,2,3,4,5,,,,,,
V,Xezat,,Knight,ATK +1,ATK +1,DEF +1,ATK +2,DEF +2,-,Vitality (3★),3,6,9,12,15,Bravery (3★),2,4,6,8,10,,,,,,,,,,,,
V,Xezat,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
V,Xezat,,Black Mage,DEF +1,HP +40,DEF +1,ATK +1,ATK +2,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
V,Xezat,,Gladiator,ATK +3,DEF +3,HP +200,ATK +4,Sword dam. +3%,Knight,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Xezat,,Paladin,DEF +3,ATK +3,DEF +4,HP +250,ATK +5,"Knight, Warrior",Spirit (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Xezat,,Spellblade,Spellblade dam. +3%,DEF +3,HP +200,ATK +6,Spellblade dam. +6%,"Warrior, Black Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
V,Xezat,,Snowspell Strike,Spellblade 5★ -> 6★,Snowspell Strike x1,Spellblade dam. +3%,-,-,Spellblade (5★) x1,Spellblade (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
V,Kelger,,Ranger,ATK +1,ATK +1,DEF +1,HP +60,MAG +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Bravery (3★),2,4,6,8,10,,,,,,
V,Kelger,,Thief,ATK +1,DEF +1,ATK +1,HP +55,DEF +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
V,Kelger,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
V,Kelger,,Ninja,Ninja dam. +3%,ATK +4,HP +160,MAG +5,Ninja dam. +6%,"Ranger, Thief",Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Wisdom (4★),1,2,3,4,5,,,,,,
V,Kelger,,Samurai,ATK +3,ATK +4,HP +170,ATK +6,Sword dam. +3%,"Thief, Warrior",Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Bravery (4★),1,2,3,4,5,,,,,,
V,Kelger,,Gladiator,ATK +3,ATK +3,HP +200,ATK +4,ATK +5,Warrior,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
V,Kelger,,Stitch in Time,Ninja 5★ -> 6★,Stitch in Time x1,Ninja dam. +3%,-,-,Ninja (5★) x1,Ninja (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
VI,Terra,,Warrior,ATK +1,HP +70,DEF +1,DEF +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
VI,Terra,,Black Mage,MAG +1,HP +40,RES +1,MAG +2,BLK dam. +3%,-,Spirit (3★),1,3,5,7,9,Wisdom (3★),4,7,10,13,16,,,,,,,,,,,,
VI,Terra,,Red Mage,MAG +1,RES +1,MAG +1,HP +60,MAG +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
VI,Terra,,Spellblade,RES +3,MAG +3,HP +170,MAG +4,Fire dam. +3%,"Warrior, Black Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
VI,Terra,,Magus,MAG +3,HP +100,RES +3,MAG +6,BLK dam. +6%,"Warrior, Black Mage",Spirit (4★),1,3,5,7,9,Wisdom (4★),4,7,10,13,16,,,,,,,,,,,,
VI,Terra,,Summoner,SUM dam. +3%,MAG +3,HP +120,MAG +6,SUM dam. +6%,"Black Mage, Red Mage",Spirit (4★),2,4,6,8,10,Dexterity (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
VI,Locke,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
VI,Locke,,Knight,DEF +1,ATK +1,HP +100,DEF +1,DEF +2,-,Vitality (3★),3,6,9,12,15,Bravery (3★),2,4,6,8,10,,,,,,,,,,,,
VI,Locke,,Thief,RES +1,DEF +1,ATK +1,HP +55,Thief dam. +3%,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
VI,Locke,,Gladiator,ATK +3,DEF +3,HP +200,ATK +6,Blind Imm. (minor),Warrior,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
VI,Locke,,Paladin,DEF +3,ATK +3,DEF +5,HP +250,Slow Imm. (minor),"Warrior, Knight",Spirit (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
VI,Locke,,Ninja,ATK +3,RES +3,HP +160,ATK +6,Thief dam. +6%,Thief,Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Wisdom (4★),1,2,3,4,5,,,,,,
VI,Locke,,Mug Bloodlust,Thief 5★ -> 6★,Mug Bloodlust x1,Thief dam. +3%,-,-,Thief (5★) x1,Thief (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
VI,Celes,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,RES +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
VI,Celes,,Knight,DEF +1,ATK +1,HP +100,RES +1,ATK +1,-,Vitality (3★),3,6,9,12,15,Bravery (3★),2,4,6,8,10,,,,,,,,,,,,
VI,Celes,,Red Mage,RES +1,ATK +1,RES +1,HP +60,ATK +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
VI,Celes,,Gladiator,ATK +3,DEF +3,HP +200,ATK +6,Sword dam. +3%,Warrior,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
VI,Celes,,Paladin,RES +3,ATK +3,RES +4,HP +250,White Magic 3★ -> 4★,"Warrior, Knight",Spirit (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
VI,Celes,,Spellblade,Spellblade dam. +3%,ATK +3,HP +170,ATK +6,Spellblade dam. +6%,"Knight, Red Mage",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Wisdom (4★),2,4,6,8,10,,,,,,
VI,Celes,,Snowspell Strike,Spellblade 5★ -> 6★,Snowspell Strike x1,Spellblade dam. +3%,-,-,Spellblade (5★) x1,Spellblade (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
VI,Celes,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
VI,Mog,,Warrior,ATK +1,HP +70,ATK +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
VI,Mog,,Red Mage,MND +1,MND +1,MND +1,HP +60,MND +2,-,Spirit (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
VI,Mog,,Dancer,MND +1,MND +1,MND +1,HP +55,MND +2,-,Spirit (3★),2,4,6,8,10,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,,,,,,
VI,Mog,,Dragoon,Dragoon dam. +3%,ATK +5,Spear dam. +3%,ATK +6,Dragoon dam. +6%,Warrior,Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Bravery (4★),1,2,3,4,5,,,,,,
VI,Mog,,Gladiator,ATK +3,ATK +3,HP +200,ATK +5,ATK +6,"Warrior, Red Mage",Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
VI,Mog,,Geomancer,ATK +3,MND +3,HP +130,MND +5,MND +6,"Red Mage, Dancer",Spirit (4★),1,2,3,4,5,Dexterity (4★),2,4,6,8,10,Wisdom (4★),2,4,6,8,10,,,,,,
VI,Mog,,Sky High,Dragoon 5★ -> 6★,Sky High x1,Dragoon dam. +3%,-,-,Dragoon (5★) x1,Dragoon (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
VI,Edgar,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
VI,Edgar,,Knight,DEF +1,ATK +1,HP +100,DEF +1,DEF +2,-,Vitality (3★),3,6,9,12,15,Bravery (3★),2,4,6,8,10,,,,,,,,,,,,
VI,Edgar,,Ranger,DEF +1,RES +1,DEF +1,HP +60,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Bravery (3★),2,4,6,8,10,,,,,,
VI,Edgar,,Dragoon,DEF +3,ATK +4,HP +220,DEF +6,Spear dam. +3%,"Warrior, Knight",Dexterity (4★),2,4,6,8,10,Vitality (4★),2,4,6,8,10,Bravery (4★),1,2,3,4,5,,,,,,
VI,Edgar,,Paladin,DEF +3,ATK +3,DEF +5,HP +250,Knight dam. +6%,Knight,Spirit (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
VI,Edgar,,Cannoneer,ATK +3,DEF +3,HP +150,ATK +6,Machinist dam. +6%,"Knight, Ranger",Dexterity (4★),2,4,6,8,10,Vitality (4★),1,2,3,4,5,Bravery (4★),2,4,6,8,10,,,,,,
VI,Edgar,,Aegis Strike,Knight 5★ -> 6★,Aegis Strike x1,Knight dam. +3%,-,-,Knight (5★) x1,Knight (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
VI,Edgar,,Penalty Snipe,Machinist 5★ -> 6★,Penalty Snipe x1,Machinist dam. +3%,-,-,Machinist (5★) x1,Machinist (5★),4,10,15,,,,,,,,,,,,,,,,,,,,
VI,Sabin,,Monk,DEF +1,RES +1,ATK +1,ATK +2,HP +80,-,Dexterity (3★),1,2,3,4,5,Vitality (3★),2,4,6,8,10,Bravery (3★),2,4,6,8,10,,,,,,
VI,Sabin,,Thief,RES +1,DEF +1,ATK +1,HP +55,ATK +2,-,Dexterity (3★),2,4,6,8,10,Vitality (3★),1,2,3,4,5,Wisdom (3★),2,4,6,8,10,,,,,,
VI,Sabin,,Warrior,ATK +1,HP +70,DEF +1,ATK +1,ATK +2,-,Vitality (3★),2,4,6,8,10,Bravery (3★),3,6,9,12,15,,,,,,,,,,,,
VI,Sabin,,Master,RES +3,DEF +4,HP +200,ATK +5,Monk dam. +6%,Monk,Dexterity (4★),1,2,3,4,5,Vitality (4★),2,4,6,8,10,Bravery (4★),2,4,6,8,10,,,,,,
VI,Sabin,,Berserker,ATK +2,ATK +2,ATK +3,ATK +5,Fist dam. +3%,"Monk, Thief",Vitality (4★),5,10,15,20,25,,,,,,,,,,,,,,,,,,
